"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.0039559381722048,39.3377076194762,6.03471531671827,0.12798700334601,"rls/101S.csv",31.5411764705882,6.99413519821202,0.221746173759053,0.127079039616068,0.00152759542871837,-295.4,595,4.8312964270719,34.1905513684004,-287.4,579,618.412044329601,"Weib"
"M1-2",54,0.00290326240259799,43.8615626409614,7.49195332627904,0.148010078423799,"rls/M1-2.csv",28.4814814814815,10.1975593468107,0.358041745596734,0.113638958356628,0.00273165157569794,-198,400,3.22969625064621,31.749021643932,-201.7,407,404.742275099389,"Gomp"
"M13",70,0.0047814743345013,35.7662412644101,6.04004855922107,0.140916360820847,"rls/M13.csv",26.9857142857143,7.90613934467855,0.292974988950502,0.139767344862652,0.00196035317894403,-242.4,489,3.98065820756104,29.7763704125526,-243,490,504.825365107279,"Gomp"
"M14",60,0.00230277356136685,50.3029610920086,6.82323151878504,0.11576319549328,"rls/M14.csv",37.85,13.3668258722221,0.353152599001904,0.0992189513460947,0.0013184868879412,-232.5,469,3.42101297941434,42.1713957846057,-239.7,483,480.145056082418,"Gomp"
"M2-8",105,0.003249518099971,42.4921512067545,8.03147090794492,0.165476934169132,"rls/M2-8.csv",25.0285714285714,8.15764995248342,0.325933502667717,0.116764334530517,0.0041725799479291,-373.5,751,3.39046144392075,27.8519760316924,-368.8,742,749.369719823253,"bin<2"
"M22",60,0.00424341343758371,44.5773965531683,6.0343473295088,0.112934978683743,"rls/M22.csv",32.4333333333333,9.44630977480529,0.291253127691838,0.112153853643411,0.00181894571557196,-220.4,445,3.94431389871993,35.9099284711682,-218.6,441,457.355752057283,"Weib"
"M32",60,0.00413763069891336,35.7891926389205,6.03693033459264,0.140738864534067,"rls/M32.csv",28.8666666666667,6.85309942663992,0.237405291915933,0.139681286482094,0.00154583242722403,-206.4,417,4.52021710863547,31.6029744093209,-201.4,407,431.30107526248,"Weib"
"M34",58,0.00216242171754042,30.9796174126077,7.00618137255377,0.193875259741247,"rls/M34.csv",27.3620689655172,7.97737651080606,0.291548731963927,0.160275361222676,0.00113277391416012,-197.1,398,4.25443740819018,30.1765492221677,-200.5,405,409.097079582126,"Gomp"
"M5",166,0.0029175578880857,71.0159993298097,7.77630700903565,0.0954194417171459,"rls/M5.csv",38.0963855421687,12.9339716723114,0.339506530297864,0.0701711884989241,0.00334750213652331,-668.4,1341,3.25831945415828,42.5399027721925,-658.4,1321,1336.92715624775,"Weib"
"M8",60,0.00160994114643902,29.3985514314499,6.01889735053056,0.170719205748398,"rls/M8.csv",35.1333333333333,6.84319943674546,0.194777972582888,0.170039552224867,0.000249840289460603,-199.2,402,6.16656802455307,37.866353622343,-198.6,401,431.301185019092,"Weib"
"RM112N",59,0.00163260436096477,44.5282148576765,6.01752756037384,0.112681983241662,"rls/RM112N.csv",45.5423728813559,12.3600050690458,0.271395719789246,0.112280189015616,0.000369355327964405,-223.6,451,4.73826088657742,49.8695280687673,-229.3,463,473.873680196006,"Gomp"
"S288c",41,0.00465785275852343,55.9601056068742,7.95903744257014,0.124357117755605,"rls/S288c.csv",26.5121951219512,9.89980290515804,0.373405629357387,0.0891245955369431,0.00603172090223719,-153.7,311,2.9634675311273,29.7750257585112,-150.9,306,311.725341096824,"bin<2"
"SGU57",58,0.00913124210349004,65.5527252019108,7.48984751806295,0.0990019484021967,"rls/SGU57.csv",23.051724137931,11.2677499953475,0.488802916776479,0.0761657266612755,0.0105921329751201,-219.9,444,2.17940492808207,26.0028106066445,-221.1,446,446.163066471366,"bin<2"
"YPS128",69,0.00232080922326516,38.9016708700366,6.02375571861543,0.129139844285838,"rls/YPS128.csv",37.1594202898551,9.2619131367721,0.249248052432635,0.128511094950299,0.000625410540556687,-248.5,501,4.84515188615311,40.6413012837369,-249.3,503,523.832735599236,"Gomp"
"YPS163",130,0.00194434998754587,38.0913451397484,6.83324151448856,0.153138238964461,"rls/YPS163.csv",34.2769230769231,8.77541967424654,0.256015385469491,0.130116967598068,0.000891072840405302,-463.2,930,4.65246756611159,37.5360504000468,-463.7,931,954.239544433435,"Gomp"
