"strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.0032173770674075,37.6976072867024,6.03089547770937,0.133453973337029,"rls/101S.csv",32.9764705882353,7.44020044306961,0.225621490424872,0.132605738781624,0.00106119643104369,-295.4,595,4.99321317901572,35.7735342416127,-290.8,586,621.713407423657,"Weib"
"M1-2",54,0.0058073097815917,43.2807257846595,6.0406914468027,0.116465039701098,"rls/M1-2.csv",27.7777777777778,9.43231432147591,0.339563315573133,0.1155146888939,0.00290923364755645,-196.1,396,3.40065256010604,30.9781225281319,-196.7,397,405.804251318594,"Gomp"
"M13",70,0.00385265235317518,46.312919949701,7.84259237730612,0.147746943719758,"rls/M13.csv",25.3857142857143,9.79543350742292,0.385864009859091,0.107591011292909,0.00461401002471497,-255.3,515,2.6508800920288,28.0503477793731,-265.3,535,517.672231799822,"Gomp"
"M14",60,0.00221389094117513,50.0554820988264,6.85576459586246,0.116985479918088,"rls/M14.csv",38.3166666666667,12.8702674918097,0.335892148546579,0.0996946999056592,0.00125897971443189,-231.4,467,3.630597930022,42.6001239072672,-236.9,478,477.520043857696,"bin<2"
"M2-8",105,0.00315496418651367,42.1876861605107,8.13780428800328,0.169191651346941,"rls/M2-8.csv",24.8380952380952,7.8741590631877,0.317019440810854,0.117542615241749,0.00426059872769471,-371.6,747,3.45840801986065,27.5921309214808,-365.5,735,744.229697899814,"Weib"
"M22",60,0.00409462598718784,45.8949051911669,6.03310083683583,0.109665785687352,"rls/M22.csv",33.2833333333333,10.2181156289039,0.30700397482936,0.108935266319092,0.00175428178503107,-223.2,450,3.80742485324083,36.9432308149052,-223,450,462.978900335706,"NA"
"M32",60,0.00205589620982944,34.6750144888451,7.36024030069129,0.18342430117044,"rls/M32.csv",29,6.74474057497609,0.232577261206072,0.143134514200877,0.00140187519622644,-205.1,414,4.64023261531435,31.6980147507476,-200.4,405,419.334537483853,"Weib"
"M34",58,0.00228700685384147,31.2808383359199,7.0283656081393,0.192717520655989,"rls/M34.csv",26.7413793103448,8.42627541458095,0.315102497772853,0.1587819661212,0.00127529648512107,-198.3,401,3.87108852058556,29.5313486517036,-205.2,414,411.7673478813,"Gomp"
"M5",166,0.00377986563101979,80.0943922636491,8.00416346241681,0.0874488620796447,"rls/M5.csv",35.5963855421687,13.5481090777935,0.380603504300849,0.0622894496098428,0.00504579678299982,-675.9,1356,2.86739044437317,39.9930869265949,-664.8,1334,1350.60045251759,"Weib"
"M8",60,0.00188852333883047,30.5250228728784,6.02142755570529,0.16450200796301,"rls/M8.csv",34.3666666666667,5.82212805950221,0.169412067686776,0.163764743199725,0.000363851309235373,-197.4,399,6.23058422923404,36.84425731147,-192.9,390,426.912713363812,"Weib"
"RM112N",59,0.00221899398284885,50.6227208310676,6.02126753753972,0.0991899972009825,"rls/RM112N.csv",44.7966101694915,11.5963425580966,0.258866519458078,0.0987641584954616,0.000702828375534915,-226.3,457,4.60450281903332,49.0358085373584,-226.8,458,474.901431328866,"Gomp"
"S288c",41,0.00359893298145337,42.0308965417586,8.17198144329314,0.170635937688543,"rls/S288c.csv",23.4878048780488,8.12441367490452,0.345899232264886,0.118392839483829,0.00500531997505585,-144.2,292,3.17447036129027,26.025513964457,-145.1,294,292.936823150942,"bin<2"
"SGU57",58,0.00721513440941582,61.8730292358082,7.60493368223086,0.106749803004769,"rls/SGU57.csv",24.3275862068966,11.175455453703,0.459373789025356,0.0806725527383481,0.00858785052998749,-220.1,444,2.3490662144668,27.4380436548155,-220.9,446,446.416627765622,"bin<2"
"YPS128",69,0.00201865019954671,39.7018554612291,6.8218120486498,0.146638286322288,"rls/YPS128.csv",34.6086956521739,9.71235930521813,0.280633497512584,0.125423653474031,0.000947227284268766,-249.9,504,4.353339312294,38.0797598373308,-252.5,509,517.289416794936,"Gomp"
"YPS163",130,0.00190259016600235,35.6671928252144,6.65053898595614,0.158423989621117,"rls/YPS163.csv",33.8538461538462,8.97551496090097,0.265125413523546,0.13997271775694,0.000695515038473648,-459.2,922,4.67276687189849,37.1240090172447,-464.9,934,953.384963148658,"Gomp"
