"files","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","avgLSstd","stdLS","BestModel","CV","GompRFlex","GompRFlexStd","GompGFlex","GompGFlexStd","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"4741.csv",60,0.00632329762130478,0.00207181746914633,72.5845223127743,15.1980773109983,7.73800357215277,0.732537357446565,0.0971571920910943,0.0212509603456669,28.3051666666667,1.70193607156518,11.6654630156386,"<2=10:Gomp=16:Weib=74",0.413108645976586,0.00807350640066685,0.00224152140168372,0.0687767833101843,0.0110117710961824,-234.543,473.09,2.5865791333366,31.7166567066766,-231.944,467.91
"4742.csv",90,0.0118749432671197,0.00372344473849671,65.0640360559322,25.735773639172,7.05890169993433,1.77378684966609,0.145851706089769,0.140524472261284,20.7995555555556,1.01356668311701,9.20571801952389,"Weib=100",0.442527508686017,0.016160087475799,0.00211870352222683,0.0681931384808567,0.00878960362792392,-334.661,673.29,2.3983412749183,23.4773487987274,-322.562,649.13
"4743.csv",89,0.00320780242461866,0.000733149678035968,60.5109636848935,8.12488974486903,7.73727421369713,0.591553081059507,0.112617597730236,0.0133172815301109,33.657191011236,1.07786343228392,10.5773756309381,"Weib=100",0.314366403153891,0.00356525925627816,0.000982880625563717,0.083957827324846,0.0117547631068661,-343.124,690.29,3.47499464737354,37.3955742049472,-335.498,675
"sir2.csv",117,0.00662409403497441,0.00171427987213622,22.9141877793291,3.83576724646054,8.18324763227269,0.679811339033412,0.321627970086693,0.0495251978661242,12.7311111111111,0.42507278740236,4.26776772174855,"<2=1:Gomp=3:Weib=96",0.33549318280361,0.0104671815114882,0.00221123937925039,0.208381308578153,0.0188831201831316,-342.693,689.37,3.26003208411923,14.1823934410582,-335.266,674.56
"sir2SIR2OE.csv",69,0.010577514411903,0.00261132912660786,40.0293553223469,7.47600112489696,7.69403895342749,0.875528312768865,0.182160802995619,0.0848701335252564,16.0172463768116,0.83801064001511,6.65572990720777,"Weib=100",0.415775043900032,0.013860248387784,0.00272543474284469,0.12157128967136,0.0104029258570763,-231.107,466.2,2.62478566788968,18.081532712698,-225.537,455.02
