"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv",19930,0.0047475008812659,51.7467031113512,7.56069638241981,0.126784818895654,NA,26.2019066733567,9.62681018360314,0.367408765461794,0.0860815003698605,0.00671580024310023,-74693.5,149391,2.92750091764016,29.3437865038535,-73327.2,146658,"Weib"
"sir2_MATa_temp30_media_YPD_n400.csv",400,0.0149346136512187,38.7433366549001,8.18887031729179,0.185551140866505,NA,13.2625,4.91262949665742,0.370415042160786,0.126890572303103,0.0212356864416807,-1267.7,2539,2.79433096269058,14.8641145211088,-1199.7,2403,"Weib"
"tor1 ubr2_MATalpha_temp30_media_YPD_n60.csv",60,0.00278887847007189,49.6417460201177,6.02558270343331,0.101237025413986,NA,40.45,13.0103283612596,0.321639761712228,0.100715096199581,0.000962352557877156,-232.3,469,3.84052038803174,44.9540682337996,-236.8,478,"Gomp"
"tor1 ump1_MATalpha_temp30_media_YPD_n140.csv",140,0.0101978020137598,57.1756078533943,7.82909455755762,0.119440698821573,NA,19.9071428571429,8.4775593988329,0.425855154587946,0.0872434717529062,0.0129559162423712,-505.3,1015,2.52812765952943,22.4895261155011,-492.1,988,"Weib"
"tor1 vma21_MATalpha_temp30_media_YPD_n72.csv",72,0.104607315927681,199.999999255571,5.19832565775258,0.0209916283668968,NA,8.18055555555556,7.1823853170058,0.877982585440438,0.0195260355223078,0.105230460496648,-222.6,449,1.22104593309347,8.77622407309146,-221.1,446,"Weib"
"tor1 vma6_MATalpha_temp30_media_YPD_n33.csv",33,0.0510460267504866,57.5869694745584,20,0.329935750628345,NA,5.15151515151515,2.81870107630727,0.547159620694941,0.295568154565564,0.0558596397402881,-78,160,1.90469291541947,5.7954385410111,-79.5,163,"Gomp"
"tor1 vms1_MATalpha_temp30_media_YPD_n40.csv",40,0.0048543097995766,36.2825829943784,8.3191586928126,0.201726505909092,NA,19.025,6.33867858104875,0.333176272328449,0.136852168955658,0.00715925263446149,-133.4,271,3.29165042690812,21.213688232008,-129.9,264,"Weib"
"tor1 whi5_MATalpha_temp30_media_YPD_n120.csv",120,0.00476216052470463,76.4277401021082,7.91081305125376,0.090422836551504,NA,31.975,12.6487535507083,0.395582597363823,0.0653229947671173,0.00617057782643817,-479.9,964,2.7485926515908,35.9793416881418,-471.9,948,"Weib"
"tor1 yap1_MATalpha_temp30_media_YPD_n200.csv",200,0.00717086246631903,64.614967489525,8.01351169992371,0.108543143677364,NA,24.43,9.76842930338734,0.399853839680202,0.0771371832171004,0.00958680855057544,-752.8,1510,2.64666771259766,27.4110945773962,-738.7,1481,"Weib"
"tor1 ygr130c_MATalpha_temp30_media_YPD_n80.csv",80,0.00242172898164715,53.37760726359,7.53810861974861,0.122487855018717,NA,34.9875,10.9214615681607,0.312153242391158,0.0933589759057702,0.00225512216849259,-306.3,617,3.62552796100639,38.8951280015346,-303.4,611,"Weib"
"tor1_MATalpha_temp30_media_YPD_n2823.csv",2823,0.00327805175868258,55.2880804083062,7.41142462733217,0.115963957872716,NA,32.1530286928799,11.6965817816033,0.363778538355654,0.084499220548144,0.00372527814098752,-10941.1,21886,3.06039523935323,35.9799849306249,-10934.3,21873,"Weib"
"tor1_MATalpha_temp30_n2823_media_YPD.csv",2823,0.00323640379051874,56.4094685411849,7.50538908306519,0.115324417182118,NA,32.3358129649309,11.6653011987928,0.360754845144735,0.0827882163872301,0.00385709631103516,-10955.5,21915,3.07833340573392,36.1524189859624,-10935.3,21875,"Weib"
