"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv",19930,0.00461667060829278,51.0081544985818,7.56793912756563,0.128762532032957,NA,26.2919719016558,9.57109196330685,0.364030967289452,0.087280804303888,0.00649794994611342,-74567.8,149140,2.95571380938345,29.4259638212596,-73249.5,146503,"Weib"
"sir2_MATa_temp30_media_YPD_n400.csv",400,0.0106502311000635,31.8042796585256,8.30068790414219,0.229550487623924,NA,13.235,4.68397524119741,0.353908216184164,0.152078647647971,0.0165377558677417,-1235.7,2475,2.98566280794718,14.7980611382104,-1183.4,2371,"Weib"
"tor1 ubr2_MATalpha_temp30_media_YPD_n60.csv",60,0.00128247692697692,36.0709328499078,6.01585592207668,0.139055342509377,NA,45.25,12.1147409857802,0.267729082558678,0.138598583614953,0.000136226880120778,-217.8,440,4.69541361032852,48.7911088238696,-237.2,478,"Gomp"
"tor1 ump1_MATalpha_temp30_media_YPD_n140.csv",140,0.00800428537648151,56.6290325378201,7.88116861470948,0.121513088010357,NA,21.7571428571429,9.04574420271123,0.41575974667747,0.0880558082601593,0.0103046016995078,-512.3,1029,2.61125567540918,24.5510414555828,-502.3,1009,"Weib"
"tor1 vma21_MATalpha_temp30_media_YPD_n72.csv",72,0.120600772139532,183.938347179164,6.00003113526033,0.0271831905197565,NA,6.98611111111111,6.05722256706133,0.867037822720509,0.027183021128004,0.119887417675786,-211.1,426,1.25162536485014,7.55113878683159,-209.1,422,"Weib"
"tor1 vma6_MATalpha_temp30_media_YPD_n33.csv",33,0.141649213270564,38.8079228107832,6.39550776371063,0.139031088832496,NA,4.3030303030303,3.29284117902808,0.765237738788216,0.128772392062405,0.141988474043066,-79.1,162,1.31733993634218,4.68420414850223,-79.4,163,"<2"
"tor1 vms1_MATalpha_temp30_media_YPD_n40.csv",40,0.0106717860600854,58.3142395530689,7.60309916951481,0.113233049425358,NA,19.95,9.4975030456728,0.476065315572571,0.0855738785105073,0.0128298494474736,-146,296,2.30919263111717,22.6263679708705,-144.2,292,"Weib"
"tor1 whi5_MATalpha_temp30_media_YPD_n120.csv",120,0.00531628395236706,86.1622571826966,7.85100303193912,0.0795128082289255,NA,33.2666666666667,13.8283190939313,0.415680934687314,0.0579699665384212,0.00666439496417441,-489.9,984,2.58191483050696,37.4563518931618,-482.9,970,"Weib"
"tor1 yap1_MATalpha_temp30_media_YPD_n200.csv",200,0.00715869600511871,59.357444290735,7.89264576441698,0.116120999594533,NA,23.4,9.66369156551299,0.412978272030469,0.0839270783329595,0.00924435443035024,-744,1492,2.57403809488852,26.2727009344005,-736.9,1478,"Weib"
"tor1 ygr130c_MATalpha_temp30_media_YPD_n80.csv",80,0.00252289329525227,53.0866215846685,7.67494907290226,0.12573693472387,NA,33.8375,10.0875204892111,0.298116601084923,0.0938499796602345,0.00255372301991432,-303.6,611,3.68824446650004,37.5398744865182,-297.7,599,"Weib"
"tor1_MATalpha_temp30_media_YPD_n2823.csv",2823,0.00340354752027254,58.7294166432002,7.56377008520939,0.111762902824088,NA,32.2359192348565,11.8335502721923,0.367092068508372,0.0800011268386844,0.00418186773695142,-11004.3,22013,3.01264627764522,36.0669259952095,-10977.1,21958,"Weib"
"tor1_MATalpha_temp30_n2823_media_YPD.csv",2823,0.00311492044483715,54.5964797687244,7.41369548595974,0.117474524239085,NA,32.3531703861141,11.835766182877,0.365830181142214,0.0853050230696559,0.00356356285817244,-10945.1,21894,3.04447400643288,36.1895986099276,-10978.4,21961,"Gomp"
