"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv",19930,0.0046799975768711,51.0590034171965,7.55613520954878,0.128403117389101,NA,26.2045659809333,9.58826458896898,0.365900530310081,0.087274671258624,0.00654833262528327,-74569.1,149142,2.94426734410063,29.3428392582695,-73246,146496,"Weib"
"sir2_MATa_temp30_media_YPD_n400.csv",400,0.00388335616661922,5.58791695600066,4.05354881087424,0.546455653317315,NA,13.245,4.52395185107857,0.341559218654478,0.178049273968987,0.0124876397969296,-1209.9,2424,3.13047865519141,14.7870914611211,-1170.2,2344,"Weib"
"tor1 ubr2_MATalpha_temp30_media_YPD_n60.csv",60,0.00228269386478951,49.5166774419567,6.02129237265379,0.101406084415493,NA,42.2,15.5920449077977,0.369479737151604,0.100970396328172,0.000754651606383353,-235.7,475,2.71336113046226,46.1017932870463,-259.6,523,"Gomp"
"tor1 ump1_MATalpha_temp30_media_YPD_n140.csv",140,0.00897052944626764,54.6289870948181,7.86180294699958,0.125607361803903,NA,20.3642857142857,8.52268299219242,0.418511265838982,0.0912762494448665,0.0115077710658233,-504.8,1014,2.58856945525534,22.9952247934095,-493.3,991,"Weib"
"tor1 vma21_MATalpha_temp30_media_YPD_n72.csv",72,0.132355438553126,199.999999935271,3.05494315351827,0.0102747157709167,NA,7.05555555555556,6.7236997044172,0.952965312437084,0.0102793044155489,0.132069259827911,-212.5,429,1.11369508392845,7.36904831974451,-212,428,"<2"
"tor1 vma6_MATalpha_temp30_media_YPD_n33.csv",33,0.100800848586046,26.3676665778495,6.8173488336621,0.220624332323325,NA,4.57575757575758,2.9583600084158,0.646529008461731,0.188683742694823,0.105316835719769,-78.8,162,1.6476831499824,5.14267784509738,-77.9,160,"Weib"
"tor1 vms1_MATalpha_temp30_media_YPD_n40.csv",40,0.00295133144003832,33.2307786294973,8.00163678162921,0.210697343558908,NA,21.925,6.76107827843899,0.308373011559361,0.149430133318861,0.00360691863473237,-133.9,272,3.67336379605965,24.314633261619,-132.5,269,"Weib"
"tor1 whi5_MATalpha_temp30_media_YPD_n120.csv",120,0.00738468296848754,93.6729216724056,7.67104773290486,0.0712163943838002,NA,30.7833333333333,13.8892276335908,0.451193101253627,0.0533341214505093,0.00893557284018745,-489.1,982,2.33842737747791,34.6615597395953,-483.5,971,"Weib"
"tor1 yap1_MATalpha_temp30_media_YPD_n200.csv",200,0.00544441472046115,53.1749671174761,7.91873331405043,0.130112601645156,NA,23.98,9.89795166871312,0.412758618378362,0.0935039053836222,0.00715954628458124,-739.4,1483,2.59635052783254,26.8795429973874,-744.5,1493,"Gomp"
"tor1 ygr130c_MATalpha_temp30_media_YPD_n80.csv",80,0.00425198409119858,50.2093570620254,6.03309564829746,0.100242184780018,NA,34.9875,10.2851665955751,0.293966890906041,0.0995740334727882,0.00191816384710674,-301.8,608,3.85711014255785,38.7260104048204,-298.9,602,"Weib"
"tor1_MATalpha_temp30_media_YPD_n2823.csv",2823,0.00329631160561006,55.960582609432,7.45474378427214,0.115344470755818,NA,32.1427559334042,11.7024210388747,0.36407646759104,0.0835378502548623,0.00383427911282306,-10949.4,21903,3.05857585055578,35.9702991380659,-10935,21874,"Weib"
"tor1_MATalpha_temp30_n2823_media_YPD.csv",2823,0.00332395329589024,57.4300512147389,7.54497478704457,0.113964286094261,NA,32.259298618491,11.6242584853205,0.360338227522947,0.0814950951604888,0.00402968185930297,-10967.6,21939,3.07718127977658,36.0783583545695,-10920.1,21844,"Weib"
