"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv",19930,0.00460877511642138,50.6902298319565,7.57552297783912,0.12971973099427,NA,26.1899147014551,9.49743772501872,0.362637214870007,0.0877770276684384,0.00651069050987222,-74447.3,148899,2.96854810388162,29.308407424739,-73087.8,146180,"Weib"
"sir2_MATa_temp30_media_YPD_n400.csv",400,0.0119391985781351,32.3554546087392,8.27293832614032,0.224782449021004,NA,12.825,4.68607225541363,0.365385750909445,0.150026518437995,0.0181922930023136,-1233.1,2470,2.89324782058628,14.360393314328,-1182.8,2370,"Weib"
"tor1 ubr2_MATalpha_temp30_media_YPD_n60.csv",60,0.00315033209011426,57.9136881564737,6.02480492180269,0.0867636837119829,NA,41.1166666666667,16.3863230140536,0.398532379749987,0.0863321754179827,0.00138064405634779,-242.1,488,2.73122413398593,45.674858330261,-256.5,517,"Gomp"
"tor1 ump1_MATalpha_temp30_media_YPD_n140.csv",140,0.00794375669096866,54.5305572240741,7.80744546498965,0.124837262106398,NA,21.4285714285714,9.02844653666204,0.421327505044229,0.0914299520855575,0.0100208179977555,-510.1,1024,2.5892054905331,24.213860472741,-501.2,1006,"Weib"
"tor1 vma21_MATalpha_temp30_media_YPD_n72.csv",72,0.127049583259683,200,5.9996439645853,0.0249982198229265,NA,6.73611111111111,6.04907874619113,0.898007566444869,0.0229292494383062,0.128238117664912,-208.8,422,1.18119196340736,7.16590562512538,-207.8,420,"Weib"
"tor1 vma6_MATalpha_temp30_media_YPD_n33.csv",33,0.0715144977701564,22.541876369527,6.87964618846071,0.260832154878156,NA,5.15151515151515,3.19297287141243,0.619812380921237,0.220330890873118,0.074872805791989,-81.1,166,1.65642253829439,5.76533200141036,-82,168,"Gomp"
"tor1 vms1_MATalpha_temp30_media_YPD_n40.csv",40,0.00687104889260786,47.1107658491166,8.05012022974527,0.149649875196785,NA,20.35,7.79398189927035,0.382996653526798,0.105733482885483,0.00930030181142785,-141,286,2.85497057247011,22.875665627877,-137.5,279,"Weib"
"tor1 whi5_MATalpha_temp30_media_YPD_n120.csv",120,0.00538010105538676,83.1000548731865,7.79938404438622,0.0818216552896662,NA,32.1916666666667,14.0534967288616,0.436556978375198,0.0601038689385497,0.00676655328081133,-487.3,979,2.47537631242318,36.2855653607237,-485,974,"Weib"
"tor1 yap1_MATalpha_temp30_media_YPD_n200.csv",200,0.00598102499987212,58.619368749631,8.0313459133493,0.119949191936557,NA,24.575,9.64257597101438,0.392373386409537,0.0849113814467518,0.00810250681218391,-745.8,1496,2.74119658897265,27.5641151151579,-736.2,1476,"Weib"
"tor1 ygr130c_MATalpha_temp30_media_YPD_n80.csv",80,0.00529054129238982,56.5019711243066,6.03457829438325,0.0891044718299647,NA,34.0125,11.3131420721347,0.332617186979336,0.0884872108086825,0.00282764706591958,-308.7,621,3.39705326133492,37.9485113465936,-306,616,"Weib"
"tor1_MATalpha_temp30_media_YPD_n2823.csv",2823,0.00348451286876094,57.5436308390342,7.43461655652159,0.111821525035864,NA,32.0701381509033,12.0149049981324,0.374644628644793,0.0817749429699064,0.00400316227922617,-11004.4,22013,2.9609345793474,35.9367727360921,-11009.7,22023,"Gomp"
"tor1_MATalpha_temp30_n2823_media_YPD.csv",2823,0.00336389275265183,55.9611251636514,7.47174842876595,0.115647217775556,NA,31.8568898335105,11.6007615938792,0.364152359332839,0.0835433653883731,0.0039467225175354,-10934.7,21873,3.04325753660227,35.6363141583408,-10919.2,21842,"Weib"
