"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv",19930,0.00468736720073202,51.5767973963402,7.56306216756751,0.1272483461339,NA,26.3458605117913,9.61586707312855,0.364985879615695,0.0863495594507787,0.00658423496089262,-74700.1,149404,2.94893453367083,29.5004422176082,-73294.5,146593,"Weib"
"sir2_MATa_temp30_media_YPD_n400.csv",400,0.0124911921096346,33.3302161724384,8.23885373799426,0.21718592224374,NA,12.9025,4.6553382460852,0.360809009578392,0.146029649843529,0.0186726493495361,-1238.6,2481,2.90119504072155,14.4525548991696,-1178.6,2361,"Weib"
"tor1 ubr2_MATalpha_temp30_media_YPD_n60.csv",60,0.00313319268606046,56.442265988298,6.02513083818408,0.0890313446881442,NA,40.9333333333333,15.3102011706903,0.374027715896342,0.0885824433094465,0.00134245879521253,-239.2,482,2.80151681685917,45.0723411908084,-255.1,514,"Gomp"
"tor1 ump1_MATalpha_temp30_media_YPD_n140.csv",140,0.010307829645746,57.7351937924636,7.69238317875147,0.115915141859714,NA,20.1,9.01182277013301,0.448349391548906,0.086417809133114,0.0126262905507852,-508.9,1022,2.41834898791847,22.7503862160644,-499.9,1004,"Weib"
"tor1 vma21_MATalpha_temp30_media_YPD_n72.csv",72,0.133027738299534,164.211218823195,6.00003720064539,0.0304488160825899,NA,6.31944444444444,5.4819200627458,0.867468669269665,0.0304485893408023,0.132224775513293,-203.8,412,1.21771211206639,6.77308364317943,-202.6,409,"Weib"
"tor1 vma6_MATalpha_temp30_media_YPD_n33.csv",33,0.107637917022522,67.5326636241493,20,0.281345336913465,NA,3.84848484848485,2.43825260331569,0.633561700074157,0.269802066800347,0.108293564078885,-72.1,148,1.63339601056083,4.30881098112054,-72.6,149,"<2"
"tor1 vms1_MATalpha_temp30_media_YPD_n40.csv",40,0.00478406465224385,47.2157307161434,8.00650198136739,0.148393382355763,NA,23.275,8.59334119074256,0.369209073716114,0.105516424023127,0.00635978638213142,-144.1,292,3.00616657684131,26.1383357153214,-141.4,287,"Weib"
"tor1 whi5_MATalpha_temp30_media_YPD_n120.csv",120,0.00612357667755946,84.4658956670606,7.84691950398405,0.0810613496715001,NA,31,12.8605971083458,0.414857971236962,0.0591313251222205,0.00776425677242717,-483,970,2.5495652117058,34.8258994565915,-475.6,955,"Weib"
"tor1 yap1_MATalpha_temp30_media_YPD_n200.csv",200,0.0044421538294776,45.2941950221533,7.89663021663069,0.152263004414971,NA,23.42,8.87906464357162,0.379123170092725,0.109340970206738,0.00573929610580081,-719.9,1444,2.9149524268478,26.2663870110254,-718.7,1441,"Weib"
"tor1 ygr130c_MATalpha_temp30_media_YPD_n80.csv",80,0.00240576643561766,49.6146803686947,7.57478373917194,0.132516902060311,NA,33.425,10.1429965861591,0.303455395247842,0.100361810384764,0.00223173930077987,-300,604,3.74920277912548,37.0122917267567,-297.9,600,"Weib"
"tor1_MATalpha_temp30_media_YPD_n2823.csv",2823,0.0033528980287624,56.5577784280155,7.46579669662029,0.114321970847029,NA,32.1250442791357,11.7248888656537,0.364976582250773,0.082795456956138,0.00391353892855193,-10963.1,21930,3.04891600278283,35.9665017908062,-10935.3,21875,"Weib"
"tor1_MATalpha_temp30_n2823_media_YPD.csv",2823,0.00350188423000071,58.8311724227731,7.51258034715524,0.110699482586451,NA,32.1030818278427,11.991182136846,0.373521215226325,0.080072468254449,0.00419234043534439,-11020.8,22046,2.9561610814469,35.9496823668941,-11013.6,22031,"Weib"
