031104.BY2N.RLS.tab	031104.SK1.RLS.tab	042204.KLBY4716.RLS.tab	052604.sir2D.rls.tab	052604.W303.rls.tab	053104.BY4741.rls.tab	053104.BY4742.rls.tab	053104.JSBY4741.rls.tab	061004.srp1ts.rls.tab
6	2	4	4	4	7	5	12	1
11	4	4	5	8	13	9	18	1
11	5	5	7	11	13	10	19	4
13	5	6	7	12	19	12	20	4
13	5	10	7	13	21	12	21	4
15	5	12	8	13	22	13	22	4
15	5	16	8	14	22	13	24	4
17	6	17	8	14	23	15	26	5
19	6	17	8	14	24	15	31	5
19	6	17	8	16	24	15	31	5
19	11	18	8	17	25	15	31	6
21	11	20	9	17	27	15	34	6
22	13	26	9	17	28	16	34	7
24	13	26	9	17	29	17	34	7
24	13	26	9	17	29	17	35	8
24	14	26	10	17	35	18	36	8
28	14	29	10	18	37	19	36	8
31	14	29	10	18	37	21	39	8
31	15	30	10	19	37	21	40	8
32	15	30	11	19	38	23	42	9
33	15	30	11	19	38	25	43	9
36	15	30	11	19	39	25	45	9
37	16	31	11	20	39	25	45	9
38	16	32	12	22	42	26	46	9
38	16	32	12	23	42	27	46	10
39	16	34	12	24	43	32	48	10
41	17	34	12	27	46	38	49	10
41	17	36	12	27	48	40	49	15
42	18	36	13	31	54	43	50	NA
42	18	36	14	31	60	45	56	NA
44	18	36	14	NA	NA	NA	NA	NA
44	20	38	14	NA	NA	NA	NA	NA
NA	21	39	14	NA	NA	NA	NA	NA
NA	21	39	15	NA	NA	NA	NA	NA
NA	24	40	15	NA	NA	NA	NA	NA
NA	24	42	16	NA	NA	NA	NA	NA
NA	25	43	16	NA	NA	NA	NA	NA
NA	26	43	16	NA	NA	NA	NA	NA
NA	26	45	16	NA	NA	NA	NA	NA
NA	32	47	16	NA	NA	NA	NA	NA
NA	NA	NA	16	NA	NA	NA	NA	NA
NA	NA	NA	17	NA	NA	NA	NA	NA
NA	NA	NA	17	NA	NA	NA	NA	NA
NA	NA	NA	18	NA	NA	NA	NA	NA
NA	NA	NA	18	NA	NA	NA	NA	NA
NA	NA	NA	18	NA	NA	NA	NA	NA
NA	NA	NA	19	NA	NA	NA	NA	NA
NA	NA	NA	19	NA	NA	NA	NA	NA
NA	NA	NA	22	NA	NA	NA	NA	NA
NA	NA	NA	23	NA	NA	NA	NA	NA
