Confirmed Load of Data File: YPS163.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line59         0.00010        0.10000        0.00108        0.12935        0.00058        0.11241        0.00201        0.14884        -459.67466     0              
Line60         0.00010        0.10000        0.00078        0.13226        0.00040        0.11504        0.00151        0.15206        -457.51259     0              
Line61         0.00010        0.10000        0.00078        0.13626        0.00038        0.11746        0.00157        0.15807        -457.91546     0              
Line62         0.00010        0.10000        0.00031        0.16733        0.00014        0.14477        0.00073        0.19341        -435.08883     0              
Line63         0.00010        0.10000        0.00094        0.12913        0.00049        0.11179        0.00181        0.14915        -461.23523     0              
Line64         0.00010        0.10000        0.00059        0.14600        0.00028        0.12628        0.00124        0.16880        -448.31765     0              
Line65         0.00010        0.10000        0.00066        0.13209        0.00033        0.11464        0.00132        0.15220        -460.34223     0              
Line66         0.00010        0.10000        0.00184        0.11235        0.00104        0.09665        0.00327        0.13061        -474.32389     0              
Line67         0.00010        0.10000        0.00061        0.13584        0.00031        0.11850        0.00122        0.15571        -453.57615     0              
Line68         0.00010        0.10000        0.00063        0.13990        0.00032        0.12199        0.00127        0.16045        -450.29633     0              
Line69         0.00010        0.10000        0.00069        0.14009        0.00035        0.12230        0.00135        0.16046        -449.72127     0              
Line70         0.00010        0.10000        0.00110        0.12252        0.00059        0.10622        0.00205        0.14132        -465.58039     0              
Line71         0.00010        0.10000        0.00105        0.12111        0.00056        0.10519        0.00196        0.13942        -466.16940     0              
Line72         0.00010        0.10000        0.00084        0.12779        0.00044        0.11147        0.00159        0.14650        -459.20040     0              
Line73         0.00010        0.10000        0.00078        0.13197        0.00041        0.11527        0.00150        0.15109        -454.85566     0              
Line74         0.00010        0.10000        0.00058        0.14409        0.00028        0.12428        0.00124        0.16706        -453.30667     0              
Line75         0.00010        0.10000        0.00076        0.13205        0.00039        0.11512        0.00147        0.15147        -456.31721     0              
Line76         0.00010        0.10000        0.00080        0.12842        0.00041        0.11151        0.00156        0.14789        -461.74523     0              
Line77         0.00010        0.10000        0.00036        0.15745        0.00016        0.13623        0.00082        0.18199        -441.68450     0              
Line78         0.00010        0.10000        0.00101        0.12205        0.00055        0.10669        0.00185        0.13962        -461.80000     0              
Line79         0.00010        0.10000        0.00050        0.14435        0.00024        0.12614        0.00102        0.16519        -445.22223     0              
Line80         0.00010        0.10000        0.00092        0.13100        0.00048        0.11369        0.00176        0.15095        -459.49609     0              
Line81         0.00010        0.10000        0.00069        0.14364        0.00034        0.12428        0.00141        0.16602        -450.03981     0              
Line82         0.00010        0.10000        0.00063        0.13982        0.00030        0.12104        0.00129        0.16152        -453.91638     0              
Line83         0.00010        0.10000        0.00066        0.13569        0.00034        0.11870        0.00129        0.15511        -452.40659     0              
Line84         0.00010        0.10000        0.00071        0.13295        0.00036        0.11572        0.00138        0.15276        -457.52187     0              
Line85         0.00010        0.10000        0.00062        0.14699        0.00029        0.12667        0.00132        0.17056        -450.01673     0              
Line86         0.00010        0.10000        0.00112        0.11914        0.00061        0.10354        0.00205        0.13710        -467.70270     0              
Line87         0.00010        0.10000        0.00015        0.18155        0.00006        0.15745        0.00037        0.20934        -426.25735     0              
Line88         0.00010        0.10000        0.00079        0.13556        0.00040        0.11792        0.00153        0.15584        -455.53464     0              
Line89         0.00010        0.10000        0.00044        0.15284        0.00020        0.13239        0.00095        0.17644        -444.58319     0              
Line90         0.00010        0.10000        0.00087        0.13258        0.00045        0.11520        0.00168        0.15259        -456.86790     0              
Line91         0.00010        0.10000        0.00069        0.13539        0.00035        0.11768        0.00138        0.15577        -455.21628     0              
Line92         0.00010        0.10000        0.00045        0.14868        0.00022        0.12983        0.00094        0.17025        -443.91653     0              
Line93         0.00010        0.10000        0.00104        0.12900        0.00055        0.11217        0.00194        0.14836        -459.68919     0              
Line94         0.00010        0.10000        0.00076        0.13413        0.00039        0.11661        0.00149        0.15428        -456.18052     0              
Line95         0.00010        0.10000        0.00051        0.14956        0.00024        0.12967        0.00108        0.17250        -445.06063     0              
Line96         0.00010        0.10000        0.00076        0.13721        0.00038        0.11839        0.00154        0.15902        -456.91263     0              
Line97         0.00010        0.10000        0.00071        0.13303        0.00036        0.11622        0.00137        0.15227        -454.02251     0              
Line98         0.00010        0.10000        0.00149        0.11654        0.00083        0.10083        0.00267        0.13470        -470.03554     0              
Line99         0.00010        0.10000        0.00051        0.15095        0.00023        0.13054        0.00109        0.17455        -446.13054     0              
Line100        0.00010        0.10000        0.00065        0.14350        0.00031        0.12373        0.00135        0.16643        -452.06900     0              
Line101        0.00010        0.10000        0.00131        0.12193        0.00071        0.10555        0.00241        0.14086        -466.29082     0              
Line102        0.00010        0.10000        0.00096        0.12938        0.00050        0.11213        0.00184        0.14929        -460.51674     0              
Line103        0.00010        0.10000        0.00086        0.13404        0.00043        0.11544        0.00173        0.15564        -459.90514     0              
Line104        0.00010        0.10000        0.00084        0.13203        0.00043        0.11484        0.00162        0.15179        -456.24496     0              
Line105        0.00010        0.10000        0.00059        0.14837        0.00028        0.12834        0.00123        0.17154        -447.80891     0              
Line106        0.00010        0.10000        0.00031        0.15975        0.00013        0.13815        0.00071        0.18472        -441.17675     0              
Line107        0.00010        0.10000        0.00189        0.10808        0.00109        0.09341        0.00327        0.12505        -477.05614     0              
Line108        0.00010        0.10000        0.00059        0.14681        0.00029        0.12736        0.00123        0.16922        -446.08804     0              
Line109        0.00010        0.10000        0.00087        0.13269        0.00045        0.11556        0.00166        0.15236        -455.79661     0              
Line110        0.00010        0.10000        0.00048        0.15115        0.00022        0.13103        0.00102        0.17435        -444.49946     0              
Line111        0.00010        0.10000        0.00096        0.12933        0.00049        0.11133        0.00189        0.15023        -462.76216     0              
Line112        0.00010        0.10000        0.00045        0.15583        0.00021        0.13565        0.00095        0.17902        -440.56609     0              
Line113        0.00010        0.10000        0.00090        0.12944        0.00046        0.11195        0.00174        0.14966        -463.37866     0              
Line114        0.00010        0.10000        0.00084        0.13253        0.00043        0.11511        0.00163        0.15258        -458.01803     0              
