Confirmed Load of Data File: SK1.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line59         0.00010        0.10000        0.01099        0.07486        0.00648        0.05685        0.01864        0.09858        -264.99378     0              
Line60         0.00010        0.10000        0.00614        0.10983        0.00335        0.08807        0.01126        0.13696        -249.81212     0              
Line61         0.00010        0.10000        0.01088        0.08467        0.00620        0.06415        0.01907        0.11175        -259.30464     0              
Line62         0.00010        0.10000        0.00521        0.10188        0.00281        0.08190        0.00965        0.12674        -255.64398     0              
Line63         0.00010        0.10000        0.00639        0.10171        0.00350        0.08086        0.01167        0.12794        -254.44298     0              
Line64         0.00010        0.10000        0.01001        0.08228        0.00571        0.06260        0.01754        0.10814        -262.54056     0              
Line65         0.00010        0.10000        0.00742        0.09416        0.00415        0.07422        0.01329        0.11945        -257.67328     0              
Line66         0.00010        0.10000        0.01154        0.08072        0.00674        0.06125        0.01975        0.10638        -260.45152     0              
Line67         0.00010        0.10000        0.00855        0.08534        0.00478        0.06560        0.01531        0.11101        -262.57284     0              
Line68         0.00010        0.10000        0.00970        0.09475        0.00571        0.07504        0.01649        0.11964        -252.43721     0              
Line69         0.00010        0.10000        0.01228        0.07821        0.00715        0.05844        0.02110        0.10468        -261.82228     0              
Line70         0.00010        0.10000        0.01250        0.07612        0.00709        0.05580        0.02201        0.10384        -263.25659     0              
Line71         0.00010        0.10000        0.00843        0.09226        0.00459        0.07047        0.01551        0.12078        -259.44302     0              
