24	25	22	25	10	10	23	10	22	32	26	33	33	22	16	9	29	32	35	18	21	24	16	16	16	33	25	29	24	10	33	25	10	23	21	25	23	9	19	23
10	32	14	11	27	23	19	21	32	8	9	25	32	25	32	23	15	9	16	12	26	18	23	23	16	8	29	22	4	9	4	29	22	9	16	4	32	16	21	29
23	35	12	29	18	21	33	30	25	23	24	27	30	21	32	11	25	24	16	9	19	9	9	27	11	22	11	23	8	24	32	30	25	16	8	23	23	23	29	25
32	22	8	16	25	4	21	25	10	25	22	36	14	9	32	29	23	35	15	10	19	25	9	16	24	25	16	18	25	8	22	24	23	21	19	16	21	18	14	10
30	8	22	33	25	19	27	23	30	10	27	25	11	24	23	19	25	27	25	11	25	18	33	25	32	25	23	24	11	16	32	14	29	21	23	9	23	23	22	4
25	23	10	25	16	24	18	9	33	10	23	21	15	32	8	9	8	22	23	26	23	9	29	26	32	14	9	19	16	24	19	25	14	18	29	4	25	21	15	19
23	25	32	21	29	24	26	16	26	32	14	23	12	16	4	25	9	23	16	21	25	26	25	21	18	10	8	23	21	23	29	23	4	15	23	25	30	22	8	27
16	14	8	36	25	21	27	4	4	14	29	9	27	33	30	25	21	10	9	32	14	10	21	23	22	27	33	24	33	4	24	21	18	23	18	10	11	12	32	23
21	10	32	27	9	33	16	24	23	24	9	21	33	23	25	21	14	30	23	35	32	19	24	9	24	11	29	8	24	21	25	32	14	29	12	23	19	9	22	32
21	30	36	24	35	25	33	14	24	11	22	24	25	25	9	22	25	26	14	16	16	25	23	15	22	11	30	25	25	23	14	24	25	18	23	23	23	25	24	16
21	21	23	10	35	21	23	21	10	24	19	22	22	32	23	9	10	33	35	24	15	33	26	18	24	16	22	21	32	10	32	25	16	19	32	22	9	9	16	23
22	25	15	25	36	29	25	24	10	21	23	12	35	25	23	9	18	32	33	24	32	12	4	10	32	22	9	9	23	24	21	25	16	8	10	9	22	30	21	4
22	23	21	14	22	36	10	22	4	23	27	32	25	35	27	30	18	32	15	11	27	29	22	16	24	23	32	16	16	9	32	26	19	32	10	21	33	16	25	4
15	24	24	21	12	24	21	24	26	9	15	32	16	24	22	9	4	21	8	9	23	25	24	25	24	9	26	18	30	23	12	23	9	27	23	32	10	23	22	26
23	29	27	9	16	14	32	8	9	19	25	25	23	19	23	14	19	15	25	9	4	23	22	32	23	24	36	18	22	25	25	22	15	23	10	9	30	8	19	33
4	29	21	25	8	23	9	24	22	35	24	11	24	9	26	23	23	12	9	22	33	12	23	18	25	29	19	33	25	16	29	4	23	10	25	9	26	26	22	24
21	22	9	36	27	23	15	23	21	36	23	10	23	24	32	25	12	23	25	14	25	23	29	23	9	23	25	4	25	16	29	24	36	18	15	21	19	9	32	15
12	24	30	10	27	16	35	21	24	11	24	11	27	19	23	26	9	19	25	19	16	26	4	22	22	23	25	24	16	21	19	30	25	10	24	25	21	23	21	30
23	19	24	25	15	25	22	23	14	32	12	24	21	22	24	10	18	21	14	9	21	25	24	25	23	33	23	21	22	25	18	30	23	18	21	22	23	24	25	12
21	35	36	32	8	12	8	32	24	24	9	9	11	21	25	21	21	24	24	8	23	14	23	25	25	33	35	23	9	21	35	21	30	24	10	12	16	25	22	32
23	24	9	21	10	9	25	15	30	15	24	22	19	27	14	25	25	4	25	22	4	23	26	27	32	25	23	23	21	22	4	26	25	23	8	10	22	15	12	35
23	10	10	25	27	27	24	10	12	23	12	10	30	18	11	21	36	25	16	25	22	25	4	25	30	14	18	11	29	30	30	21	32	33	24	15	36	16	21	36
9	23	24	32	35	19	25	8	25	27	14	9	35	35	21	25	4	35	36	25	23	21	27	33	35	32	22	23	14	21	27	24	26	25	22	8	19	19	23	15
35	15	11	21	21	25	9	21	25	22	14	23	16	9	24	25	18	23	29	25	23	32	4	35	23	23	22	12	23	21	21	32	11	24	33	25	11	21	36	9
21	24	25	22	30	32	33	30	10	9	24	23	21	32	23	25	9	24	24	22	21	15	9	4	32	24	25	10	12	36	18	24	18	8	25	9	19	32	10	4
