"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"fob1 msn2 msn4 sir2_MATalpha_temp30_media_0.05% D_n39.csv",39,0.00323516896370631,62.0529518208923,7.48235754967596,0.104464934535047,NA,34.3846153846154,13.3901286983623,0.389422087424406,0.0804553917967564,0.0032627956556289,-154.4,313,2.94276249782021,38.6373455519604,-155.4,315
"fob1 msn2 msn4 tor1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00161922546606668,37.2532693275616,6.01884657794041,0.134722312122744,NA,41.8,11.0574258607809,0.264531719157438,0.134205201444951,0.000262108687971865,-145.5,295,4.97298846256538,45.5644204753231,-150.9,306
"fob1 msn2 msn4_MATalpha_temp30_media_0.05% D_n140.csv",140,0.00476770788151054,76.0892444006595,6.02797804880664,0.0660800102354947,NA,41.8357142857143,15.6138707538451,0.37321869652353,0.0657097042939539,0.00277482111536457,-579.3,1163,3.00221176676045,46.7930028532304,-583.2,1170
"fob1 nem1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00996505711785898,3.99306674399535,4.05868262343086,0.765998371560008,NA,7.3875,2.87500687946343,0.389171828015354,0.226074284598152,0.0380680520916203,-207.9,420,2.71541153764471,8.30278021316826,-195.8,396
"fob1 phb1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00786051904796712,69.2324481342782,6.0169103243841,0.0724647251337071,NA,31.975,12.3069450894971,0.384892731493264,0.0722194391603887,0.00519626301892574,-158,320,2.87594704189865,35.9025193137193,-156.1,316
"fob1 phb2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00383932303558944,44.6861585166205,8.03525689425507,0.15743704824478,NA,24.45,8.59322929657936,0.351461320923491,0.111445130795171,0.00494714575733354,-143.4,291,3.19515480484981,27.3164769965018,-142,288
"fob1 pmr1_MATalpha_temp30_media_0.05% D_n46.csv",46,0.0568970439615207,58.4984876263391,6.98626410429857,0.102331946469044,NA,8.80434782608696,5.52818863328825,0.627893029953727,0.0853551667113473,0.0606191840403655,-140.4,285,1.71526905747458,9.92901122683817,-137.2,278
"fob1 pnc1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00359110776193247,75.631719470655,7.63426793241258,0.0877180629879329,NA,36.825,14.3436794177961,0.389509284936757,0.0660343111018219,0.00403579664056852,-326.5,657,2.82409549685207,41.333798380264,-325.6,655
"fob1 rad53_MATalpha_temp30_media_0.05% D_n34.csv",34,0.119677833005196,47.5864873940659,6.74818398400927,0.120794458653951,NA,5.08823529411765,3.59602176703918,0.706732601614637,0.10490151598502,0.123995318614011,-86.8,178,1.5174625127769,5.67400281116589,-85.2,174
"fob1 rei1 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00313699123895595,83.5397252189853,7.27294690890881,0.0750893888202928,NA,43.125,17.8830782355692,0.414680075027691,0.0598088907862312,0.00298502076754646,-169.4,343,2.69979309285635,48.4772982398875,-171.5,347
"fob1 rpl31a sir2_MATalpha_temp30_media_0.05% D_n80.csv",80,0.001781698997104,41.3847343129321,6.01953924100797,0.121289633106076,NA,42.525,11.766692963239,0.276700598782811,0.120802104692116,0.000388096594742037,-297.4,599,4.59572369332859,46.4493587121752,-308.9,622
"fob1 rpn4_MATalpha_temp30_media_0.05% D_n39.csv",39,0.0189603638007891,72.9337629802098,7.17783240948553,0.0847046985792007,NA,17.7435897435897,10.070064936596,0.567532561455556,0.068491027532046,0.020797041323218,-142.6,289,1.85463163957508,19.9990695536074,-142.4,289
"fob1 sch9 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.0026938487197446,80.107584511872,6.94139153981214,0.0741676531131907,NA,46.725,19.5775741667963,0.418995701804094,0.0623810424038033,0.00207251031560615,-170.6,345,2.61133792097113,52.1859944069656,-176.9,358
"fob1 sch9_MATalpha_temp30_media_0.05% D_n60.csv",60,0.00169621435734647,45.8819471612462,6.01899721734719,0.109389368321893,NA,48.4333333333333,10.0260113681764,0.207006428799237,0.108966717631455,0.000331333269505754,-224.1,452,5.59553782825952,52.3616468631189,-222.4,449
"fob1 sir2 snf1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00804974192610049,107.013991321127,7.5955116873313,0.0616322371113094,NA,32.025,14.8832852383867,0.464739585898102,0.0466947389859042,0.00961640472897971,-166,336,2.31149229094276,36.1878928136844,-162.6,329
"fob1 sir2 tor1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00442018790466595,79.3018907700628,7.83750507367468,0.0862212112129855,NA,34.2,13.544488346075,0.396037670937866,0.0629750499581171,0.00546876590999938,-324.4,653,2.75251201643143,38.4433668229837,-320.4,645
"fob1 sir2_MATalpha_temp30_media_0.005% D_n80.csv",80,0.00375637483173476,68.4828958942709,6.02668941984975,0.0734006550717473,NA,43.2875,16.6780335710619,0.385285210997676,0.0730085623225042,0.00186474426374277,-329.9,664,2.94242879687156,48.3437843005282,-339.7,683
"fob1 sir2_MATalpha_temp30_media_0.05% D_n868.csv",868,0.00378427858470517,88.3380987132231,7.63870832629411,0.07515113436894,NA,39.5149769585253,16.3027444176536,0.412571274804609,0.0561846766558003,0.00441114503617262,-3648.6,7301,2.64700197790956,44.4849129260444,-3643.1,7290
"fob1 sir3_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00309745003935582,62.6600551771025,7.55927436935693,0.104680315885739,NA,35,13.0894359440479,0.373983884115655,0.079672002878762,0.003199515816323,-158.2,320,3.02448738420291,39.1767730878702,-159,322
"fob1 slm2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00308547475178035,56.3522419939163,7.59934804231797,0.117108881719922,NA,32.525,11.8407975736218,0.364052192886142,0.0885541223943409,0.00321469497617632,-154.4,313,3.054238610488,36.2632001261429,-155.8,316
"fob1 spo7_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00246928785087579,57.0833106455899,7.48943333126668,0.113683548796903,NA,36.5875,11.7717681474134,0.321742894360461,0.0873517906273558,0.00227832207210956,-311.1,626,3.55392005241173,40.7188111153411,-309.2,622
"fob1 tor1_MATalpha_temp30_media_0.05% D_n60.csv",60,0.00278877169159489,59.337838944212,6.0234113589724,0.0846578077050513,NA,44.8166666666667,14.6894308443545,0.327767144165589,0.0842600896817007,0.00113001998004478,-240.6,485,3.64769721201074,49.6820290852445,-245.6,495
"fob1 whi5_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00331704915581618,63.0731372661732,7.68679895105817,0.106016590277401,NA,33.525,12.9198465895473,0.385379465758307,0.079141249105416,0.00372358099364867,-157.6,319,2.93490590579696,37.5683215496799,-158.5,321
"fob1 ybr238c_MATalpha_temp30_media_0.05% D_n80.csv",80,0.0046899452589526,71.2113774726596,7.69574156210308,0.0940262890529507,NA,31.425,13.2414529395141,0.421366839761786,0.0701186336758002,0.00557906808719115,-318.8,642,2.61018847072276,35.4316446674922,-318.1,640
"fob1_MATalpha_temp30_media_0.05% D_n1490.csv",1490,0.00270303171599738,67.3295445907682,7.52785562765126,0.0969538063464982,NA,39.1080536912752,13.3339501485974,0.340951514842893,0.0720859053257186,0.00288637957783412,-6002.6,12009,3.25980551457609,43.5874557396008,-5974,11952
"fob1_MATalpha_temp30_media_SD 0.05% D_n80.csv",80,0.00328855018121903,63.9155340576964,6.02506782784701,0.0786204465304301,NA,43.925,15.3621060990174,0.349734914035684,0.0782250938136978,0.00150769598671451,-324.9,654,3.28577857572659,48.7852915356795,-333.1,670
"tor1_MATalpha_temp30_n180_media_0.05% D.csv",180,0.00502320142101421,73.9454381444859,7.99982733886024,0.0946620577889187,NA,30.3444444444444,11.9483629332476,0.393757841081028,0.0674524302743914,0.00672592614024056,-711.9,1428,2.73673595980491,34.1360505313974,-697.9,1400
