"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"BY4742_MATalpha_temp30_media_0.005% D_n299.csv",299,0.00710123065974383,67.2489279459322,8.03917205974023,0.104673372122745,NA,25.123745819398,9.79323513340349,0.389799960714542,0.0740243227919912,0.00955132819961632,-1133.6,2271,2.73400250872431,28.2463927632815,-1100.2,2204
"BY4742_MATalpha_temp30_media_0.05% D_n4690.csv",4690,0.00474961057248305,58.1279360114344,7.86002617129171,0.118015994408304,NA,27.1756929637527,9.95838246491485,0.366444472205271,0.0784815558916481,0.00719078629940358,-17832.1,35668,2.91995846531605,30.4436018683897,-17401.2,34806
"fob1 gcn2_MATalpha_temp30_media_0.05% D_n260.csv",260,0.00309129202722511,70.2245912871877,7.64908668519677,0.0946831667272355,NA,37.3692307692308,13.357073212774,0.357435059213796,0.0708570422825708,0.00341443437296085,-1048.3,2101,3.08281494476134,41.784117130818,-1041.5,2087
"fob1 gcn20_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00312522088458332,81.5279565250504,7.83251287266765,0.0838057663148749,NA,39.175,15.0074981259369,0.38308865669271,0.0612607465337845,0.00392059740094647,-165.7,335,2.91346827141611,44.0562629695399,-163.7,331
"fob1 gcn3_MATalpha_temp30_media_0.05% D_n39.csv",39,0.0040456020031857,66.0138397151295,6.02173603155908,0.0760709580480314,NA,41.9230769230769,13.6928421858103,0.326618253973457,0.0757402340454297,0.00200455709113058,-157.4,319,3.50753354183384,46.7396573038515,-156.2,316
"fob1 gcn4 hap4_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00221117905974553,51.0844812389683,7.47377677591141,0.126726877104374,NA,35.3,10.6028539941146,0.300364135810613,0.0976941414307488,0.00194357205836616,-151.8,308,3.80938068081374,39.1488421071179,-150.2,304
"fob1 gcn4_MATalpha_temp30_media_0.05% D_n200.csv",200,0.00390889444549745,75.6621911616357,7.82229715983427,0.0901678507467479,NA,34.52,13.6016404567823,0.394022029454876,0.0659017623374318,0.00488887784256793,-809.2,1622,2.77743461781653,38.8177419580752,-802.3,1609
"fob1 gcn4_MATalpha_temp30_media_SD 0.05% D_n74.csv",74,0.0414520563324654,95.694686344719,7.2211361885647,0.0650102573736898,NA,12.8243243243243,7.56226774009125,0.589681572989202,0.0522145694029954,0.0451351792611611,-253.7,511,1.83481462775949,14.5125990842745,-244.3,493
"fob1 gln3 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.0254367987204959,178.311863123472,6.7597769241619,0.0323017034496103,NA,22.19,15.3975565423462,0.693896193886714,0.0280377476909723,0.0263706837928619,-401.3,807,1.43588100205154,24.4169998332174,-401.3,807
"fob1 gln3_MATalpha_temp30_media_0.05% D_n79.csv",79,0.0146101137668445,93.096888892064,7.19674072600034,0.0665622750636147,NA,22.8101265822785,12.8811887783211,0.564713603489106,0.0536758909588156,0.0160636142135044,-308.6,621,1.84476330023765,25.6941518702163,-308.7,621
"fob1 gpa2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00354185073951585,50.6204170033904,7.95715671098029,0.137437759758366,NA,27.625,9.55332537083426,0.345821732880878,0.0984779013359003,0.0044045304593347,-148.2,300,3.22923789418445,30.8632403108101,-146.1,296
"fob1 hac1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00304332630392462,64.8032844190543,7.31841477702639,0.0975014589718631,NA,36.775,15.1242503522637,0.411264455534023,0.0770636939541023,0.00284491288792689,-161.1,326,2.72237757498109,41.1731957708364,-165.7,335
"fob1 hap4 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00413733917365854,103.378133351514,7.37834449280996,0.0616991648622813,NA,42.725,19.779538119105,0.462949985233587,0.0483409586188001,0.00447217508469945,-173.8,352,2.36484229920985,48.2582280174973,-174.8,354
"fob1 hap4_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00249428761002565,57.9118804841657,7.62083032395868,0.114325942597719,NA,36.2375,11.3016675704702,0.311877683903972,0.0860954878888131,0.0024798238462711,-310.4,625,3.58935052277025,40.2442320612516,-306.6,617
"fob1 hst1 hst2 hst3 hst4 sir2_MATalpha_temp30_media_0.05% D_n42.csv",42,0.104200739966199,96.5316199220548,6.00018708349735,0.0517984375226977,NA,7.02380952380952,5.71044441155573,0.81301242469607,0.0517964951974078,0.102297659732959,-122.5,249,1.25338548959825,7.56959585759993,-122.3,249
"fob1 hst1 hst2 hst4 sir2_MATalpha_temp30_media_0.05% D_n160.csv",160,0.0046973234755951,80.5076760287948,7.74754745350577,0.0838124733732521,NA,33.875,14.1682389064658,0.418250595024821,0.0620055163083841,0.00567183337319283,-651.5,1307,2.6007681497075,38.1412837453124,-648.6,1301
"fob1 hst1 hst2 sir2_MATalpha_temp30_media_0.005% D_n40.csv",40,0.00293659373836848,62.3599599976991,6.02157422652738,0.0805256165448576,NA,44.775,16.3918170642143,0.366093066760788,0.080177988958549,0.00127364751855959,-163,330,3.20868673905493,49.8321068257703,-168.7,341
"fob1 hst1 hst2 sir2_MATalpha_temp30_media_0.05% D_n138.csv",138,0.00344270623010592,78.654553315434,7.79488330269111,0.0863889376555367,NA,37.8623188405797,13.884398653546,0.366707562524278,0.0634465774899922,0.0041107510710555,-564.7,1133,2.99258650010208,42.4575047290736,-556.5,1117
"fob1 hst1 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.00412033997141342,81.842358978106,7.82726188249538,0.083419661502203,NA,35.34,14.2305830853656,0.402676374798122,0.0610250549734713,0.00523300333331079,-409.6,823,2.7217355707633,39.8229562797565,-404.5,813
"fob1 hst2 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00308025269624352,65.4661343146559,6.02160654236958,0.0767054079936013,NA,45.925,15.1291660929037,0.329432032507429,0.0763739085606397,0.00138053419938089,-163.1,330,3.60280554977269,51.1140431589458,-164.2,332
"fob1 hst3 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.0159891784778545,149.414392520167,6.00177164128823,0.0334758356067548,NA,30.05,18.6519401616795,0.620696843982678,0.0334639668952496,0.0143342755617181,-169.6,343,1.6800795154392,33.7261132565645,-169.5,343
"fob1 hst4 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.00352502209605198,86.4621795456301,7.56970124693107,0.0759835257618498,NA,40.7,16.0677228371576,0.394784344893308,0.0577734642884754,0.00388531724454779,-419.9,844,2.81411111779515,45.8364552079368,-416.7,837
"fob1 idh2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.003782290312793,63.0717404239288,7.68033452176005,0.105916444938082,NA,31.85,12.5095860678818,0.392765653622664,0.0791420061130652,0.00431811825946083,-157,318,2.87816677118902,35.853427002207,-156.4,317
"fob1 los1 sir2_MATalpha_temp30_media_0.05% D_n117.csv",117,0.00329062707738503,80.5887555725706,7.59134758586686,0.0817899164596395,NA,40.008547008547,15.4498609113791,0.386164009107319,0.0619552482362012,0.00359270962149256,-485.6,975,2.81580876353218,44.7761236998316,-487.2,978
"fob1 mkk1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00193754759271525,47.0712753109698,7.36449135976273,0.135209664869214,NA,36.3,9.7486356704873,0.268557456487254,0.105964144219454,0.00140664157770658,-148.8,302,4.25700572844417,39.9140511269891,-147.2,298
"fob1 msn2 msn4 pCM225PNC1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00279003566581694,53.9244070649062,7.74412704768192,0.125066318106462,NA,32.325,10.9693921482717,0.339347011547461,0.0925075402245685,0.00304069668753552,-152.2,308,3.36511130103098,35.9865145936836,-151.9,308
"fob1 msn2 msn4 sch9_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00105104066379491,21.7784523449706,6.01391775516233,0.230223786141545,NA,34.9,7.86031903834796,0.225224041213409,0.229529363893834,3.84559220269071e-05,-126.2,256,6.73481928799338,37.4192425839262,-134.3,273
