"BootstrapMean...c..files...","RwithStd","t0withStd","nwithStd","GwithStd","avgLSwithStd"
"BY4742_MATalpha_temp30_media_YPD_n19930.csv","0.0046 +/- 1e-04","51 +/- 0.4","7.6 +/- 0.008","0.13 +/- 0.001","26.22 +/- 0.063"
"fob1_MATalpha_temp30_media_YPD_n4738.csv","0.0039 +/- 1e-04","63.8 +/- 1.2","7.4 +/- 0.027","0.1 +/- 0.002","32.81 +/- 0.163"
"sch9_MATalpha_temp30_media_YPD_n2200.csv","0.0033 +/- 0.001","60.8 +/- 1.3","7.2 +/- 0.609","0.1 +/- 0.01","35.71 +/- 0.26"
"sir2_MATalpha_temp30_media_YPD_n1497.csv","0.0245 +/- 0.0034","63.1 +/- 9.8","7.7 +/- 0.737","0.13 +/- 0.151","14.21 +/- 0.139"
"SIR2OE_MATalpha_temp30_media_YPD_n2514.csv","0.0034 +/- 1e-04","61.7 +/- 1.4","7.5 +/- 0.036","0.11 +/- 0.002","33.82 +/- 0.221"
"sod2_MATalpha_temp30_media_YPD_n542.csv","0.0077 +/- 8e-04","76 +/- 13","7.6 +/- 0.919","0.09 +/- 0.005","26.81 +/- 0.596"
"tor1_MATalpha_temp30_media_YPD_n2823.csv","0.0034 +/- 2e-04","56.9 +/- 1.7","7.5 +/- 0.057","0.11 +/- 0.003","32.1 +/- 0.231"
