"BootstrapMean...c..files...","RwithStd","t0withStd","nwithStd","GwithStd"
"fob1 msn2 msn4_MATalpha_temp30_media_0.05% D_n140.csv","0.0034 +/- 0.0011","77.1 +/- 4.7","7 +/- 0.888","0.08 +/- 0.007"
"fob1 nem1_MATalpha_temp30_media_0.05% D_n80.csv","0.0062 +/- 0.0027","5 +/- 6.8","4.6 +/- 3.041","1.35 +/- 0.689"
"fob1 phb1_MATalpha_temp30_media_0.05% D_n40.csv","0.0059 +/- 0.0026","72.6 +/- 10.5","7.1 +/- 0.982","0.09 +/- 0.022"
"fob1 phb2_MATalpha_temp30_media_0.05% D_n40.csv","0.0029 +/- 5e-04","40.5 +/- 3.3","7.8 +/- 0.036","0.17 +/- 0.014"
"fob1 pmr1_MATalpha_temp30_media_0.05% D_n46.csv","0.0446 +/- 0.0192","40.9 +/- 34.6","5.2 +/- 2.952","0.35 +/- 0.428"
"fob1 pnc1_MATalpha_temp30_media_0.05% D_n80.csv","0.0036 +/- 1e-04","77.5 +/- 3.3","7.7 +/- 0.2","0.09 +/- 0.003"
"fob1 rad53_MATalpha_temp30_media_0.05% D_n34.csv","0.1292 +/- 0.0215","40.9 +/- 17.7","6.7 +/- 0.121","0.16 +/- 0.056"
"fob1 rei1 sir2_MATalpha_temp30_media_0.05% D_n40.csv","0.0039 +/- 5e-04","75.5 +/- 6.3","6 +/- 0.003","0.07 +/- 0.006"
"fob1 rpl31a sir2_MATalpha_temp30_media_0.05% D_n80.csv","0.0017 +/- 3e-04","40.9 +/- 3.8","6 +/- 0.002","0.12 +/- 0.012"
"fob1 rpn4_MATalpha_temp30_media_0.05% D_n39.csv","0.0112 +/- 0.0013","54.2 +/- 7","7.6 +/- 0.134","0.12 +/- 0.017"
"fob1 sch9 sir2_MATalpha_temp30_media_0.05% D_n40.csv","0.0029 +/- 0.0013","68.5 +/- 16.7","6 +/- 0.004","0.08 +/- 0.018"
"fob1 sch9_MATalpha_temp30_media_0.05% D_n60.csv","0.0015 +/- 2e-04","44.1 +/- 3.5","6 +/- 0.002","0.11 +/- 0.009"
"fob1 sir2 snf1_MATalpha_temp30_media_0.05% D_n40.csv","0.0101 +/- 0.0061","107 +/- 33.2","6.6 +/- 1.11","0.06 +/- 0.027"
"fob1 sir2 tor1_MATalpha_temp30_media_0.05% D_n80.csv","0.0043 +/- 6e-04","81.4 +/- 6.2","7.9 +/- 0.055","0.09 +/- 0.007"
"fob1 sir2_MATalpha_temp30_media_0.005% D_n80.csv","0.0029 +/- 3e-04","69.3 +/- 5.4","6.8 +/- 0.63","0.08 +/- 0.004"
"fob1 sir2_MATalpha_temp30_media_0.05% D_n868.csv","0.0038 +/- 2e-04","87.4 +/- 3.4","7.6 +/- 0.081","0.08 +/- 0.002"
"fob1 sir3_MATalpha_temp30_media_0.05% D_n40.csv","0.0039 +/- 9e-04","64.6 +/- 2.9","7 +/- 0.85","0.09 +/- 0.011"
"fob1 slm2_MATalpha_temp30_media_0.05% D_n40.csv","0.003 +/- 7e-04","55 +/- 8","7.6 +/- 0.146","0.12 +/- 0.017"
"fob1 spo7_MATalpha_temp30_media_0.05% D_n80.csv","0.0031 +/- 7e-04","57.1 +/- 6.3","7 +/- 0.874","0.11 +/- 0.007"
"fob1 tor1_MATalpha_temp30_media_0.05% D_n60.csv","0.0025 +/- 6e-04","54.4 +/- 4.5","6 +/- 0.003","0.09 +/- 0.007"
"fob1 whi5_MATalpha_temp30_media_0.05% D_n40.csv","0.0035 +/- 0.0015","61.9 +/- 10.2","7.6 +/- 0.111","0.11 +/- 0.016"
"fob1 ybr238c_MATalpha_temp30_media_0.05% D_n80.csv","0.0056 +/- 4e-04","75.3 +/- 5.7","7.6 +/- 0.044","0.09 +/- 0.006"
"fob1_MATalpha_temp30_media_0.05% D_n1490.csv","0.0026 +/- 1e-04","66.8 +/- 0.8","7.5 +/- 0.054","0.1 +/- 0.001"
"fob1_MATalpha_temp30_media_SD 0.05% D_n80.csv","0.0034 +/- 5e-04","69.4 +/- 3.7","6.4 +/- 0.651","0.08 +/- 0.005"
"tor1_MATalpha_temp30_n180_media_0.05% D.csv","0.0054 +/- 6e-04","76 +/- 4.4","7.8 +/- 0.014","0.09 +/- 0.005"
