39	41	40	37	45	24	28	42	24	40	44	34	34	36	36	45	38	46	28	46	39	40	36	28	39	33	34	15	39	40	27	42	42	39	41	28	29	41	24	43	41	25	40	37	31	38	47	46	41	37	40	35	27	11	31	42	18	23	47	46	25	44	36	39	45	42	39	42	34	42	39	18	28	36	42	34	44	35	35	44	35	40	39	27	28	29	33	36	29	36	43	44	42	44	45	37	42	19	43	15	39	49	46	29	42	29	38	42	39	31	30	41	37	44	44	40	36	42	38	47	37	37	33	15	37	40	32	42	28	18
45	36	47	18	55	28	33	15	42	38	35	18	26	38	26	24	32	28	11	18	44	31	44	41	42	14	31	34	39	42	39	40	46	40	29	25	14	40	46	38	40	44	24	43	45	37	25	24	18	44	37	28	37	45	34	43	27	23	46	34	27	15	44	47	25	37	47	39	20	40	20	34	42	28	20	36	37	31	38	40	27	28	49	39	37	41	44	41	42	42	11	44	36	40	34	45	35	40	28	44	37	14	14	34	34	40	46	27	40	34	15	30	18	32	38	42	31	41	35	25	35	25	35	34	26	39	39	55	18	33
46	28	37	37	19	45	11	42	26	24	23	23	42	28	39	42	40	55	35	36	32	43	15	23	41	34	39	34	37	38	34	15	31	39	24	34	40	35	48	15	39	23	35	35	31	25	27	44	30	42	18	18	44	24	31	47	25	25	34	36	39	37	24	23	37	32	18	46	37	46	34	34	35	37	30	18	45	18	37	37	29	29	20	18	25	45	26	37	41	15	39	36	38	23	38	45	36	42	34	43	41	37	37	39	47	39	35	33	41	45	31	37	49	39	26	23	24	39	38	29	25	25	40	37	55	31	26	40	29	28
41	33	14	15	37	34	40	40	36	36	40	25	42	35	39	46	27	39	44	24	47	41	39	43	35	39	38	34	38	32	34	28	18	40	42	23	45	43	24	34	37	28	45	25	47	29	55	24	42	37	35	34	40	38	38	32	40	33	37	33	27	40	27	34	39	42	40	29	37	39	15	47	32	24	15	36	32	32	42	32	48	39	37	40	44	42	18	27	34	45	39	48	29	24	36	43	38	44	37	43	31	39	24	26	28	40	25	32	26	49	44	29	44	47	38	39	39	40	41	39	39	30	23	39	42	39	27	36	36	44
27	44	29	55	25	31	32	45	32	46	40	46	41	28	34	23	33	39	43	37	42	41	39	35	28	46	39	38	40	29	40	35	39	35	31	20	38	23	34	23	37	42	18	44	29	26	35	35	40	24	45	14	34	37	29	28	40	28	29	28	36	23	38	34	27	31	39	36	30	41	39	46	27	41	39	40	44	55	44	36	39	36	37	34	32	26	29	23	38	43	36	41	40	14	24	36	55	34	42	36	42	26	15	28	40	44	31	34	29	32	40	42	32	30	40	47	39	28	40	37	38	35	38	41	31	36	32	18	27	24
37	47	41	36	38	44	37	25	44	42	39	47	14	25	34	36	29	36	39	45	36	33	18	37	26	34	44	40	25	39	35	37	35	24	39	42	28	15	42	41	34	55	47	39	40	26	36	37	36	24	35	39	37	30	39	34	32	39	15	48	37	41	34	24	31	35	39	36	37	45	36	39	37	42	41	23	19	23	30	41	11	47	35	37	35	47	47	39	45	24	46	28	44	41	36	15	38	37	41	40	43	34	39	34	11	36	32	32	39	40	29	15	47	31	49	34	35	14	38	39	37	44	24	34	31	34	34	42	32	32
28	44	48	46	35	44	45	35	32	24	24	41	38	35	20	34	24	39	39	26	46	45	29	35	48	31	37	44	35	27	19	29	37	47	44	35	35	41	27	32	42	42	14	23	44	15	36	14	32	35	24	40	18	32	39	41	18	23	31	46	40	38	18	40	41	36	28	36	38	34	24	45	41	14	44	23	31	41	24	23	38	34	33	35	38	14	36	35	24	35	40	40	20	38	39	37	34	30	44	43	18	42	36	35	34	39	37	29	36	44	45	39	40	28	32	27	38	44	34	39	27	35	27	44	14	23	41	36	15	40
35	25	28	37	32	44	37	32	38	39	37	23	41	45	55	39	44	38	15	33	27	20	40	30	34	40	29	36	43	41	23	39	34	43	37	33	34	31	34	34	41	42	35	29	34	18	40	40	39	38	35	28	42	24	26	41	35	33	35	34	18	38	32	28	29	29	29	47	40	41	46	43	28	30	23	34	39	34	30	35	15	40	15	42	25	31	34	32	37	15	39	40	40	25	25	27	37	37	32	33	45	24	45	32	37	32	39	37	55	11	34	44	44	46	29	47	36	44	14	38	31	41	15	29	41	15	24	35	37	37
32	42	15	41	32	24	37	37	39	44	43	36	39	39	39	34	39	42	23	24	37	35	37	29	38	39	45	14	47	46	41	43	35	23	40	38	20	46	43	40	39	37	44	39	47	43	39	18	40	18	36	45	39	33	35	20	39	41	14	24	37	47	41	44	44	35	37	23	25	30	14	39	42	38	42	44	39	39	47	29	48	35	39	43	34	45	44	44	26	37	44	55	25	36	49	14	25	34	30	30	37	40	35	39	40	41	11	39	40	25	44	33	18	44	42	46	43	39	45	46	37	39	26	37	33	23	46	42	14	28
20	33	47	27	29	37	18	34	29	36	37	24	36	49	28	34	18	45	36	23	27	39	39	39	39	45	37	32	34	29	44	24	32	24	35	39	32	24	40	40	37	40	23	36	20	35	24	49	37	37	47	46	15	29	42	15	28	28	36	43	29	46	27	43	30	26	23	29	23	27	35	39	36	37	39	14	29	37	23	24	35	34	36	37	40	39	25	18	26	23	25	37	37	40	31	44	48	43	36	37	34	41	23	39	23	47	25	23	34	34	37	37	35	33	39	34	18	42	44	35	29	28	44	39	18	31	37	23	18	42
29	30	45	44	39	30	42	24	38	47	37	31	38	45	35	39	30	28	48	36	40	36	26	31	45	32	28	39	33	33	32	27	36	25	40	37	33	27	30	15	39	33	39	37	45	18	27	30	28	29	42	34	14	37	31	39	25	25	44	32	48	35	27	39	39	36	41	34	36	43	39	35	34	37	19	36	39	41	45	18	36	37	35	40	35	45	37	19	35	33	34	14	38	34	39	15	41	38	38	32	31	37	31	32	35	24	26	39	28	34	25	38	44	43	48	38	18	36	36	27	39	32	44	32	39	44	45	47	24	39
31	36	37	35	29	23	29	23	42	18	29	35	27	29	44	39	44	15	35	23	25	34	47	42	15	39	34	29	34	40	40	32	36	43	36	36	36	34	27	37	32	25	32	39	47	40	38	55	24	39	36	35	46	39	39	45	23	18	25	37	42	47	24	45	14	32	37	14	37	24	46	40	36	23	34	47	27	45	36	34	31	47	40	37	37	38	41	46	25	28	45	24	44	36	25	27	15	18	15	45	42	32	27	33	18	31	35	47	26	34	41	39	11	34	55	37	30	24	37	43	37	37	44	41	44	25	29	26	33	45
