Confirmed Load of Data File: M34.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00181        0.14202        0.00069        0.11140        0.00474        0.18105        -199.73720     0              
Line2          0.00010        0.10000        0.00041        0.20093        0.00012        0.16152        0.00143        0.24996        -182.75198     0              
Line3          0.00010        0.10000        0.00147        0.15980        0.00054        0.12678        0.00398        0.20142        -192.56278     0              
Line4          0.00010        0.10000        0.00075        0.17563        0.00025        0.14044        0.00232        0.21964        -188.93315     0              
Line5          0.00010        0.10000        0.00136        0.15961        0.00048        0.12589        0.00380        0.20237        -194.39338     0              
Line6          0.00010        0.10000        0.00051        0.17943        0.00015        0.14336        0.00171        0.22458        -189.28837     0              
Line7          0.00010        0.10000        0.00058        0.18775        0.00018        0.15084        0.00186        0.23369        -185.78609     0              
Line8          0.00010        0.10000        0.00126        0.15783        0.00045        0.12474        0.00355        0.19969        -194.80526     0              
Line9          0.00010        0.10000        0.00215        0.13854        0.00085        0.10834        0.00543        0.17714        -200.65307     0              
Line10         0.00010        0.10000        0.00056        0.18467        0.00017        0.14798        0.00183        0.23046        -186.49339     0              
Line11         0.00010        0.10000        0.00048        0.19083        0.00014        0.15333        0.00162        0.23752        -184.25250     0              
Line12         0.00010        0.10000        0.00093        0.16645        0.00032        0.13347        0.00269        0.20757        -190.23067     0              
Line13         0.00010        0.10000        0.00104        0.16699        0.00036        0.13304        0.00297        0.20961        -192.43241     0              
Line14         0.00010        0.10000        0.00308        0.12597        0.00133        0.09838        0.00713        0.16129        -203.05384     0              
Line15         0.00010        0.10000        0.00209        0.14161        0.00082        0.11066        0.00537        0.18123        -199.88494     0              
Line16         0.00010        0.10000        0.00090        0.17185        0.00030        0.13740        0.00265        0.21493        -189.42061     0              
Line17         0.00010        0.10000        0.00097        0.16494        0.00032        0.13006        0.00295        0.20919        -194.28320     0              
Line18         0.00010        0.10000        0.00065        0.18239        0.00020        0.14562        0.00208        0.22844        -187.48935     0              
Line19         0.00010        0.10000        0.00393        0.13335        0.00177        0.10429        0.00872        0.17050        -198.12857     0              
Line20         0.00010        0.10000        0.00057        0.17961        0.00018        0.14434        0.00182        0.22350        -186.92002     0              
Line21         0.00010        0.10000        0.00124        0.16826        0.00044        0.13397        0.00347        0.21131        -190.22361     0              
Line22         0.00010        0.10000        0.00112        0.16649        0.00038        0.13169        0.00325        0.21048        -192.77649     0              
Line23         0.00010        0.10000        0.00124        0.15235        0.00043        0.11989        0.00352        0.19360        -197.67522     0              
Line24         0.00010        0.10000        0.00204        0.13979        0.00082        0.11045        0.00508        0.17692        -198.55115     0              
Line25         0.00010        0.10000        0.00161        0.15137        0.00061        0.11960        0.00427        0.19159        -196.35283     0              
Line26         0.00010        0.10000        0.00113        0.16025        0.00040        0.12765        0.00318        0.20116        -193.06224     0              
Line27         0.00010        0.10000        0.00164        0.14859        0.00063        0.11763        0.00431        0.18769        -196.19967     0              
Line28         0.00010        0.10000        0.00081        0.17530        0.00027        0.14068        0.00242        0.21845        -187.93827     0              
Line29         0.00010        0.10000        0.00038        0.19471        0.00011        0.15632        0.00135        0.24254        -183.75263     0              
Line30         0.00010        0.10000        0.00155        0.14975        0.00058        0.11852        0.00412        0.18921        -196.45854     0              
Line31         0.00010        0.10000        0.00045        0.19142        0.00013        0.15343        0.00154        0.23882        -185.50905     0              
Line32         0.00010        0.10000        0.00158        0.14896        0.00059        0.11723        0.00426        0.18927        -197.70093     0              
Line33         0.00010        0.10000        0.00170        0.15000        0.00064        0.11848        0.00447        0.18991        -196.04387     0              
Line34         0.00010        0.10000        0.00114        0.16038        0.00040        0.12737        0.00322        0.20194        -193.77932     0              
Line35         0.00010        0.10000        0.00191        0.14297        0.00074        0.11230        0.00493        0.18200        -198.83200     0              
Line36         0.00010        0.10000        0.00051        0.18931        0.00016        0.15223        0.00169        0.23541        -184.93117     0              
Line37         0.00010        0.10000        0.00240        0.13051        0.00095        0.10116        0.00602        0.16837        -203.88466     0              
Line38         0.00010        0.10000        0.00139        0.15808        0.00053        0.12676        0.00365        0.19715        -192.09398     0              
Line39         0.00010        0.10000        0.00166        0.14930        0.00064        0.11872        0.00428        0.18775        -195.31316     0              
Line40         0.00010        0.10000        0.00126        0.15984        0.00045        0.12665        0.00353        0.20173        -193.75201     0              
