Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00403        0.11253        0.00232        0.09419        0.00701        0.13444        -374.21709     0              
Line2          0.00010        0.10000        0.00207        0.15073        0.00108        0.12810        0.00397        0.17735        -350.59902     0              
Line3          0.00010        0.10000        0.00407        0.13309        0.00236        0.11258        0.00702        0.15735        -357.55448     0              
Line4          0.00010        0.10000        0.00423        0.11244        0.00244        0.09391        0.00735        0.13463        -374.43610     0              
Line5          0.00010        0.10000        0.00353        0.11940        0.00202        0.10098        0.00616        0.14119        -368.14834     0              
Line6          0.00010        0.10000        0.00399        0.12110        0.00235        0.10243        0.00678        0.14317        -365.44419     0              
Line7          0.00010        0.10000        0.00240        0.13511        0.00129        0.11455        0.00445        0.15936        -360.55059     0              
Line8          0.00010        0.10000        0.00427        0.11878        0.00250        0.10011        0.00729        0.14094        -367.50289     0              
Line9          0.00010        0.10000        0.00253        0.13551        0.00137        0.11498        0.00467        0.15971        -359.65683     0              
Line10         0.00010        0.10000        0.00287        0.13208        0.00158        0.11168        0.00523        0.15622        -362.23691     0              
Line11         0.00010        0.10000        0.00504        0.10916        0.00298        0.09100        0.00855        0.13094        -374.54642     0              
Line12         0.00010        0.10000        0.00441        0.11849        0.00260        0.10005        0.00749        0.14032        -366.94010     0              
Line13         0.00010        0.10000        0.00251        0.14470        0.00137        0.12333        0.00462        0.16977        -351.68094     0              
Line14         0.00010        0.10000        0.00296        0.13414        0.00162        0.11347        0.00538        0.15858        -359.56427     0              
Line15         0.00010        0.10000        0.00396        0.12764        0.00230        0.10832        0.00680        0.15040        -360.18312     0              
Line16         0.00010        0.10000        0.00551        0.10888        0.00329        0.09067        0.00923        0.13074        -373.45818     0              
Line17         0.00010        0.10000        0.00308        0.12698        0.00169        0.10676        0.00561        0.15102        -366.56985     0              
Line18         0.00010        0.10000        0.00350        0.12754        0.00199        0.10776        0.00618        0.15094        -362.18761     0              
Line19         0.00010        0.10000        0.00524        0.11494        0.00310        0.09598        0.00887        0.13763        -368.98054     0              
Line20         0.00010        0.10000        0.00567        0.11074        0.00342        0.09265        0.00941        0.13236        -370.28319     0              
Line21         0.00010        0.10000        0.00283        0.14157        0.00153        0.11969        0.00521        0.16746        -355.74851     0              
Line22         0.00010        0.10000        0.00319        0.12268        0.00179        0.10371        0.00569        0.14511        -366.44926     0              
Line23         0.00010        0.10000        0.00413        0.12410        0.00238        0.10448        0.00716        0.14742        -364.06342     0              
Line24         0.00010        0.10000        0.00409        0.11672        0.00234        0.09768        0.00714        0.13948        -371.18056     0              
Line25         0.00010        0.10000        0.00292        0.13515        0.00164        0.11530        0.00519        0.15843        -357.02074     0              
Line26         0.00010        0.10000        0.00463        0.10460        0.00271        0.08697        0.00791        0.12581        -379.90341     0              
Line27         0.00010        0.10000        0.00245        0.14453        0.00132        0.12291        0.00455        0.16996        -353.88454     0              
Line28         0.00010        0.10000        0.00413        0.11624        0.00237        0.09734        0.00718        0.13882        -371.77418     0              
Line29         0.00010        0.10000        0.00509        0.10736        0.00301        0.08947        0.00860        0.12883        -375.28828     0              
Line30         0.00010        0.10000        0.00535        0.10483        0.00319        0.08717        0.00898        0.12607        -376.82906     0              
Line31         0.00010        0.10000        0.00494        0.10773        0.00290        0.08958        0.00843        0.12956        -376.75554     0              
Line32         0.00010        0.10000        0.00631        0.10656        0.00383        0.08852        0.01039        0.12828        -373.24580     0              
