35	1
37	2
14	3
27	4
29	5
32	6
17	7
22	8
26	9
37	10
26	11
17	12
29	13
34	14
32	15
18	16
25	17
21	18
23	19
32	20
31	21
40	22
40	23
24	24
17	25
29	26
29	27
16	28
18	29
15	30
42	31
15	32
43	33
37	34
24	35
34	36
35	37
27	38
26	39
35	40
28	41
32	42
31	43
33	44
24	45
18	46
12	47
17	48
23	49
37	50
18	51
26	52
37	53
27	54
22	55
17	56
27	57
23	58
26	59
16	60
32	61
29	62
28	63
29	64
28	65
35	66
5	67
29	68
32	69
21	70
17	71
31	72
25	73
31	74
17	75
16	76
28	77
22	78
29	79
24	80
24	81
14	82
25	83
14	84
25	85
24	86
27	87
29	88
22	89
29	90
27	91
24	92
27	93
23	94
18	95
28	96
24	97
24	98
21	99
27	100
22	101
21	102
23	103
26	104
23	105
