rls
28
10
21
17
11
38
24
27
19
27
5
16
36
30
30
18
3
21
19
25
24
12
31
17
21
41
18
15
12
29
13
24
13
30
27
20
13
34
12
7
14
10
33
12
18
19
25
22
35
27
23
21
18
17
24
6
32
29
13
27
16
19
35
22
23
16
25
4
21
30
20
23
47
29
21
24
29
22
26
21
19
29
33
20
11
17
20
10
20
25
18
5
20
15
25
23
20
22
17
17
26
28
21
12
27
15
19
16
26
19
28
21
26
11
24
19
17
30
15
50
23
12
26
18
7
14
10
33
12
30
34
21
17
13
