rls
47
10
58
70
42
48
65
49
30
47
47
52
48
45
51
71
46
44
14
49
20
62
58
22
29
64
63
18
48
51
64
11
63
62
58
65
57
59
21
68
62
18
23
46
66
66
64
46
30
66
92
14
76
60
52
14
24
64
40
20
9
14
34
77
64
37
17
68
18
14
54
16
62
66
23
70
60
64
59
60
64
65
45
30
33
55
22
42
63
41
48
41
37
64
38
55
43
38
43
33
20
71
49
48
50
21
56
66
40
50
57
43
5
14
26
25
66
68
40
46
