rls
73
44
10
30
38
51
24
46
38
43
10
47
63
38
29
44
44
40
42
45
19
40
18
24
20
21
14
32
18
47
46
39
12
16
13
14
17
16
18
46
14
24
23
50
35
13
30
15
33
56
19
6
50
39
48
39
59
56
4
22
21
16
27
14
24
34
15
8
9
11
14
8
32
11
7
8
57
57
13
19
8
20
26
12
17
19
10
5
17
15
14
9
15
36
31
9
14
9
16
27
37
52
53
45
36
31
52
41
15
35
15
23
20
19
54
4
24
15
14
37
22
22
58
37
35
46
43
41
40
61
32
52
12
32
32
60
25
31
58
39
14
29
15
14
9
37
14
32
22
13
36
21
31
12
21
24
15
12
21
19
27
37
21
40
12
36
33
11
7
21
14
14
20
35
13
19
16
12
12
13
41
52
26
50
17
22
15
34
46
18
37
44
61
40
6
49
30
27
51
43
39
25
29
35
31
20
44
38
52
37
24
33
24
37
28
31
45
45
36
39
