rls
14
13
5
15
23
14
15
16
12
17
10
24
6
11
12
9
10
11
12
16
7
16
14
7
10
33
18
8
14
15
15
12
19
17
21
13
9
17
26
22
18
14
11
18
12
18
13
16
10
14
11
16
16
6
12
10
15
18
16
18
16
14
11
14
13
15
13
21
9
13
16
12
15
9
10
15
11
17
16
14
11
10
9
13
11
13
12
13
8
5
8
14
11
9
13
9
13
10
6
8
17
16
26
23
11
17
15
15
19
12
16
19
8
14
8
9
16
15
11
16
