Confirmed Load of Data File: YPS128.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line59         0.00010        0.10000        0.00086        0.12293        0.00034        0.10082        0.00213        0.14988        -246.06648     0              
Line60         0.00010        0.10000        0.00129        0.12113        0.00055        0.09890        0.00303        0.14834        -246.08080     0              
Line61         0.00010        0.10000        0.00080        0.12803        0.00031        0.10455        0.00207        0.15678        -245.18007     0              
Line62         0.00010        0.10000        0.00114        0.11709        0.00046        0.09436        0.00285        0.14530        -251.69396     0              
Line63         0.00010        0.10000        0.00190        0.10306        0.00085        0.08262        0.00426        0.12855        -257.23370     0              
Line64         0.00010        0.10000        0.00065        0.13199        0.00024        0.10799        0.00175        0.16134        -242.85141     0              
Line65         0.00010        0.10000        0.00041        0.14459        0.00014        0.11865        0.00119        0.17620        -238.20032     0              
Line66         0.00010        0.10000        0.00161        0.10826        0.00071        0.08784        0.00364        0.13343        -252.89802     0              
Line67         0.00010        0.10000        0.00106        0.11874        0.00043        0.09683        0.00258        0.14562        -248.64898     0              
Line68         0.00010        0.10000        0.00083        0.12315        0.00033        0.10084        0.00210        0.15040        -246.23640     0              
Line69         0.00010        0.10000        0.00081        0.12870        0.00032        0.10598        0.00202        0.15628        -242.53671     0              
