"my.strains","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","avgLSstd","stdLS","BestModel","longfilename","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"101S",85,0.00118860135932573,0.000626340666482717,138.641131664619,44.436049406891,23.9361835970162,9.96650379797154,0.160521168845352,0.021769253610874,31.4582352941176,0.814565208976939,7.41418374496311,"<2=10:Gomp=16:Weib=74","1",0.236029785147469,0.141837957323331,0.00118860135932573,-292.604,589.2,4.94113961744455,34.2462261653383,-289.332,582.72
"M1-2",54,0.00256368285771223,0.00117342319907113,190.951949851922,26.1406343806618,27.0052423973799,5.2331383450656,0.135937831017802,0.0181497043995853,27.8988888888889,1.29046956193903,9.0883933165233,"<2=25:Gomp=69:Weib=6","2",0.327183873436034,0.125350894743436,0.00256368285771223,-192.909,389.76,3.63591271621306,30.9562264036781,-194.592,393.19
"M13",70,0.00303811564925702,0.00109610582953551,191.31713354571,25.9943430845071,26.4122788745706,3.93654277496453,0.133366242752872,0.0135606522558199,26.5987142857143,1.0640701525891,9.15056691416061,"<2=5:Gomp=88:Weib=7","3",0.345255852016855,0.123253122035857,0.00303811564925702,-250,504,3.16265180208974,29.3179072447329,-258.419,520.85
"M14",60,0.00212703438909211,0.000929164043429556,200,0,21.2508630323821,2.35951270617315,0.10125431516191,0.0117975635308657,36.3241666666667,1.62136994181325,12.7871262552041,"<2=7:Gomp=91:Weib=2","4",0.35315474874435,0.0919814254740766,0.00212703438909211,-233.435,470.91,3.36919285292612,40.5381891638899,-236.454,476.9
"M2-8",105,0.00433524445283302,0.00103856332856739,74.4562534621183,25.3150858020339,11.5399346937063,3.43681860548564,0.142168941558252,0.0118290288847864,24.7674285714286,0.733405392410501,8.05624968148538,"<2=5:Gomp=2:Weib=93","5",0.325581463207344,0.118126576413405,0.00433524445283302,-372.001,748.01,3.41717363909218,27.5497644820359,-367.165,738.35
"M22",60,0.00201528442121949,0.000732838903997389,193.877527571223,19.4223437293616,24.6210119005679,3.21444886655323,0.121926929956603,0.0115963235524693,32.0705,1.35925529018035,10.1401098313054,"<2=32:Gomp=51:Weib=17","6",0.317106061495818,0.111509134922556,0.00201528442121949,-221.673,447.31,3.71370941538851,35.5710722426254,-222.881,449.76
"M32",60,0.00157251131883444,0.000462128152187963,84.9651513373697,25.4802164078806,15.6145973009701,4.1050198068536,0.173021721150601,0.0127132053989821,28.1478333333333,0.9733216150533,6.6644041100463,"<2=1:Weib=99","7",0.236837000945148,0.145668192713966,0.00157251131883444,-203.847,411.68,4.59765830545233,30.7608598455551,-199.428,402.89
"M34",58,0.00134420404439897,0.000698004397445544,200,0,35.4366255641202,3.88333110201687,0.172183127820601,0.0194166555100844,27.0210344827586,0.996973464456926,8.06200025555533,"<2=7:Gomp=93","8",0.299334039950499,0.160489619353169,0.00134420404439897,-196.896,397.81,4.12463842887593,29.738660085406,-202.132,408.27
"M5",166,0.0040096710131423,0.000852189937478316,90.2999032569138,25.6497853961924,8.74151972964955,2.51647309144271,0.0850656062558727,0.00554235591577483,36.8528915662651,0.942228456227925,12.9904723702587,"Weib=100","9",0.352724673134908,0.0680390849159613,0.0040096710131423,-669.603,1343.21,3.12036700987793,41.229478588824,-658.682,1321.34
"M8",60,0.000359037734066102,0.000183347199844125,184.850171008286,24.1407938890953,34.5773292670039,6.03916977941821,0.180906965800452,0.0164512245833788,34.7888333333333,0.969049816933688,6.78157544111605,"<2=22:Gomp=6:Weib=72","10",0.195129357109363,0.164531601851999,0.000359037734066102,-200.25,404.45,6.02824955852994,37.5059806512228,-198.654,401.29
"RM112N",59,0.0010544095686385,0.000466064269299005,199.239862889952,4.6281262695668,21.350053255858,2.30741283347153,0.102128185566832,0.0112284651506731,44.1308474576271,1.75062042831182,12.9757290897612,"<2=23:Gomp=70:Weib=7","11",0.294888628622176,0.0912133756157669,0.0010544095686385,-231.399,466.79,4.10418868740898,48.6795127948643,-233.248,470.48
"S288c",41,0.00620743682147307,0.00201884259690225,107.190017612708,57.8769273740386,12.4024348878706,6.32010203066937,0.10822839021342,0.0175650031651605,26.3639024390244,1.5006540495359,10.2018810978645,"<2=31:Gomp=26:Weib=43","12",0.387979560834932,0.0910105763350757,0.00620743682147307,-153.402,310.8,2.8566872004805,29.4889788383051,-152.826,309.61
"SGU57",58,0.00770705298207087,0.00233632745871214,183.174482569179,39.3533949101335,19.0058283736396,4.12635768467405,0.0993410380558453,0.0132191601056039,23.8984482758621,1.31903271900432,10.5163154491286,"<2=15:Gomp=73:Weib=12","13",0.441449931265362,0.0913166366676407,0.00770705298207087,-215.925,435.81,2.48736742784968,26.8724394256525,-217.746,439.51
"YPS128",69,0.0011318327071322,0.000451027360213772,196.686065007931,11.2475418581767,26.9237865395923,2.88615777532875,0.131804891383952,0.0125225211652548,35.0801449275362,1.12454398484142,9.58664975772841,"<2=38:Gomp=40:Weib=22","14",0.273881223974196,0.120136553102652,0.0011318327071322,-251.437,506.89,4.38393951453878,38.5744525875319,-251.798,507.62
"YPS163",130,0.000811892281734934,0.00022979265170038,193.152028193801,15.0326849715624,29.518683594495,3.39840139721081,0.14738008461458,0.0103684966857085,34.4144615384615,0.698924846936475,8.56341151185219,"<2=21:Gomp=44:Weib=35","15",0.249001444935704,0.134428018673903,0.000811892281734934,-459.429,922.83,4.83698801854991,37.6050443922375,-459.809,923.64
