"my.strains","samplesize","R","Rstd","t0","t0std","n","nstd","G","Gstd","avgLS","avgLSstd","stdLS","BestModel","longfilename","CV","GompGFlex","GompRFlex","GompLogLikFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","GompAICFlex","BinomialAIC"
"101S",85,0.00250545083065613,0.000928740464469592,35.9960386492447,5.47971329214698,6.68656676945026,0.697483110919875,0.160436716392414,0.0228669936712552,31.4582352941176,0.814565208976939,7.41418374496311,"bin<2=8:Gomp=17:Weib=71","1",0.236029785147469,0.141837957323331,0.00118860135932573,-292.604,4.94113961744455,34.2462261653383,-289.332,582.72,589.2,608.561975342201
"M1-2",54,0.00338915543335383,0.00099805785426788,40.4785839124292,5.27695501056898,7.07770586692127,0.760288143670664,0.151264279081581,0.0179685860404881,27.8988888888889,1.29046956193903,9.0883933165233,"bin<2=35:Gomp=52:Weib=5","2",0.327183873436034,0.125350894743436,0.00256368285771223,-192.909,3.63591271621306,30.9562264036781,-194.592,393.19,389.76,397.274682564746
"M13",70,0.00341825097398073,0.000945994367143283,40.8020141220917,4.19525470850232,7.36415178817456,0.639662219934295,0.156650749980779,0.0152795335242743,26.5987142857143,1.0640701525891,9.15056691416061,"bin<2=13:Gomp=82:Weib=4","3",0.345255852016855,0.123253122035857,0.00303811564925702,-250,3.16265180208974,29.3179072447329,-258.419,520.85,504,510.826191224281
"M14",60,0.00348425490462338,0.00100144013022932,55.0655639439481,6.60403662171606,6.55804369091114,0.637251896171568,0.10172214764281,0.0120571343090792,36.3241666666667,1.62136994181325,12.7871262552041,"bin<2=33:Gomp=61:Weib=5","4",0.35315474874435,0.0919814254740766,0.00212703438909211,-233.435,3.36919285292612,40.5381891638899,-236.454,476.9,470.91,480.80958316057
"M2-8",105,0.00340903517261141,0.000634455981110464,42.3520881619277,3.98951285776412,7.99870205290311,0.109136042032793,0.166605615179298,0.0147181834303506,24.7674285714286,0.733405392410501,8.05624968148538,"bin<2=54:Weib=46","5",0.325581463207344,0.118126576413405,0.00433524445283302,-372.001,3.41717363909218,27.5497644820359,-367.165,738.35,748.01,746.639463437649
"M22",60,0.0033117741155671,0.00104047334548187,46.3159411115552,11.8374604328336,6.87367567713262,1.50753157125085,0.127491050062847,0.0159488349040245,32.0705,1.35925529018035,10.1401098313054,"bin<2=18:Gomp=46:Weib=21","6",0.317106061495818,0.111509134922556,0.00201528442121949,-221.673,3.71370941538851,35.5710722426254,-222.881,449.76,447.31,456.564501957969
"M32",60,0.00269847500028543,0.00111949642431823,34.3236651463952,2.58614393287197,7.03992067140977,0.714360321120973,0.176933067213454,0.0242923303227351,28.1478333333333,0.9733216150533,6.6644041100463,"bin<2=17:Gomp=1:Weib=82","7",0.236837000945148,0.145668192713966,0.00157251131883444,-203.847,4.59765830545233,30.7608598455551,-199.428,402.89,411.68,419.476593020872
"M34",58,0.00276263005558607,0.00073626793054888,31.4414459492943,3.54411411479794,6.67733396909203,0.615975740558242,0.181557278625824,0.0180667240147376,27.0210344827586,0.996973464456926,8.06200025555533,"bin<2=17:Gomp=80:Weib=1","8",0.299334039950499,0.160489619353169,0.00134420404439897,-196.896,4.12463842887593,29.738660085406,-202.132,408.27,397.81,411.898806691336
"M5",166,0.00343402965661154,0.000591644734528221,73.9902821301351,7.21986639341284,7.76191723269354,0.381319169174661,0.0919891329853476,0.00785949111470069,36.8528915662651,0.942228456227925,12.9904723702587,"bin<2=16:Weib=84","9",0.352724673134908,0.0680390849159613,0.0040096710131423,-669.603,3.12036700987793,41.229478588824,-658.682,1321.34,1343.21,1339.606797039
"M8",60,0.00182878553158693,0.000348494601717972,30.6549573054864,2.91983150569012,6.07731532826761,0.207186439985509,0.166883719036797,0.014669925249337,34.7888333333333,0.969049816933688,6.78157544111605,"Gomp=9:Weib=84","10",0.195129357109363,0.164531601851999,0.000359037734066102,-200.25,6.02824955852994,37.5059806512228,-198.654,401.29,404.45,431.771248386708
"RM112N",59,0.00252778938656069,0.000646348770413861,55.448629350056,5.98625998952503,6.2022578516824,0.374611077459195,0.0946460621806992,0.00972963209821008,44.1308474576271,1.75062042831182,12.9757290897612,"bin<2=1:Gomp=81:Weib=12","11",0.294888628622176,0.0912133756157669,0.0010544095686385,-231.399,4.10418868740898,48.6795127948643,-233.248,470.48,466.79,481.522788636871
"S288c",41,0.00507769557010458,0.00167111538398274,56.7764604674022,12.9229734697667,7.88561315390149,1.34147375986766,0.12478848210856,0.0230972085097571,26.3639024390244,1.5006540495359,10.2018810978645,"bin<2=90:Gomp=6:Weib=4","12",0.387979560834932,0.0910105763350757,0.00620743682147307,-153.402,2.8566872004805,29.4889788383051,-152.826,309.61,310.8,312.08300112196
"SGU57",58,0.00651954173596827,0.00211722016685797,58.0355082352288,19.6511353107857,7.87993973317542,1.50467104289654,0.121958355879965,0.0178477875233165,23.8984482758621,1.31903271900432,10.5163154491286,"bin<2=58:Gomp=39:Weib=1","13",0.441449931265362,0.0913166366676407,0.00770705298207087,-215.925,2.48736742784968,26.8724394256525,-217.746,439.51,435.81,438.373465227523
