35	1
21	2
28	3
44	4
30	5
45	6
29	7
32	8
28	9
23	10
36	11
44	12
29	13
38	14
31	15
28	16
36	17
26	18
51	19
55	20
30	21
36	22
19	23
48	24
42	25
20	26
49	27
37	28
43	29
23	30
38	31
28	32
45	33
11	34
35	35
31	36
38	37
49	38
25	39
21	40
25	41
29	42
30	43
42	44
25	45
38	46
54	47
11	48
34	49
32	50
25	51
43	52
26	53
23	54
32	55
37	56
38	57
21	58
36	59
51	60
32	61
36	62
26	63
35	64
37	65
35	66
53	67
54	68
30	69
26	70
34	71
35	72
20	73
28	74
25	75
33	76
41	77
30	78
54	79
31	80
28	81
31	82
33	83
50	84
19	85
28	86
37	87
36	88
26	89
33	90
