"my.strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00163099069255637,41.2029167658086,7.88352145802596,0.167063936205073,"rls/101S.csv",31.7294117647059,7.56777037570405,0.238509633642879,0.12024469070923,0.00172354116437534,-301.6,607,4.5193217213287,34.6616112880529,-293.6,591,607.091068000903,"bin<2"
"M1-2",54,0.00330423246114949,34.2408527534477,6.03245611076486,0.146972277443007,"rls/M1-2.csv",30.1481481481481,7.91799337884602,0.262636144015777,0.145998806353274,0.00106693944069469,-185.8,376,4.56015099918001,32.96819829355,-187.2,378,392.716216317325,"Gomp"
"M13",70,0.00320287159186448,40.8305870576107,7.7904337825738,0.166307522666591,"rls/M13.csv",25.0857142857143,9.07096475885089,0.361598822961026,0.121830621870852,0.00362978948237692,-249.4,503,2.86971013806985,27.6361129774257,-260.3,525,506.583987583567,"Gomp"
"M14",60,0.00177217242441838,51.8744071994764,7.41362533395235,0.123637563881734,"rls/M14.csv",37.5833333333333,12.7867670827844,0.340224401315771,0.0961196054521362,0.00152447578254813,-232.4,469,3.52358930044339,41.8526389154653,-236.6,477,475.564826838033,"bin<2"
"M2-8",105,0.00283183420548565,39.9843490358413,7.85466558098167,0.171433717098589,"rls/M2-8.csv",26.0761904761905,7.96711418425194,0.305532136357361,0.123898764564058,0.00315262851210784,-370.5,745,3.659869398888,28.9228981784143,-366.1,736,745.16973994167,"bin<2"
"M22",60,0.00406916200914763,45.420918447903,6.03290940884757,0.110805980610459,"rls/M22.csv",33.0166666666667,10.6953049522956,0.323936545753527,0.110071973029463,0.00174095881753086,-223.1,450,3.65187282034809,36.6117599956962,-226.4,457,463.944345556079,"Gomp"
"M32",60,0.00245627424222359,39.1832641865529,7.71055456621047,0.171260733517792,"rls/M32.csv",27.8166666666667,7.67892044554699,0.276054659516369,0.126862938986539,0.00236585879768854,-211.1,426,3.98090769574657,30.6626177114243,-207.5,419,427.622270413701,"bin<2"
"M34",58,0.00426338253292109,32.939915822503,6.03764428937886,0.152934340103486,"rls/M34.csv",26.3103448275862,8.57414902237856,0.325885087351217,0.151760481239235,0.00160101511847345,-199.8,404,3.62772744808545,29.0554548224938,-207.5,419,419.415574595529,"bin<2"
"M5",166,0.0033788340873059,74.7527047693712,7.92102272398243,0.0925855826265462,"rls/M5.csv",36.5120481927711,12.8538346839576,0.352043649156404,0.0666976811444328,0.00421233663266448,-669.7,1343,3.09509113876558,40.8287451750305,-657.8,1320,1337.16253807622,"Weib"
"M8",60,0.00207469349833314,31.2044082373453,6.02284706688558,0.160965945217774,"rls/M8.csv",33.2666666666667,7.52592506092101,0.226230212252135,0.160200580268083,0.000443389174729944,-203.5,411,5.3970902964369,36.1699189787165,-203.9,412,434.739861040808,"Gomp"
"RM112N",59,0.0035780823744944,58.280483068105,6.02761519883989,0.0862658463720136,"rls/RM112N.csv",40.2881355932203,13.8041108912722,0.342634641390432,0.0857885898374101,0.00161931457882163,-234.2,472,3.44948122252336,44.9045302297693,-237.3,479,484.717569922324,"Gomp"
"S288c",41,0.00782543281190766,73.1619999255573,7.63657257572088,0.0907106500980513,"rls/S288c.csv",26.0243902439024,11.8669452785417,0.455993211265425,0.0682544331835416,0.00941858237713015,-159.4,323,2.3650978292279,29.362417982692,-158.1,320,324.113674928619,"bin<2"
"SGU57",58,0.00855895675898786,61.6526150091036,7.63195047543276,0.107569654173687,"rls/SGU57.csv",22.6379310344828,10.4825640961669,0.463053097926643,0.0809559913900882,0.0102806907489985,-217.2,438,2.34072263448625,25.5735334602396,-216.5,437,439.983436724403,"bin<2"
"YPS128",69,0.00303981008213962,41.9146784676103,6.02732946030106,0.119941978421377,"rls/YPS128.csv",35.6086956521739,9.10755567276318,0.25576774172595,0.119275505337409,0.00102385703682328,-250.9,506,4.51833017997364,39.0659955692093,-249.2,502,524.570284880242,"Weib"
"YPS163",130,0.00199464932676401,33.3823516755012,6.02172181942974,0.150430439060862,"rls/YPS163.csv",34.9230769230769,9.06190200667239,0.259481775521456,0.149725431574706,0.000441685900061705,-454.5,913,4.9398738011238,38.1636159091186,-464.9,934,961.664697804049,"Gomp"
