"my.strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00333215714796241,36.1687555322482,6.03243339815486,0.139137587790875,"rls/101S.csv",31.7058823529412,7.22400681822795,0.227844370890306,0.138206708593257,0.00109062362722594,-292.3,589,4.99084345649599,34.43677675251,-287.9,580,615.497528589226,"Weib"
"M1-2",54,0.00472143782317755,52.2577449507501,7.81849454609757,0.13047816266323,"rls/M1-2.csv",25.462962962963,10.438884063403,0.409963446853644,0.0954273052491324,0.00577392595239392,-201.1,406,2.71131575662215,28.6184381826986,-202.5,409,408.549617371729,"bin<2"
"M13",70,0.00267533953721313,39.3057723190039,7.68250296431488,0.170013272098561,"rls/M13.csv",26.9,8.31124609154385,0.308968256191221,0.126417375358516,0.0026340597162629,-247.7,499,3.68887701544459,29.8352741229856,-246.6,497,502.19021002601,"Weib"
"M14",60,0.00365754441100868,65.9547275885478,7.61721428562047,0.100329643189512,"rls/M14.csv",33.45,13.2504237220384,0.396126269717143,0.0756979211696237,0.00405890307530839,-238.5,481,2.84528327834461,37.6538382376352,-238.5,481,483.389291931237,"NA"
"M2-8",105,0.00252858159660759,36.0788306943969,7.83314286182449,0.189394798287786,"rls/M2-8.csv",25.5238095238095,7.15366398602202,0.280274148706087,0.136857488638562,0.0026637192037589,-360.7,725,3.98180503414695,28.148577950182,-355.2,714,725.785920334021,"bin<2"
"M22",60,0.00258140963567305,44.9375843389459,7.50631275730306,0.144785547621532,"rls/M22.csv",30.5166666666667,9.9617772334919,0.326437265980073,0.110863863330414,0.00232346610776416,-220.9,446,3.53177072351394,33.8800392923085,-222.5,449,450.037302820064,"bin<2"
"M32",60,0.00277715430108168,40.6260609537879,7.7504506448159,0.16616059953473,"rls/M32.csv",26.7833333333333,8.36070645516146,0.31216078861835,0.122465226944643,0.00292168258859167,-213.3,431,3.61870125483707,29.7211668482234,-211.8,428,432.505254737848,"bin<2"
"M34",58,0.00368266736913351,31.9361650432789,6.03489868181996,0.157655080846333,"rls/M34.csv",27.2931034482759,9.05927579439633,0.331925455511679,0.156528018798913,0.00120582482860636,-200,404,3.54228387880685,30.0407774128157,-212.1,428,422.397839622384,"Gomp"
"M5",166,0.00349699621886345,78.591088195641,7.96513528237572,0.0886250011583633,"rls/M5.csv",36.7650602409639,12.9894683095978,0.353310132622192,0.0634633167949172,0.00455959274227074,-673.5,1351,3.06893183272292,41.1075769022284,-659.7,1323,1342.9827512151,"Weib"
"M8",60,0.00130688574689331,27.6571674636714,6.01617050607284,0.181369639991577,"rls/M8.csv",36.6333333333333,5.96875101680117,0.162932238857175,0.180743445493242,0.000142144529182018,-194.2,392,6.98643419828308,39.1405828878156,-192.1,388,427.107500097276,"Weib"
"RM112N",59,0.00355528753285573,63.9837337345811,6.02670580539141,0.0785622456207904,"rls/RM112N.csv",42.9322033898305,14.6732978297075,0.341778354501675,0.0781424609126329,0.00166232467496944,-238.6,481,3.42622980638102,47.8327138441913,-241.1,486,492.983651882842,"Gomp"
"S288c",41,0.00417734864038838,60.4465847324313,7.94349400051432,0.114869914177119,"rls/S288c.csv",29.1951219512195,10.6916311014623,0.366212928287347,0.0825412491784515,0.00530885726946181,-157,318,2.94348992872411,32.5933869825694,-155.4,315,318.262080988179,"bin<2"
"SGU57",58,0.0094509831274206,65.6173362734613,7.38498226365748,0.097306331318418,"rls/SGU57.csv",22.8965517241379,11.6914868641148,0.510622167258026,0.0760997320851169,0.0106472268073491,-220.4,445,2.03225358648936,25.7360411582676,-224.1,452,447.970485523171,"Gomp"
"YPS128",69,0.00427130701074654,48.5147095218221,6.03340835711548,0.103750149320206,"rls/YPS128.csv",33.9130434782609,10.7165884749858,0.316001967852147,0.10305288567834,0.00191232546574726,-259.8,524,3.69316771377753,37.6858901865131,-259.9,524,537.08143836057,"NA"
"YPS163",130,0.00202979899865842,35.4733377551936,6.021828238659,0.141566273614153,"rls/YPS163.csv",36.6076923076923,8.51309629845464,0.232549384072096,0.140905970328502,0.00047306278060668,-454.7,913,5.31731642983821,39.7532077957016,-457.6,919,963.687622663427,"Gomp"
