"my.strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00210127602055684,28.3046095023938,6.02350782254778,0.177480202372088,"rls/101S.csv",30.9176470588235,7.39242173848759,0.239100398695375,0.176583512519589,0.000421888833149987,-281.5,567,5.37159896162286,33.6205129667429,-285.9,576,602.209820505219,"Gomp"
"M1-2",54,0.00216884630721296,35.9022923178462,7.08112482768917,0.169379848335377,"rls/M1-2.csv",29.962962962963,8.84875636281244,0.295323141898561,0.138592250513266,0.00126770152997508,-190,384,4.11016722149912,33.0324902593503,-192.9,390,392.91477145811,"Gomp"
"M13",70,0.00517772802820365,52.1357224061582,7.58883880440267,0.126378584592594,"rls/M13.csv",25.0285714285714,11.3953606483699,0.455294089832132,0.0956848284546449,0.00585664470273269,-262.2,528,2.03784130218821,27.5357689595525,-278.2,560,533.915057524191,"Gomp"
"M14",60,0.00335613946921154,65.6612393345018,7.47910619231485,0.0986747472021959,"rls/M14.csv",35.0666666666667,13.9221402341941,0.39701920819945,0.0760458785118134,0.00344858761543281,-240.2,484,2.86233427359041,39.4712475061173,-241.5,487,487.919009013607,"bin<2"
"M2-8",105,0.00332918340660383,43.5629902408719,7.99843537942848,0.160650941102348,"rls/M2-8.csv",25.3238095238095,8.48017511395667,0.334869645342403,0.113968844195209,0.00422203360014076,-376,756,3.3068030336039,28.1902714056577,-373.3,751,755.243496357883,"bin<2"
"M22",60,0.00439825102024707,44.5086028818893,6.03523046230898,0.113129375812374,"rls/M22.csv",31.95,9.49830493352206,0.297286539390362,0.112327107044654,0.0019134923926396,-220.2,444,3.89509203195071,35.4021286587504,-218.8,442,456.791573707662,"Weib"
"M32",60,0.00212296115591894,34.9252607089114,7.33637737542391,0.18142677382526,"rls/M32.csv",28.6,7.48376774499429,0.261670200873926,0.14217540414407,0.00148053623572754,-206.9,418,4.3502980964475,31.3947152439103,-205.4,415,423.755496045352,"Weib"
"M34",58,0.00220770043188801,30.9665708722681,7.10025192689376,0.196994751277314,"rls/M34.csv",26.7413793103448,7.88193658816888,0.294746822768404,0.160275108524882,0.00126470780179907,-196.4,397,4.09616350161603,29.4288512953594,-201.3,407,407.055572572347,"bin<2"
"M5",166,0.00410893610062875,86.5351634324515,8.16872413052082,0.0828417471715605,"rls/M5.csv",35.7831325301205,13.1799187864984,0.368327696727059,0.0576720661813976,0.00576778227387856,-679.2,1362,2.90977058264156,40.1334502474394,-660.8,1326,1352.70278169054,"Weib"
"M8",60,0.00167323725791667,26.9138733355238,6.01980891283283,0.186513804618645,"rls/M8.csv",32.8,5.86226080065662,0.178727463434653,0.18572650562532,0.000248854516510223,-192.4,389,6.44960574918253,35.1907974249044,-190.4,385,419.393364697837,"Weib"
"RM112N",59,0.00257468677057481,53.9040297075668,6.02381084493987,0.0931991703068285,"rls/RM112N.csv",44.4237288135593,13.4063847242076,0.301784318477011,0.0927526482516526,0.00087325466465227,-231.4,467,4.04927681753428,49.0394244185456,-235.2,474,483.630669551862,"Gomp"
"S288c",41,0.00656851188655797,63.3139851495522,7.8280333301079,0.107843998667586,"rls/S288c.csv",25.2926829268293,10.8056557006945,0.427224574472974,0.0788240429109668,0.00827869468192342,-155.8,316,2.54144749600848,28.4572896487903,-154.9,314,316.63627538158,"bin<2"
"SGU57",58,0.00796854130149727,52.9312681290692,7.6253970635639,0.125169815455929,"rls/SGU57.csv",21.2758620689655,9.81190308891478,0.461175347777194,0.0942405198841047,0.00948521982891499,-211.9,428,2.33393581993389,23.9706913371502,-213.8,432,430.267827766955,"bin<2"
"YPS128",69,0.00321387634079748,42.037558834184,6.02932086217417,0.119638746912307,"rls/YPS128.csv",34.768115942029,9.14289329855231,0.262967752230141,0.118926440370678,0.0011505128629909,-250.7,505,4.41452759907068,38.1667535914449,-249.4,503,523.48715096242,"Weib"
"YPS163",130,0.00331817365668388,41.7214061239476,6.02993605578712,0.120560079898649,"rls/YPS163.csv",34.2076923076923,9.1386360608068,0.267151492670313,0.119813818458549,0.0012071546343493,-470.7,945,4.4001397540725,37.5680647209178,-469.4,943,978.569864140767,"Weib"
