"my.strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00260924441525432,31.7052269475088,6.02791384777382,0.158583121202634,"rls/101S.csv",31.7764705882353,7.25615743546757,0.228350011852922,0.157651610315282,0.000621922632784981,-286.7,577,5.26466740049981,34.5202693750955,-286.3,577,609.086418247839,"NA"
"M1-2",54,0.00290941900173802,41.0164967469565,7.70764568540663,0.163535314261191,"rls/M1-2.csv",26.4814814814815,9.19544748055118,0.347240674090744,0.121406129447415,0.00302830378368761,-193.6,391,3.34963927395034,29.5197141749918,-195.5,395,394.735426455319,"bin<2"
"M13",70,0.00317530072892919,38.766718477377,7.64295888225618,0.171357265798311,"rls/M13.csv",24.7857142857143,9.5475816152465,0.385205021940781,0.128278876425277,0.00325761303053009,-248.3,501,2.60975697164253,27.2336263576217,-266.3,537,507.928700741296,"Gomp"
"M14",60,0.00391315942241256,68.6005499332776,7.50337290118177,0.0948005942737644,"rls/M14.csv",33.7166666666667,14.114653602823,0.418625415802955,0.0727933430484156,0.00421148953752621,-240.9,486,2.69223653884862,38.0633829382717,-241.9,488,489.187207728801,"bin<2"
"M2-8",105,0.00253912908512692,36.2292762737123,7.81318881224746,0.188057546630901,"rls/M2-8.csv",25.2285714285714,7.4617706999091,0.295766675534336,0.136364001838456,0.00275786648394288,-362.6,729,3.81932537162667,27.9242159290243,-359,722,730.427580149464,"bin<2"
"M22",60,0.00267375733718088,48.2307289136838,7.63480438929578,0.137563842362196,"rls/M22.csv",30.9166666666667,10.273038047942,0.33228155411133,0.103343378429205,0.00267182202788652,-223.8,452,3.44724219818051,34.4078124233456,-224,452,454.509531424957,"NA"
"M32",60,0.00463639314917324,35.6145799301477,6.03964911559261,0.141505224137897,"rls/M32.csv",27.6166666666667,6.72483801497728,0.243506506275581,0.140365405850275,0.00184850949528166,-205,414,4.42301447256234,30.2205885010223,-200.2,404,428.065526924629,"Weib"
"M34",58,0.00265390629017301,36.0951080597383,7.5479230965881,0.181407493939376,"rls/M34.csv",25.5862068965517,8.91290112211412,0.348347887521981,0.137722862187123,0.00241628555080938,-203.1,410,3.26422478314081,28.3151558218672,-211,426,416.596822758395,"Gomp"
"M5",166,0.00350669272904518,77.3243117319655,7.84461962350244,0.0885183388017523,"rls/M5.csv",37.0963855421687,13.3689957537048,0.360385400310978,0.064503492924774,0.00425295139447942,-675.2,1354,3.03428194352745,41.5731538361253,-663.2,1330,1349.11839742452,"Weib"
"M8",60,0.00122583443210635,26.1209898068933,6.01547179151864,0.19200925495538,"rls/M8.csv",36.0666666666667,6.34560215162176,0.17594090993406,0.191368254694981,0.000109562525259579,-193,390,7.05725147210103,38.6207178691127,-193.1,390,426.19393810182,"NA"
"RM112N",59,0.00155684456288038,46.6611707816679,6.01677103338706,0.107514898347944,"rls/RM112N.csv",48.0677966101695,12.2514804267719,0.254879176720572,0.107148612826208,0.000348319756031337,-224.9,454,4.98030646672215,52.4471129945151,-228.8,462,476.90729621467,"Gomp"
"S288c",41,0.00245441266738318,37.6719544819533,7.60537639146589,0.175339360070373,"rls/S288c.csv",27.2926829268293,8.2469506559668,0.302167092845968,0.132163012626702,0.00220708026127977,-143.9,292,3.88227788312543,30.2223444829607,-143.5,291,295.039630492408,"Weib"
"SGU57",58,0.00771133361681822,59.6113555382302,7.58752514020562,0.1105078903294,"rls/SGU57.csv",23.2413793103448,10.7382091107517,0.462029768860237,0.0837237425869078,0.00909655564897161,-217.7,439,2.37483195317055,26.3007242225588,-217.5,439,441.701873283784,"NA"
"YPS128",69,0.00204736506059823,41.8580204242959,6.95416600387054,0.142246717439474,"rls/YPS128.csv",34.9420289855072,9.79778495070819,0.280401145416369,0.118967740838333,0.00110040316007432,-252.2,508,4.27631701178982,38.4704427715069,-253.4,511,519.513214604456,"Gomp"
"YPS163",130,0.00195666595993798,41.1859287531151,7.14811531432253,0.149277083228517,"rls/YPS163.csv",33.8153846153846,9.28095876444661,0.27445965408964,0.120292902325928,0.00124460931937677,-470.8,946,4.32948917564382,37.1861743993632,-471,946,960.527950060638,"NA"
