"my.strains","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"101S",85,0.00303045396465263,33.2301213325093,6.02991192445921,0.151366041493758,"rls/101S.csv",30.5176470588235,7.65259334304062,0.250759612243043,0.150423014487809,0.000902114073865564,-290.7,585,4.78431580870713,33.3525605275508,-291.2,586,612.332106101794,"Gomp"
"M1-2",54,0.00268143942271564,43.6335444229739,7.8433033278076,0.156835833950828,"rls/M1-2.csv",28.0740740740741,8.61296051013393,0.30679410788076,0.114137724071635,0.00299394851810445,-194.8,394,3.66336826293972,31.1579717384788,-192,388,394.444417788037,"bin<2"
"M13",70,0.00261701086810131,39.8738954879173,7.47637665320289,0.162421468330462,"rls/M13.csv",28.0428571428571,9.28835286607929,0.331219918810774,0.124712493246865,0.00228017668637705,-251.1,506,3.39790630124743,31.0360529318543,-257.1,518,512.191881194459,"Gomp"
"M14",60,0.00409749798211004,48.0779936469655,6.03242268450234,0.104672061015174,"rls/M14.csv",33.9833333333333,11.4188242837255,0.336012485053227,0.10399014557147,0.00180283132133687,-227.1,458,3.51729334386236,37.8525336028972,-229.8,464,470.786753958645,"Gomp"
"M2-8",105,0.00270978164662924,34.1822711082472,7.95896954879308,0.203584177504054,"rls/M2-8.csv",23.5047619047619,6.78534026345345,0.28867938722148,0.144204701189969,0.00313074879555715,-354.6,713,3.87880553685357,25.9689456487659,-349.4,703,712.611299997156,"bin<2"
"M22",60,0.00258360121926761,43.3423915813842,7.5831833275583,0.151887865144613,"rls/M22.csv",29.5,9.23423989512282,0.313025081190604,0.114885855565328,0.00241421902209696,-218.2,440,3.64320316680339,32.7321338403893,-217.8,440,443.626732772204,"NA"
"M32",60,0.00203967789629656,35.6135718643385,7.18182193684429,0.173580509149503,"rls/M32.csv",30.3,7.40888152312674,0.244517542017384,0.139524638457919,0.00123162532321138,-208.3,421,4.56367888329619,33.2162084771988,-205.1,414,427.463166395029,"Weib"
"M34",58,0.00477074815699982,35.2685356687578,6.03988487106363,0.142900315408562,"rls/M34.csv",26.4827586206897,8.61300807186299,0.32523077354691,0.141744703994729,0.00195544533995798,-202,408,3.63410388786787,29.3216468767591,-206.9,418,422.131760329102,"Gomp"
"M5",166,0.0029795258844407,67.2070502274381,7.69593422727134,0.0996314256407825,"rls/M5.csv",36.7650602409639,12.6140463672021,0.343098754211953,0.0741251801054544,0.00328915400450004,-662.7,1329,3.2153916176956,41.0788187839931,-654.4,1313,1327.41142635563,"bin<2"
"M8",60,0.00198556905962626,30.8814309354088,6.02292312098279,0.162651890435021,"rls/M8.csv",34.5666666666667,6.98027891887643,0.201936709321401,0.161873396498833,0.000351044107276212,-201.6,407,5.83297914500059,37.3538129732928,-200.3,405,433.580348450027,"Weib"
"RM112N",59,0.00283548241582612,59.6250496238475,6.02372606776018,0.0842552936970789,"rls/RM112N.csv",45.0169491525424,13.6489124556321,0.30319496795267,0.0838542210525368,0.00115470359345072,-235.4,475,3.89908401786401,49.8050820200849,-236.6,477,488.600046962739,"Gomp"
"S288c",41,0.00446886866625333,55.2052940835411,7.93682733964477,0.125655110706365,"rls/S288c.csv",26.7317073170732,10.2981172799787,0.385239788758326,0.0903418330244522,0.00570833661312537,-153.8,312,2.85186171630309,29.910023383837,-153.6,311,312.593329891417,"bin<2"
"SGU57",58,0.0100552289139651,69.1218547364474,7.40561180987703,0.0926712952697925,"rls/SGU57.csv",22.9310344827586,11.6240254357999,0.506912387425861,0.0722481882079623,0.01143667039129,-221.2,446,2.08305578240417,25.8562788222433,-222.6,449,448.940255646553,"bin<2"
"YPS128",69,0.00382959439130551,45.9531118895196,6.0314633361949,0.109491242906281,"rls/YPS128.csv",34.1014492753623,10.349971479836,0.30350532601304,0.108796119135074,0.00160276754039014,-257.1,518,3.8805656375462,37.8087059660062,-257.3,519,533.167860856261,"Gomp"
"YPS163",130,0.00266207557260059,34.7357905099857,6.02764518126053,0.14473962179773,"rls/YPS163.csv",33.2692307692308,8.31435525339554,0.249911256171427,0.143887955500183,0.00069163838624561,-453.6,911,4.85296386563284,36.3871089066462,-455.7,915,953.225988183572,"Gomp"
