"my.strains","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex"
"BY4742",250,0.00479645175680014,58.1083368274891,8.10939544095667,0.122347253924388,26.624,9.41814364505424,0.353746380898972,0.0854466023669089,0.00657761516906978,-937.3,1879,3.02464024466342,29.771382279924,-914,1832
"sir2",90,0.00265690933082409,16.8016158284775,8.109348357973,0.42313480028053,13.9666666666667,3.49140195916332,0.249981047195464,0.279702455277776,0.00355504824861692,-246,496,4.43140557299444,15.2944947937985,-240.4,485
"SIR2.ox",60,0.00306805363098915,66.8208913532853,8.06787360715352,0.10577341103975,34.6,10.8349716275351,0.313149469003906,0.0746883398735646,0.00404220275816678,-235.6,475,3.36996141823862,38.5103863996879,-227.8,460
"fob1",140,0.00305654688259123,71.3747049298669,7.69527098143627,0.0938045346459235,37.75,13.4057461104177,0.35511910226272,0.0698714835505948,0.00342463656194958,-565.5,1135,3.13980538332686,42.2583363931706,-559.6,1123
"hxk2",120,0.00573677693691871,103.59299961849,7.57845615824772,0.0635029025366068,36.7333333333333,16.3381974121343,0.44477851394195,0.0482360174590205,0.0067251962962811,-507.6,1019,2.39750093016831,41.4239973190246,-502.2,1008
"fob1 hxk2",160,0.00590259704348725,120.659372234105,6.02361244786719,0.0416346642192065,48.28125,21.3377074549719,0.441946044374822,0.0414386041441997,0.00424951384748993,-713.6,1431,2.44156184197924,54.4107830206765,-714.3,1433
