"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YAL066W","YAL066W","verified1","growth1","YAL066W","verified2","growth2","TRUE","nonessential",1206,0
"YAL067C","SEO1","verified1","growth1","SEO1","verified2","growth2","TRUE","nonessential",1207,0
"YAL068C","YAL068C","verified1","growth1","YAL068C","verified2","growth2","TRUE","nonessential",1208,0
"YAR002C-A","ERP1","verified1","growth1","ERP1","verified2","growth2","TRUE","nonessential",1209,0
"YAR002W","NUP60","verified1","growth1","NUP60","verified2","growth2","TRUE","nonessential",1210,0
"YAR003W","YAR003W","verified1","growth1","YAR003W","verified2","growth2","TRUE","nonessential",1211,0
"YAR007C","RFA1","verified1","nogrowth1","RFA1","verified2","nogrowth2","TRUE","essential",11,1
"YAR008W","SEN34","verified1","nogrowth1","SEN34","verified2","nogrowth2","TRUE","essential",12,1
"YAR014C","BUD14","verified1","growth1","BUD14","verified2","growth2","TRUE","nonessential",1212,0
"YAR015W","ade1","verified1","growth1","ade1","verified2","growth2","TRUE","nonessential",1213,0
"YAR018C","KIN3","verified1","growth1","KIN3","verified2","growth2","TRUE","nonessential",1214,0
"YAR019C","cdc15","verified1","nogrowth1","cdc15","verified2","nogrowth2","TRUE","essential",13,1
"YAR020C","PAU7","verified1","growth1","PAU7","verified2","growth2","TRUE","nonessential",1215,0
"YAR023C","YAR023C","verified1","growth1","YAR023C","verified2","growth2","TRUE","nonessential",1216,0
"YAR027W","YAR027W","verified1","growth1","YAR027W","verified2","growth2","TRUE","nonessential",1217,0
"YAR028W","YAR028W","verified1","growth1","YAR028W","verified2","growth2","TRUE","nonessential",1218,0
"YAR029W","YAR029W","verified1","growth1","YAR029W","verified2","growth2","TRUE","nonessential",1219,0
"YAR030C","YAR030C","verified1","growth1","YAR030C","verified2","growth2","TRUE","nonessential",1220,0
"YAR031W","PRM9","verified1","growth1","PRM9","verified2","growth2","TRUE","nonessential",1221,0
"YAR035W","YAT1","verified1","growth1","YAT1","verified2","growth2","TRUE","nonessential",1222,0
"YAR037W","YAR037W","verified1","growth1","YAR037W","verified2","growth2","TRUE","nonessential",1223,0
"YAR040C","YAR040C","verified1","growth1","YAR040C","verified2","growth2","TRUE","nonessential",1224,0
"YAR042W","SWH1","verified1","growth1","SWH1","verified2","growth2","TRUE","nonessential",1225,0
"YAR043C","YAR043C","verified1","growth1","YAR043C","verified2","growth2","TRUE","nonessential",1226,0
"YAR044W","OSH1","verified1","growth1","OSH1","verified2","growth2","TRUE","nonessential",1227,0
"YAR047C","YAR047C","verified1","growth1","YAR047C","verified2","growth2","TRUE","nonessential",1228,0
"YAR050W","FLO1","verified1","growth1","FLO1","verified2","growth2","TRUE","nonessential",1229,0
"YBL001C","ECM15","verified1","growth1","ECM15","verified2","growth2","TRUE","nonessential",1230,0
"YBL002W","HTB2","verified1","growth1","HTB2","verified2","growth2","TRUE","nonessential",1231,0
"YBL003C","HTA2","verified1","growth1","HTA2","verified2","growth2","TRUE","nonessential",1232,0
"YBL004W","YBL004W","verified1","nogrowth1","YBL004W","verified2","nogrowth2","TRUE","essential",14,1
"YBL005W","pdr3","verified1","growth1","pdr3","verified2","growth2","TRUE","nonessential",1233,0
"YBL006C","YBL006C","verified1","growth1","YBL006C","verified2","growth2","TRUE","nonessential",1234,0
"YBL007C","SLA1","verified1","growth1","SLA1","verified2","growth2","TRUE","nonessential",1235,0
"YBL008W","HIR1","verified1","growth1","HIR1","verified2","growth2","TRUE","nonessential",1236,0
"YBL009W","YBL009W","verified1","growth1","YBL009W","verified2","growth2","TRUE","nonessential",1237,0
"YBL010C","YBL010C","verified1","growth1","YBL010C","verified2","growth2","TRUE","nonessential",1238,0
"YBL011W","SCT1","verified1","growth1","SCT1","verified2","growth2","TRUE","nonessential",1239,0
"YBL012C","YBL012C","verified1","growth1","YBL012C","verified2","growth2","TRUE","nonessential",1240,0
"YBL013W","FMT1","verified1","growth1","FMT1","verified2","growth2","TRUE","nonessential",1241,0
"YBL014C","RRN6","verified1","nogrowth1","RRN6","verified2","nogrowth2","TRUE","essential",15,1
"YBL015W","ACH1","verified1","growth1","ACH1","verified2","growth2","TRUE","nonessential",1242,0
"YBL016W","FUS3","verified1","nogrowth1","FUS3","verified2","nogrowth2","TRUE","essential",16,1
"YBL017C","pep1","verified1","growth1","pep1","verified2","growth2","TRUE","nonessential",1243,0
"YBL018C","POP8","verified1","nogrowth1","POP8","verified2","nogrowth2","TRUE","essential",17,1
"YBL019W","APN2","verified1","growth1","APN2","verified2","growth2","TRUE","nonessential",1244,0
"YBL020W","rft1","verified1","nogrowth1","rft1","verified2","nogrowth2","TRUE","essential",18,1
"YBL021C","HAP3","verified1","growth1","HAP3","verified2","growth2","TRUE","nonessential",1245,0
"YBL022C","PIM1","verified1","growth1","PIM1","verified2","growth2","TRUE","nonessential",1246,0
"YBL023C","mcm2","verified1","nogrowth1","mcm2","verified2","nogrowth2","TRUE","essential",19,1
"YBL024W","NCL1","verified1","growth1","NCL1","verified2","growth2","TRUE","nonessential",1247,0
