"orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag","geneNO","essenflagNumeric"
"YBL044W","YBL044W","verified1","growth1","YBL044W","verified2","growth2","TRUE","nonessential",1262,0
"YBL045C","COR1","verified1","growth1","COR1","verified2","growth2","TRUE","nonessential",1263,0
"YBL046W","YBL046W","verified1","growth1","YBL046W","verified2","growth2","TRUE","nonessential",1264,0
"YBL047C","YBL047C","verified1","growth1","YBL047C","verified2","growth2","TRUE","nonessential",1265,0
"YBL048W","YBL048W","verified1","growth1","YBL048W","verified2","growth2","TRUE","nonessential",1266,0
"YBL049W","YBL049W","verified1","growth1","YBL049W","verified2","growth2","TRUE","nonessential",1267,0
"YBL050W","SEC17","verified1","nogrowth1","SEC17","verified2","nogrowth2","TRUE","essential",25,1
"YBL051C","YBL051C","verified1","growth1","YBL051C","verified2","growth2","TRUE","nonessential",1268,0
"YBL052C","SAS3","verified1","growth1","SAS3","verified2","growth2","TRUE","nonessential",1269,0
"YBL053W","YBL053W","verified1","growth1","YBL053W","verified2","growth2","TRUE","nonessential",1270,0
"YBL054W","YBL054W","verified1","growth1","YBL054W","verified2","growth2","TRUE","nonessential",1271,0
"YBL055C","YBL055C","verified1","growth1","YBL055C","verified2","growth2","TRUE","nonessential",1272,0
"YBL056W","PTC3","verified1","growth1","PTC3","verified2","growth2","TRUE","nonessential",1273,0
"YBL057C","YBL057C","verified1","growth1","YBL057C","verified2","growth2","TRUE","nonessential",1274,0
"YBL058W","SHP1","verified1","growth1","SHP1","verified2","growth2","TRUE","nonessential",1275,0
"YBL059W","YBL059W","verified1","growth1","YBL059W","verified2","growth2","TRUE","nonessential",1276,0
"YBL060W","YBL060W","verified1","growth1","YBL060W","verified2","growth2","TRUE","nonessential",1277,0
"YBL061C","SKT5","verified1","growth1","SKT5","verified2","growth2","TRUE","nonessential",1278,0
"YBL062W","YBL062W","verified1","growth1","YBL062W","verified2","growth2","TRUE","nonessential",1279,0
"YBL063W","KIP1","verified1","growth1","KIP1","verified2","growth2","TRUE","nonessential",1280,0
"YBL064C","YBL064C","verified1","growth1","YBL064C","verified2","growth2","TRUE","nonessential",1281,0
"YBL065W","YBL065W","verified1","growth1","YBL065W","verified2","growth2","TRUE","nonessential",1282,0
"YBL066C","SEF1","verified1","growth1","SEF1","verified2","growth2","TRUE","nonessential",1283,0
"YBL067C","UBP13","verified1","growth1","UBP13","verified2","growth2","TRUE","nonessential",1284,0
"YBL068W","PRS4","verified1","growth1","PRS4","verified2","growth2","TRUE","nonessential",1285,0
"YBL069W","AST1","verified1","growth1","AST1","verified2","growth2","TRUE","nonessential",1286,0
"YBL070C","YBL070C","verified1","growth1","YBL070C","verified2","growth2","TRUE","nonessential",1287,0
"YBL071C","YBL071C","verified1","growth1","YBL071C","verified2","growth2","TRUE","nonessential",1288,0
"YBL072C","RPS8A","verified1","growth1","RPS8A","verified2","growth2","TRUE","nonessential",1289,0
