"","orf","gene.x","Anno1","Growth1","gene.y","Anno2","Growth2","name.check","essenflag"
"67","YAL068C","YAL068C","verified1","growth1","YAL068C","verified2","growth2",TRUE,"nonessential"
"68","YAR002C-A","ERP1","verified1","growth1","ERP1","verified2","growth2",TRUE,"nonessential"
"69","YAR002W","NUP60","verified1","growth1","NUP60","verified2","growth2",TRUE,"nonessential"
"70","YAR003W","YAR003W","verified1","growth1","YAR003W","verified2","growth2",TRUE,"nonessential"
"71","YAR007C","RFA1","verified1","nogrowth1","RFA1","verified2","nogrowth2",TRUE,"essential"
"72","YAR008W","SEN34","verified1","nogrowth1","SEN34","verified2","nogrowth2",TRUE,"essential"
"73","YAR014C","BUD14","verified1","growth1","BUD14","verified2","growth2",TRUE,"nonessential"
"74","YAR015W","ade1","verified1","growth1","ade1","verified2","growth2",TRUE,"nonessential"
"75","YAR018C","KIN3","verified1","growth1","KIN3","verified2","growth2",TRUE,"nonessential"
"76","YAR019C","cdc15","verified1","nogrowth1","cdc15","verified2","nogrowth2",TRUE,"essential"
"77","YAR020C","PAU7","verified1","growth1","PAU7","verified2","growth2",TRUE,"nonessential"
"78","YAR023C","YAR023C","verified1","growth1","YAR023C","verified2","growth2",TRUE,"nonessential"
"79","YAR027W","YAR027W","verified1","growth1","YAR027W","verified2","growth2",TRUE,"nonessential"
"80","YAR028W","YAR028W","verified1","growth1","YAR028W","verified2","growth2",TRUE,"nonessential"
"81","YAR029W","YAR029W","verified1","growth1","YAR029W","verified2","growth2",TRUE,"nonessential"
"82","YAR030C","YAR030C","verified1","growth1","YAR030C","verified2","growth2",TRUE,"nonessential"
"83","YAR031W","PRM9","verified1","growth1","PRM9","verified2","growth2",TRUE,"nonessential"
"84","YAR035W","YAT1","verified1","growth1","YAT1","verified2","growth2",TRUE,"nonessential"
"85","YAR037W","YAR037W","verified1","growth1","YAR037W","verified2","growth2",TRUE,"nonessential"
"86","YAR040C","YAR040C","verified1","growth1","YAR040C","verified2","growth2",TRUE,"nonessential"
"87","YAR042W","SWH1","verified1","growth1","SWH1","verified2","growth2",TRUE,"nonessential"
"88","YAR043C","YAR043C","verified1","growth1","YAR043C","verified2","growth2",TRUE,"nonessential"
"89","YAR044W","OSH1","verified1","growth1","OSH1","verified2","growth2",TRUE,"nonessential"
"90","YAR047C","YAR047C","verified1","growth1","YAR047C","verified2","growth2",TRUE,"nonessential"
"91","YAR050W","FLO1","verified1","growth1","FLO1","verified2","growth2",TRUE,"nonessential"
"92","YBL001C","ECM15","verified1","growth1","ECM15","verified2","growth2",TRUE,"nonessential"
"93","YBL002W","HTB2","verified1","growth1","HTB2","verified2","growth2",TRUE,"nonessential"
"94","YBL003C","HTA2","verified1","growth1","HTA2","verified2","growth2",TRUE,"nonessential"
"95","YBL004W","YBL004W","verified1","nogrowth1","YBL004W","verified2","nogrowth2",TRUE,"essential"
"96","YBL005W","pdr3","verified1","growth1","pdr3","verified2","growth2",TRUE,"nonessential"
"97","YBL006C","YBL006C","verified1","growth1","YBL006C","verified2","growth2",TRUE,"nonessential"
"98","YBL007C","SLA1","verified1","growth1","SLA1","verified2","growth2",TRUE,"nonessential"
"99","YBL008W","HIR1","verified1","growth1","HIR1","verified2","growth2",TRUE,"nonessential"
"100","YBL009W","YBL009W","verified1","growth1","YBL009W","verified2","growth2",TRUE,"nonessential"
"101","YBL010C","YBL010C","verified1","growth1","YBL010C","verified2","growth2",TRUE,"nonessential"
"102","YBL011W","SCT1","verified1","growth1","SCT1","verified2","growth2",TRUE,"nonessential"
"103","YBL012C","YBL012C","verified1","growth1","YBL012C","verified2","growth2",TRUE,"nonessential"
"104","YBL013W","FMT1","verified1","growth1","FMT1","verified2","growth2",TRUE,"nonessential"
"105","YBL014C","RRN6","verified1","nogrowth1","RRN6","verified2","nogrowth2",TRUE,"essential"
"106","YBL015W","ACH1","verified1","growth1","ACH1","verified2","growth2",TRUE,"nonessential"
"107","YBL016W","FUS3","verified1","nogrowth1","FUS3","verified2","nogrowth2",TRUE,"essential"
"108","YBL017C","pep1","verified1","growth1","pep1","verified2","growth2",TRUE,"nonessential"
