gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
SPC72	YAL047C	3	39	1.76040	0.81984	0.03365	1.03657	1.01750	1.00292	1.02797	1.01026	1.00635
YAL048C	YAL048C	2	26	11.03352	4.25219	0.05559	0.95671	1.01128	0.96722	0.96816	1.01230	1.00562
YAL049C	YAL049C	0	0									
OAF1	YAL051W	2	26	4.93150	2.29094	0.04038	0.96889	0.98235	0.97604	1.00927	1.00682	0.99364
YAL053W	YAL053W	2	26	2.48734	1.15391	0.02316	0.97984	0.97306	0.99195	0.99621	0.98610	0.97359
acs1	YAL054C	4	52	2.02487	1.02371	0.03775	1.03078	1.00084	1.02341	0.99303	1.00027	1.01526
PEX22	YAL055W	2	26	1.60879	0.68130	0.02716	0.97492	0.97911	0.97751	0.99698	0.99579	1.00208
GPE2	YAL056W	2	26	2.49997	1.16049	0.06359	0.95722	0.97535	0.96382	0.99997	1.01268	1.02081
YAL058C-A	YAL058C-A	4	52	2.52186	1.35761	0.03213	1.02812	1.02343	1.01012	1.00127	0.99600	1.00698
CNE1	YAL058W	2	26	1.88003	0.82967	0.06438	0.97349	0.97757	0.98867	1.00614	0.99680	1.03787
ECM1	YAL059W	2	26	0.53951	0.12847	0.01729	0.98022	0.99365	0.99442	0.98995	0.99751	0.99626
YAL060W	YAL060W	2	26	1.00718	0.35474	0.02221	0.97315	0.97717	0.98314	0.99132	0.99096	0.99536
YAL061W	YAL061W	2	26	3.10617	1.46795	0.03723	0.97271	0.98438	0.97779	1.00478	0.99597	1.00994
GDH3	YAL062W	2	26	2.26162	1.03504	0.03320	0.97352	0.98015	0.97608	1.00672	0.99594	0.99786
YAL064C-A	YAL064C-A	3	36	4.26533	2.26118	0.03714	1.00769	0.99442	1.02341	0.98626	0.98668	0.98885
YAL065C	YAL065C	2	26	1.62569	0.69058	0.02522	0.98331	0.98693	0.99403	0.96881	0.98789	0.98774
YAL066W	YAL066W	2	26	8.55250	3.56493	0.13617	0.96954	0.97932	0.98785	1.01467	0.98521	1.10571
SEO1	YAL067C	2	26	3.18698	1.50762	0.06654	0.95589	0.99216	0.98240	0.96542	0.99625	1.02243
YAL068C	YAL068C	2	26	1.03078	0.36718	0.02251	0.97383	0.98854	0.98485	0.98551	0.99633	0.98304
ERP1	YAR002C-A	4	52	10.38688	5.80614	0.03297	0.99153	0.99179	0.99494	1.02000	1.00216	1.02450
NUP60	YAR002W	2	26	18.16001	5.74506	0.08668	0.88497	0.95894	0.92401	0.87226	0.89969	0.93746
YAR003W	YAR003W	2	26	14.58497	5.06631	0.04455	0.97273	0.99335	0.99137	1.01716	1.01728	1.00850
RFA1	YAR007C	2	26	4.39257	2.06322	0.04321	0.97110	0.99795	0.99119	1.00019	1.01431	0.99824
SEN34	YAR008W	2	26	39.28155	8.34275	0.07663	0.97579	0.94416	0.98923	1.01072	0.93409	0.94310
BUD14	YAR014C	2	26	6.83280	3.00868	0.05002	0.96875	0.98589	0.98717	1.01878	1.00850	1.01537
ade1	YAR015W	2	26	3.09514	1.46251	0.02869	0.97499	0.98550	0.99319	0.99762	1.00368	0.99006
KIN3	YAR018C	2	26	1.56753	0.65865	0.02160	0.93809	0.94085	0.94867	0.92707	0.93225	0.94162
cdc15	YAR019C	2	26	8.72278	3.61606	0.03050	0.97967	0.99421	0.98814	1.01016	0.99550	1.00871
PAU7	YAR020C	2	26	9.34032	3.79621	0.03634	0.97922	0.99423	0.98773	1.01496	1.01556	0.99787
YAR023C	YAR023C	2	26	9.03158	3.70716	0.03749	0.97564	0.98290	0.98603	1.01313	1.00738	1.01270
YAR027W	YAR027W	2	26	15.30632	5.21300	0.04853	0.96954	0.98733	0.98294	1.01445	1.01806	1.00451
YAR028W	YAR028W	2	26	1.75640	0.76220	0.02524	0.98612	0.98952	0.99985	0.97461	0.98641	0.99954
YAR029W	YAR029W	2	26	16.67823	5.47777	0.04588	0.97524	0.98957	0.98243	1.01167	1.00575	1.02112
YAR030C	YAR030C	2	26	7.04216	3.08061	0.04157	0.97590	0.99600	0.99260	1.00716	1.01747	1.00717
PRM9	YAR031W	2	26	4.67054	2.18216	0.03815	0.97569	0.99579	0.99291	1.00691	1.01299	1.01384
YAT1	YAR035W	2	26	2.56126	1.19236	0.02527	0.97976	0.98999	0.99600	1.00039	1.00503	1.00223
YAR037W	YAR037W	2	26	6.97032	3.05607	0.03199	0.97877	0.98870	0.99947	1.00978	0.99941	1.01076
YAR040C	YAR040C	2	26	2.51981	1.17082	0.02928	0.97346	0.98943	0.99363	0.99455	1.00274	0.99622
SWH1	YAR042W	2	26	2.76274	1.29588	0.03355	0.97620	0.99564	0.99438	0.99501	1.00975	0.99648
YAR043C	YAR043C	2	26	3.87484	1.83277	0.02722	0.98451	0.98843	1.00727	0.98005	0.98124	0.99715
