gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPG	YPD0.1DNP	YPD0.25DNP	YPG0.25DNP	YPG0.1DNP
YDR274C	YDR274C	2	26	3.05626	1.44330	0.03045	1.02931	1.02185	1.03367	1.01531	1.00675	1.00322
YDR275W	YDR275W	4	52	4.98691	2.94761	0.04151	1.01546	1.00121	1.00547	0.97395	0.98388	1.00532
PMP3	YDR276C	4	52	10.88618	6.03295	0.04295	1.00564	1.02997	0.99356	1.00076	1.03651	1.02531
MTH1	YDR277C	4	52	1.84225	0.90183	0.01540	1.01380	1.01244	1.01195	0.99840	1.00421	1.01372
YDR278C	YDR278C	4	52	10.24837	5.74226	0.05427	1.02789	1.00609	1.02470	0.97362	0.97680	0.99525
YDR279W	YDR279W	2	26	2.13096	0.96529	0.03036	1.04088	1.02232	1.02710	1.01052	1.01160	1.02940
RRP45	YDR280W	4	52	33.96024	12.99565	0.09345	0.96078	1.03675	0.95718	0.95435	1.03178	1.04780
PHM6	YDR281C	2	26	1.96864	0.87778	0.02481	1.00954	1.01674	1.02266	1.00061	0.99786	1.00554
YDR282C	YDR282C	2	26	11.50350	4.37003	0.05121	1.03699	1.01684	1.02385	0.98923	0.98578	0.99750
gcn2	YDR283C	2	25	9.33499	3.69304	0.08315	0.97882	1.03689	0.97798	0.95374	1.01290	1.02901
DPP1	YDR284C	2	26	3.04273	1.43659	0.03725	1.01725	1.00952	1.02386	0.98661	0.98988	1.01687
ZIP1	YDR285W	4	52	8.40654	4.84997	0.05277	1.01865	0.98961	1.02442	0.98911	0.97165	1.00440
YDR286C	YDR286C	4	52	1.22233	0.50085	0.01840	1.01573	1.00373	1.01547	1.01176	0.99732	1.00960
YDR287W	YDR287W	3	39	0.51923	0.11938	0.01460	1.01922	1.01296	1.00960	1.01288	1.01997	1.00537
YDR288W	YDR288W	4	52	3.15594	1.78119	0.02459	1.01570	1.00290	1.01418	0.99111	0.99641	0.99423
rtt103	YDR289C	2	26	6.13252	2.75849	0.04284	1.02859	1.00229	1.00817	0.99758	0.98823	0.98575
YDR290W	YDR290W	2	26	2.34725	1.08039	0.02321	1.00558	0.99137	0.98900	0.99877	0.98237	0.98281
YDR291W	YDR291W	4	52	1.28876	0.54225	0.02707	1.03108	1.00892	1.03599	1.02284	1.01891	1.02438
SRP101	YDR292C	4	52	7.47765	4.36710	0.03167	1.03286	1.02389	1.02089	1.00328	1.01125	1.00119
ssd1	YDR293C	2	26	13.31216	4.79339	0.07303	0.99618	1.03762	0.98740	0.96459	1.02991	1.02100
DPL1	YDR294C	4	52	1.13415	0.44680	0.02333	1.02155	1.00274	1.01817	1.01086	0.99822	1.00623
PLO2	YDR295C	3	39	4.36109	2.37539	0.04315	1.01738	0.99681	1.02931	0.99426	0.98616	0.99994
MHR1	YDR296W	4	52	17.57057	8.63743	0.06463	1.02362	0.99119	1.03397	0.98497	0.96934	0.99498
SUR2	YDR297W	2	26	1.83410	0.80464	0.03360	1.04711	1.03122	1.01873	1.01744	1.01954	1.01351
ATP5	YDR298C	4	52	11.65133	6.37035	0.05681	1.03080	0.98923	1.01186	0.98921	0.97623	0.97399
BFR2	YDR299W	4	52	3.45933	1.98108	0.03825	1.00415	1.00567	1.00327	0.98066	1.01143	1.01891
pro1	YDR300C	2	26	6.01412	2.71465	0.06234	1.00101	1.04835	1.03638	0.99420	1.03923	1.05654
CFT1	YDR301W	2	26	2.55826	1.19080	0.03935	1.00192	0.99737	0.97392	0.97476	0.98807	1.01326
GPI11	YDR302W	4	52	1.79027	0.86732	0.02515	1.01049	1.00583	1.00354	0.98639	0.99783	1.01154
RSC3	YDR303C	2	26	2.56338	1.19345	0.02851	1.01478	1.01527	1.01111	0.98676	0.98812	1.00953
CYP5	YDR304C	4	52	0.59458	0.15234	0.01539	1.01423	1.01484	1.00559	1.01751	1.01212	1.02098
HNT2	YDR305C	2	26	1.43488	0.58584	0.02845	1.03692	1.02928	1.01084	1.00846	1.02497	1.01290
YDR306C	YDR306C	4	52	2.12768	1.09264	0.03030	1.01979	1.02667	1.01522	0.99637	1.01975	1.01194
YDR307W	YDR307W	4	52	2.42957	1.29557	0.02249	1.01984	1.01584	1.01092	1.00383	1.00538	0.99736
SRB7	YDR308C	2	26	0.75998	0.22905	0.02695	1.00407	1.00194	1.01451	0.98756	1.00328	0.99251
GIC2	YDR309C	4	52	1.45724	0.64937	0.02053	1.00530	1.00561	0.99937	1.00128	0.99656	0.98509
SUM1	YDR310C	4	52	2.05613	1.04465	0.02792	1.03312	1.02594	1.02689	1.01565	1.00520	1.01160
TFB1	YDR311W	3	39	2.05428	1.00314	0.02609	0.99565	1.00938	1.00255	0.98329	1.00231	0.99168
SSF2	YDR312W	4	52	6.80507	4.00236	0.04699	1.03091	1.01780	1.02013	0.98391	1.02372	1.00155
PIB1	YDR313C	2	26	6.25896	2.80480	0.04031	1.01185	0.99434	1.00484	0.97546	0.97154	0.97818
YDR314C	YDR314C	4	52	22.27666	10.11314	0.08616	1.00744	1.06074	0.99869	0.97704	1.06320	1.05254
IPK1	YDR315C	1	13	3.33748	1.05919	0.08030	0.98012	0.99374	0.95934	1.00226	1.02377	1.03964
YDR316W	YDR316W	3	39	1.10340	0.42102	0.02993	1.00527	1.00314	1.01807	1.03068	1.01445	1.00076
YDR317W	YDR317W	2	26	5.07741	2.35058	0.02408	1.01417	1.01439	1.01356	0.99394	1.01487	0.99079
MCM21	YDR318W	2	26	0.92261	0.31070	0.03045	1.01952	1.02482	1.01893	1.00743	1.01867	0.99438
YDR319C	YDR319C	4	52	5.51522	3.26481	0.05522	1.03213	1.02508	1.06146	1.01387	1.00625	1.01668
SWA2	YDR320C	4	52	0.98180	0.35638	0.01729	1.01797	1.00669	1.01682	1.00068	1.00419	1.00773
asp1	YDR321W	4	52	4.38582	2.57585	0.03094	1.03339	1.01424	1.02695	1.00278	1.00745	1.00245
MRPL35	YDR322W	4	51	49.20984	15.53892	0.11711	1.03999	0.96156	1.05156	1.00581	0.94390	0.93445
pep7	YDR323C	2	26	0.71979	0.20968	0.02648	1.01345	1.02246	1.03122	1.01076	1.02190	1.00474
YDR324C	YDR324C	4	52	7.10407	4.16612	0.05351	0.98232	1.01668	0.98164	0.96317	1.00766	1.00874
YCG1	YDR325W	4	52	4.27744	2.50760	0.03830	1.03900	1.02018	1.03638	1.00070	1.01048	1.00542
YDR326C	YDR326C	4	52	1.48263	0.66574	0.02038	1.03025	1.02534	1.02095	1.01971	1.03121	1.01083
YDR327W	YDR327W	4	52	2.52086	1.35694	0.02672	1.01343	1.03243	1.01570	1.04014	1.03870	1.02152
SKP1	YDR328C	2	26	1.97268	0.87997	0.03601	1.05288	1.03511	1.02235	1.01687	1.02108	1.02000
PEX3	YDR329C	4	52	1.00207	0.36816	0.02155	1.02097	1.01612	1.02557	1.00795	1.01468	1.00401
YDR330W	YDR330W	4	52	1.06897	0.40761	0.02391	1.01841	1.01871	1.00543	1.01856	1.02469	1.00078
GPI8	YDR331W	4	52	11.77384	6.42327	0.06318	0.99065	1.04951	1.01539	0.98633	1.03800	1.04672
YDR332W	YDR332W	4	52	2.90524	1.61448	0.03886	1.01866	1.01737	1.01585	1.02453	1.01426	0.98568
YDR333C	YDR333C	2	26	86.26911	11.20756	0.05529	0.95964	1.00291	1.01493	0.99428	1.00988	0.97042
SWR1	YDR334W	4	52	2.67823	1.46260	0.03172	0.99720	1.01128	1.01522	1.02892	1.02753	1.02370
MSN5	YDR335W	4	52	1.50099	0.67760	0.02743	1.01569	1.02862	1.01396	1.01693	1.04139	1.02337
YDR336W	YDR336W	4	52	7.53715	4.39874	0.05401	1.02616	1.05291	1.00481	1.00244	1.05645	1.04273
MRPS28	YDR337W	2	26	5.44375	2.49674	0.10389	1.02154	0.99160	1.03820	1.00243	0.93431	1.00258
YDR338C	YDR338C	4	52	1.42166	0.62652	0.02990	1.00678	0.99239	1.00138	1.02229	1.00646	1.01686
YDR339C	YDR339C	4	51	8.96900	5.09224	0.04429	1.01140	0.98275	1.01473	0.98043	0.97044	1.00700
YDR340W	YDR340W	2	26	10.31938	4.06619	0.04618	1.01089	0.99521	1.01493	0.97454	0.96875	0.97975
YDR341C	YDR341C	2	26	7.45023	3.21728	0.05787	1.00797	1.01719	0.98539	1.02229	1.04326	1.03426
YDR344C	YDR344C	2	26	5.89015	2.66825	0.05634	1.04203	1.00832	1.02539	1.00653	0.99780	0.98570
hxt3	YDR345C	2	26	11.39446	4.34300	0.05964	0.98241	1.02137	0.99096	0.99601	1.01420	1.04205
YDR346C	YDR346C	4	52	0.77616	0.24227	0.01831	1.00662	0.99339	1.00125	0.99560	0.98831	1.00276
mrp1	YDR347W	4	52	38.01364	13.81594	0.08748	1.01810	0.98137	1.01543	1.00320	0.93668	0.93061
YDR348C	YDR348C	2	26	4.72346	2.20444	0.05410	0.98772	0.98688	1.00050	0.94664	0.94639	0.99107
YPS7	YDR349C	4	52	12.95138	6.91741	0.04673	1.02587	1.00086	1.02254	0.99802	0.97914	0.99622
TCM10	YDR350C	4	52	4.70039	2.77184	0.03710	1.01315	0.98401	1.01322	1.00807	0.97611	1.01032
SBE2	YDR351W	4	52	2.22701	1.15936	0.02486	1.00930	1.00525	1.00354	0.99594	0.99238	0.98444
YDR352W	YDR352W	4	52	1.00027	0.36711	0.01949	0.99930	0.98616	0.99869	0.99041	0.97981	0.99030
TRR1	YDR353W	4	52	1.68780	0.79960	0.02785	1.01078	0.99368	0.99057	0.99096	0.98294	0.99682
trp4	YDR354W	3	39	5.32326	2.89152	0.05415	0.99976	1.01451	0.99821	0.97551	1.01590	1.02965
YDR355C	YDR355C	2	26	11.89756	4.46620	0.05426	1.00947	0.99809	1.00785	0.96828	0.95522	0.96233
NUF1	YDR356W	2	26	3.12953	1.47945	0.04038	1.03184	1.01666	1.00948	1.02128	1.00676	0.99145
YDR357C	YDR357C	2	26	3.14849	1.48877	0.05074	0.99404	0.97617	0.99094	0.95667	0.94331	0.97895
GGA1	YDR358W	3	39	1.45022	0.62826	0.02561	1.01678	1.00303	1.00488	0.99420	0.99117	0.99594
VID21	YDR359C	4	52	1.34800	0.57959	0.01715	1.01098	1.01164	1.00240	0.99449	1.00671	0.99717
YDR360W	YDR360W	4	52	0.80716	0.25876	0.02313	1.01060	1.00632	1.00271	1.01184	0.99686	1.01999
BCP1	YDR361C	4	52	2.80392	1.54678	0.03041	1.01598	1.00413	1.01350	0.99066	0.99548	0.98557
TFC6	YDR362C	4	52	4.62401	2.72454	0.03272	1.01215	1.01171	0.99770	0.99485	0.98787	0.97943
ESC2	YDR363W	3	35	0.82037	0.26251	0.02485	0.98278	0.99269	0.99127	0.99695	0.98473	1.00762
SEM1	YDR363W-A	4	52	8.81898	5.05702	0.08553	0.99591	1.03422	0.97924	1.01507	1.03992	1.06477
cdc40	YDR364C	2	26	7.15040	3.11731	0.03781	0.99744	0.98882	1.00860	0.97080	0.97698	1.00479
YDR365C	YDR365C	3	39	2.97654	1.57190	0.05270	1.03061	0.99838	0.99262	1.00971	1.00910	0.97791
YDR367W	YDR367W	4	52	2.20807	1.14663	0.03539	0.98137	1.00291	0.99986	0.96752	0.98519	0.98920
YPR1	YDR368W	4	52	0.58747	0.14908	0.01328	1.01542	1.01087	1.01102	1.00391	1.00214	1.00636
xrs2	YDR369C	4	52	2.98338	1.66657	0.02496	1.01220	1.00838	0.99558	0.99689	1.00676	0.98724
YDR370C	YDR370C	4	52	1.42212	0.62682	0.02134	1.00802	1.00959	1.01036	0.99933	0.98902	1.00064
YDR371W	YDR371W	4	52	3.73153	2.15840	0.03646	1.01503	1.02721	1.02330	0.99074	1.00858	1.02416
YDR372C	YDR372C	4	52	2.75700	1.51538	0.03723	1.02936	1.00448	1.01206	1.00516	0.99213	1.00219
FRQ1	YDR373W	4	52	12.70863	6.81764	0.05800	1.02938	1.00843	1.02116	0.98621	0.97138	0.98506
YDR374C	YDR374C	2	26	3.57678	1.69461	0.04523	0.99904	1.00281	0.97656	0.95758	0.98447	0.98532
BCS1	YDR375C	2	26	8.80608	3.64083	0.07041	0.99894	1.03434	1.01587	1.00245	1.02016	1.06936
ARH1	YDR376W	4	52	2.04708	1.03859	0.02852	1.00703	1.00277	1.00461	0.99184	0.97851	0.99161
ATP17	YDR377W	4	52	7.30182	4.27301	0.04092	1.02604	1.00720	1.02287	1.01878	0.98580	0.98511
LSM6	YDR378C	4	52	2.00686	1.01165	0.02314	1.00923	1.00631	1.00046	1.00672	1.00684	0.98609
RGA2	YDR379W	2	26	4.93514	2.29244	0.02504	1.00063	1.00806	1.00840	0.98383	0.98469	0.98337
YDR380W	YDR380W	4	52	16.62957	8.31186	0.10109	0.99108	1.02547	0.96844	1.03850	1.03446	1.06953
YRA1	YDR381W	4	52	9.29190	5.28915	0.04822	1.02943	1.02900	1.03298	1.00008	0.98476	1.01026
RPP2B	YDR382W	4	52	11.09053	6.12423	0.06349	0.96027	0.98801	0.94190	0.92624	0.97265	0.98973
YDR383C	YDR383C	4	52	5.46402	3.23446	0.03280	1.01891	1.00387	1.01001	0.99945	0.98646	0.98612
YDR384C	YDR384C	2	26	2.84745	1.33885	0.04132	1.02421	1.00229	1.00124	1.00104	0.98289	1.00387
EFT2	YDR385W	2	26	12.87942	4.69614	0.06286	1.03954	1.02374	1.01858	0.97668	1.00179	0.98647
MUS81	YDR386W	4	52	0.75215	0.22971	0.01670	1.01680	1.00010	1.01386	1.00913	1.00373	1.01279
YDR387C	YDR387C	3	39	0.68327	0.19404	0.01797	1.00026	1.00664	1.00501	1.01180	1.00297	1.01823
rvs167	YDR388W	4	52	0.67836	0.19231	0.01795	1.02483	1.01930	1.02062	1.01774	1.00844	1.00687
sac7	YDR389W	4	52	4.65295	2.74248	0.05246	1.01841	1.01865	1.03645	1.01105	0.98399	1.01047
UBA2	YDR390C	4	52	2.67040	1.45734	0.03679	0.99261	1.01594	1.00004	1.02263	1.02940	1.02927
YDR391C	YDR391C	4	52	1.39070	0.60674	0.02484	1.00841	1.00029	1.01951	1.00801	0.99467	1.01607
spt3	YDR392W	2	26	2.41691	1.11705	0.03347	1.00298	0.99514	1.01678	0.98332	0.99878	1.00549
SHE9	YDR393W	4	52	2.41342	1.28471	0.02562	1.02212	1.01644	1.02392	1.00150	0.99830	1.00522
RPT3	YDR394W	2	26	0.15907	0.01129	0.01196	1.01780	1.01467	1.01108	1.01689	1.01381	1.00584
SXM1	YDR395W	4	52	2.75457	1.51376	0.02801	1.02612	1.01778	1.02753	1.01496	1.00299	0.99952
YDR396W	YDR396W	4	52	0.43224	0.08432	0.01497	1.00812	1.01573	1.00992	1.00076	1.00337	1.00669
NCB2	YDR397C	4	52	1.69642	0.80528	0.03004	1.00873	1.01943	1.02156	0.99952	0.99152	1.00400
YDR398W	YDR398W	1	13	5.89196	1.58587	0.10737	0.96294	1.01344	0.95787	1.01399	1.01343	1.06524
HPT1	YDR399W	4	52	0.33256	0.05041	0.01408	1.00457	1.00880	1.01425	1.00017	1.01151	1.00693
URH1	YDR400W	2	26	4.48396	2.10268	0.03830	1.01548	1.02324	1.01885	0.99035	0.99747	0.98494
YDR401W	YDR401W	2	26	10.21085	4.03715	0.08859	0.97941	1.03517	1.00104	0.98947	1.02617	1.06800
DIT2	YDR402C	2	21	2.77819	1.19427	0.11894	0.89280	1.01174	0.98621	0.98099	1.01133	1.00547
DIT1	YDR403W	3	39	1.46890	0.63968	0.02918	1.03594	1.01969	1.03092	1.01893	1.00676	1.00963
rpb7	YDR404C	4	52	2.15645	1.11196	0.02825	0.98854	0.99384	0.97727	0.96559	0.98430	0.97148
MRP20	YDR405W	4	52	42.29883	14.60994	0.15869	1.02091	0.94019	1.01192	1.00443	0.86222	0.87929
PDR15	YDR406W	2	26	1.71920	0.74184	0.03646	1.03496	1.01025	1.03927	1.01557	1.01071	1.00281
TRS120	YDR407C	4	52	8.77483	5.03506	0.06070	1.00165	0.99054	1.03085	0.97896	0.97015	1.00482
ade8	YDR408C	2	26	5.40149	2.48014	0.07168	0.98519	1.02420	1.00191	0.97199	0.99655	1.04367
YDR409W	YDR409W	2	26	8.69253	3.60702	0.05463	1.00927	0.99767	1.02435	0.96973	0.97124	0.98407
ste14	YDR410C	2	26	24.40168	6.70589	0.04701	1.00999	1.00041	0.98322	0.96298	0.97327	0.98348
YDR411C	YDR411C	2	26	1.02163	0.36235	0.03267	1.03844	1.01171	1.02219	1.04438	1.01808	1.02175
YDR412W	YDR412W	2	26	1.83796	0.80675	0.05361	1.04855	1.02602	1.03411	1.03533	1.01819	0.99494
YDR413C	YDR413C	4	52	3.26189	1.85124	0.02862	1.02407	1.00691	1.02274	1.01342	1.00698	0.99545
ERD1	YDR414C	4	52	2.82434	1.56044	0.03566	1.02182	1.01286	1.02712	1.01438	1.00894	0.99145
YDR415C	YDR415C	2	26	20.28167	6.09867	0.04125	1.01427	1.00386	0.98960	0.98112	0.99158	0.97301
SYF1	YDR416W	4	52	0.22629	0.02271	0.01235	1.01197	1.00512	1.00785	1.01078	0.99962	1.00825
YDR417C	YDR417C	2	26	0.86413	0.28081	0.03379	0.95645	0.98128	0.95061	0.96012	0.98440	0.97731
RPL12B	YDR418W	2	26	14.94885	5.14099	0.12117	0.73861	0.83532	0.81252	0.79121	0.78572	0.85978
RAD30	YDR419W	4	52	0.90459	0.31231	0.01749	1.01854	1.01344	1.01772	1.02100	1.00649	1.00351
HKR1	YDR420W	4	52	1.53715	0.70104	0.02334	1.02879	1.02943	1.01504	1.01742	1.01556	1.00610
YDR421W	YDR421W	3	39	0.42489	0.08216	0.02331	1.02231	1.01120	1.01488	1.02465	1.00133	1.01000
SIP1	YDR422C	2	26	21.79238	6.33237	0.06860	1.03826	1.00109	1.02645	0.96966	0.97672	0.99063
cad1	YDR423C	4	52	11.71804	6.39920	0.04132	0.99712	1.00084	1.01596	0.97464	0.97758	0.98273
DYN2	YDR424C	3	39	15.96120	6.95274	0.08628	0.98973	1.05503	1.00411	0.96875	1.03347	1.04450
YDR425W	YDR425W	4	52	2.34129	1.23620	0.01991	0.99326	1.00505	0.99845	0.98688	0.99459	0.98514
YDR426C	YDR426C	4	52	4.30328	2.52391	0.03097	0.99263	0.99911	0.99170	0.97781	0.96814	0.98439
RPN9	YDR427W	6	78	1.86316	0.94781	0.02098	0.99886	0.98488	0.99534	0.99596	0.97788	0.98608
YDR428C	YDR428C	3	39	1.05800	0.39485	0.02165	0.99146	1.00395	0.98230	1.00061	0.99264	0.99852
TIF35	YDR429C	4	52	9.45730	5.36904	0.03749	1.00221	1.00024	0.98859	0.97072	0.97535	1.00821
YDR430C	YDR430C	4	52	9.74752	5.50765	0.03190	0.99532	1.01288	0.99216	1.00062	1.00442	0.98099
YDR431W	YDR431W	4	52	12.49258	6.72795	0.04100	1.00686	1.01149	0.98846	0.97891	0.98553	0.97049
NPL3	YDR432W	4	52	2.28149	1.19599	0.02765	1.00225	0.99174	1.01399	0.98634	0.99226	0.99757
YDR433W	YDR433W	0	0									
YDR434W	YDR434W	4	52	2.78078	1.53130	0.02264	0.99779	1.00676	1.00975	1.00092	0.98711	0.99138
PPM1	YDR435C	2	26	2.26396	1.03628	0.03543	1.01161	0.99767	1.00231	0.98852	1.00147	0.97618
PPZ2	YDR436W	3	39	1.08941	0.41293	0.02350	0.99269	1.00369	1.00011	1.01619	1.00056	1.00384
YDR437W	YDR437W	4	52	2.48942	1.33581	0.02574	1.01381	1.01154	1.00457	0.98807	0.99864	1.00829
YDR438W	YDR438W	2	26	0.96303	0.33164	0.01723	1.01120	0.99855	1.00329	0.99875	0.99857	0.99397
LRS4	YDR439W	2	26	8.75806	3.62657	0.04910	1.02979	0.99589	1.03126	0.98305	0.98215	1.00271
DOT1	YDR440W	4	52	0.84136	0.27727	0.01533	1.01378	1.00333	1.00649	1.01676	1.01269	1.01867
APT2	YDR441C	2	26	7.66752	3.28821	0.08467	0.98202	0.99710	0.97415	1.04288	1.01540	1.05883
YDR442W	YDR442W	2	26	0.57479	0.14351	0.02052	1.01892	1.00388	1.01295	1.02266	1.00925	1.00214
ssn2	YDR443C	4	52	8.94969	5.12173	0.03748	1.02141	1.01301	1.01688	1.00629	1.00740	0.98393
YDR444W	YDR444W	4	52	1.59249	0.73709	0.03278	1.05597	1.03768	1.03948	1.04492	1.03245	1.02319
YDR445C	YDR445C	2	26	6.30086	2.82004	0.09246	1.00644	1.02917	0.97335	1.06567	1.03194	1.06582
ECM11	YDR446W	4	52	4.96286	2.93296	0.04988	1.00342	1.01192	0.99745	1.02227	1.02067	1.04733
RPS17B	YDR447C	1	13	1.69648	0.57124	0.05177	0.99429	0.97780	0.99379	1.01809	1.00104	1.02957
ADA2	YDR448W	0	0									
YDR449C	YDR449C	2	26	6.44618	2.87244	0.06549	0.98952	1.01279	0.99396	0.94730	0.98459	0.99646
RPS18A	YDR450W	3	39	2.09983	1.03157	0.03348	0.98283	0.98870	0.97123	0.96424	0.98606	0.99772
YDR451C	YDR451C	4	50	1.98599	0.99282	0.02748	1.02176	1.00104	1.01023	1.01550	0.99428	1.00700
PHM5	YDR452W	3	39	9.93634	4.95447	0.07602	0.98826	1.00793	0.97630	1.03224	1.03849	1.05232
YDR453C	YDR453C	2	26	7.01118	3.07005	0.07584	0.99767	1.00116	0.97462	1.05046	1.01737	1.03769
GUK1	YDR454C	4	52	0.61690	0.16270	0.01311	1.01279	0.99968	1.01251	1.00303	1.00188	1.01262
YDR455C	YDR455C	4	52	4.37051	2.56623	0.03618	1.01478	0.99967	1.02744	0.99343	0.99126	1.02260
NHX1	YDR456W	2	26	5.37980	2.47159	0.04291	1.01212	1.01492	1.00903	1.00925	1.02033	0.97743
TOM1	YDR457W	4	52	0.47179	0.09958	0.01274	1.01595	1.01603	1.00863	1.00537	1.01005	1.00329
YDR458C	YDR458C	2	26	4.19627	1.97723	0.07661	1.01450	1.02732	1.01844	0.99960	1.04156	1.07621
YDR459C	YDR459C	4	52	3.08513	1.73423	0.02744	1.01833	1.01059	1.00062	1.02806	1.02026	1.01067
TFB3	YDR460W	4	52	1.38362	0.60222	0.02100	1.00769	1.00611	1.01122	1.02374	1.01731	1.00274
mfa1	YDR461W	2	26	17.81784	5.68493	0.06777	1.01581	0.99217	1.00135	1.01610	0.99055	0.94833
MRPL28	YDR462W	2	26	0.95682	0.32840	0.02923	1.03383	1.02402	1.00645	1.03568	1.02285	1.02124
STP1	YDR463W	4	52	2.48714	1.33427	0.02454	1.01929	0.99948	1.02320	1.02223	0.99866	1.00581
spp41	YDR464W	2	26	0.66929	0.18592	0.02443	1.02069	1.01348	1.02207	1.00948	1.00993	1.03391
RMT2	YDR465C	2	26	6.06279	2.73273	0.02631	1.01916	1.00701	1.01807	1.02227	1.01324	0.99596
YDR466W	YDR466W	4	52	1.06364	0.40444	0.01836	1.02213	1.00377	1.01054	1.01983	1.01344	1.01944
YDR467C	YDR467C	4	52	2.38697	1.26692	0.02500	1.00927	1.00881	1.00183	0.99781	1.00671	0.98427
TLG1	YDR468C	2	26	0.85912	0.27828	0.03216	1.04509	1.02726	1.03125	1.03794	1.02374	1.01293
YDR469W	YDR469W	4	52	5.91876	3.50111	0.04589	1.01778	1.01281	1.00200	1.04789	1.03401	1.01822
UGO1	YDR470C	2	26	13.41041	4.81515	0.12471	0.98120	0.93639	1.01936	1.00290	0.89466	0.96780
RPL27B	YDR471W	2	26	1.11673	0.41291	0.04276	0.97839	1.00743	0.98957	0.98470	0.98629	1.02115
TRS31	YDR472W	2	25	4.82991	2.20377	0.05862	0.99539	1.02098	0.98622	0.96236	1.00929	1.01384
prp3	YDR473C	3	39	0.57238	0.14234	0.01813	1.01522	1.01039	1.01481	1.02852	1.01294	1.02558
YDR474C	YDR474C	2	26	2.44038	1.12936	0.06679	1.05325	1.04602	1.06088	1.03255	0.99409	1.03853
YDR475C	YDR475C	4	52	1.02326	0.38056	0.01638	1.02355	1.00814	1.02011	1.01316	1.00720	1.00717
YDR476C	YDR476C	2	26	0.91908	0.30888	0.01938	1.01828	1.01120	1.01915	1.00871	1.02212	1.00274
snf1	YDR477W	4	52	2.70892	1.48317	0.02854	1.00720	1.01595	1.01146	1.03574	1.03046	1.01224
SNM1	YDR478W	4	50	1.53192	0.69514	0.01931	1.01567	1.00601	1.00937	1.02462	1.02285	1.02532
YDR479C	YDR479C	4	52	2.66072	1.45085	0.02631	1.01080	1.01436	1.01179	1.03711	1.03045	1.01667
DIG2	YDR480W	4	52	0.43985	0.08719	0.01438	1.01270	1.00979	1.01584	1.01746	1.01433	1.00307
pho8	YDR481C	4	51	0.15176	0.00950	0.01129	1.00581	1.00235	1.00708	1.01364	1.01129	1.01050
YDR482C	YDR482C	4	51	1.05388	0.39825	0.02040	1.00579	1.00445	1.02185	1.02485	1.01430	1.02363
kre2	YDR483W	2	26	3.65097	1.72938	0.08746	1.01697	1.00818	1.02946	1.02626	1.02877	1.09564
sac2	YDR484W	3	39	0.87424	0.29240	0.02535	1.00514	0.98989	1.01264	1.01524	1.00110	1.00392
YDR485C	YDR485C	0	0									
VPS60	YDR486C	4	52	3.29390	1.87236	0.04397	1.03577	0.99932	1.02453	1.01832	0.99180	1.02861
rib3	YDR487C	2	26	1.64491	0.70112	0.02551	1.00810	1.00181	1.00463	1.00943	0.98393	0.99039
PAC11	YDR488C	2	26	2.49156	1.15611	0.05753	1.04059	1.01131	1.01832	1.01381	0.98306	1.03916
YDR489W	YDR489W	4	52	2.90435	1.61389	0.03476	1.02531	1.01663	1.00350	1.03826	1.02747	1.03690
PKH1	YDR490C	4	52	6.45291	3.80606	0.05086	1.01570	1.00543	0.99429	1.04515	1.02877	1.04122
YDR491C	YDR491C	4	52	1.99693	1.00501	0.02497	1.00316	1.01130	1.00692	1.02813	1.02768	1.01629
YDR492W	YDR492W	0	0									
YDR493W	YDR493W	4	52	1.53911	0.70231	0.02367	1.00439	1.00998	1.00036	1.02403	1.02350	1.00920
YDR494W	YDR494W	4	52	5.13052	3.03472	0.05136	1.02841	1.01237	1.02141	1.04031	0.99543	1.04679
vps3	YDR495C	4	52	1.78968	0.86692	0.02420	1.02280	1.00203	1.02242	1.01410	0.99860	1.00993
YDR496C	YDR496C	2	26	3.52535	1.67035	0.02395	1.00842	1.00774	1.01139	1.00936	1.01457	0.99062
ITR1	YDR497C	4	52	1.14699	0.45460	0.01565	0.98517	0.99850	0.99053	0.99966	0.99964	1.00082
SEC20	YDR498C	4	52	0.44018	0.08731	0.01570	0.99628	1.00351	0.99966	1.00205	0.99495	1.01065
LCD1	YDR499W	2	26	6.54504	2.90771	0.03007	1.02516	1.01148	1.00402	1.02300	1.02246	0.99509
RPL37B	YDR500C	7	91	2.72842	1.59797	0.04428	1.01433	1.02023	1.00407	0.97990	1.01190	1.02419
PLM2	YDR501W	0	0									
sam2	YDR502C	4	52	1.74363	0.83644	0.02922	0.99744	1.00203	1.01073	0.99280	0.98479	1.01401
LPP1	YDR503C	2	26	5.87698	2.66329	0.03158	1.03003	1.01704	1.01296	1.04454	1.02432	1.01515
YDR504C	YDR504C	4	52	4.91854	2.90590	0.03650	0.97765	1.00233	0.98776	0.99434	1.00522	1.01415
PSP1	YDR505C	2	26	2.37357	1.09427	0.03062	0.98186	0.97774	0.99920	0.97868	0.97621	1.00682
YDR506C	YDR506C	3	39	4.51271	2.45902	0.04888	1.05453	1.04223	1.04002	1.00619	1.02159	1.00565
GIN4	YDR507C	0	0									
GNP1	YDR508C	2	26	10.91282	4.22136	0.06874	1.01250	1.02359	1.02647	0.97521	0.95773	1.00831
YDR509W	YDR509W	3	39	1.84279	0.87116	0.03153	0.99913	0.99916	0.98749	1.01902	1.00236	0.99971
SMT3	YDR510W	4	52	0.50348	0.11245	0.01129	1.00170	1.01298	1.00760	1.00963	1.01038	1.00395
