,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
335,YDR120C,TRM1,22.5,-10,29.6,-10,0.15,0,0,0,0,0,22.5,-10,29.6,-10,1.50E-01
336,YKR056W,TRM2,22.8,-10,27.4,-10,0.36,0,0,0,0,0,22.8,-10,27.4,-10,3.60E-01
337,YHR106W,TRR2,26.3,-25,26.3,-25,0.91,0,0,0,0,0,26.3,-25,26.3,-25,9.10E-01
338,YOR115C,TRS33,25.3,-10,29.3,-10,0.45,0,0,0,0,0,25.3,-10,29.3,-10,4.50E-01
339,YLR425W,TUS1,17.6,-5,28.8,-5,0.21,0,0,0,0,0,17.6,-5,28.8,-5,2.10E-01
340,YDR100W,TVP15,15.6,-10,29.6,-10,0.0011,0,0,0,0,0,15.6,-10,29.6,-10,1.10E-03
341,YDR084C,TVP23,21.4,-10,29.6,-10,0.012,0,0,0,0,0,21.4,-10,29.6,-10,1.20E-02
342,YKR088C,TVP38,24.4,-5,28.8,-5,1,0,0,0,0,0,24.4,-5,28.8,-5,1.00E+00
343,YGR080W,TWF1,17.4,-5,32.8,-5,0.056,0,0,0,0,0,17.4,-5,32.8,-5,5.60E-02
344,YHR111W,UBA4,20,-5,22.4,-5,0.74,0,0,0,0,0,20,-5,22.4,-5,7.40E-01
345,YDR092W,UBC13,22.2,-10,29.6,-10,0.16,0,0,0,0,0,22.2,-10,29.6,-10,1.60E-01
346,YDR059C,UBC5,22.2,-10,29.6,-10,0.17,0,0,0,0,0,22.2,-10,29.6,-10,1.70E-01
347,YKR098C,UBP11,21.6,-5,28.8,-5,0.57,0,0,0,0,0,21.6,-5,28.8,-5,5.70E-01
348,YOR124C,UBP2,28.5,-15,27,-25,0.6,0,0,0,0,0,28.5,-15,27,-25,6.00E-01
349,YML021C,UNG1,15.8,-5,28.8,-5,0.17,0,0,0,0,0,15.8,-5,28.8,-5,1.70E-01
350,YGR072W,UPF3,24.6,-25,26.7,-25,0.25,0,0,0,0,0,24.6,-25,26.7,-25,2.50E-01
351,YNL229C,URE2,31.9,-25,24.6,-45,0.0012,30.6,-40,25.3,-60,0.021,31.1,-65,25,-105,3.70E-04
352,YKR060W,UTP30,20.6,-5,29,-5,0.39,0,0,0,0,0,20.6,-5,29,-5,3.90E-01
353,YLR386W,VAC14,18.5,-10,22.7,-10,0.34,0,0,0,0,0,18.5,-10,22.7,-10,3.40E-01
354,YOR106W,VAM3,14.4,-5,32.8,-5,0.032,0,0,0,0,0,14.4,-5,32.8,-5,3.20E-02
355,YDR247W,VHS1,34,-20,25.9,-55,0.026,25.4,-40,25.3,-60,0.4,28.2,-60,25.6,-115,4.30E-01
356,YLR373C,VID22,12.2,-10,22.7,-10,0.034,0,0,0,0,0,12.2,-10,22.7,-10,3.40E-02
357,YGR105W,VMA21,10.7,-14,24.9,-45,2.7e-06,0,0,0,0,0,10.7,-14,24.9,-45,2.70E-06
358,YHR060W,VMA22,12.6,-5,22.4,-5,0.056,0,0,0,0,0,12.6,-5,22.4,-5,5.60E-02
359,YLR447C,VMA6,12,-5,28.8,-5,0.032,0,0,0,0,0,12,-5,28.8,-5,3.20E-02
360,YOR132W,VPS17,25.8,-5,32.8,-5,0.45,0,0,0,0,0,25.8,-5,32.8,-5,4.50E-01
361,YLR360W,VPS38,29.3,-25,25.4,-35,0.55,0,0,0,0,0,29.3,-25,25.4,-35,5.50E-01
362,YDR080W,VPS41,16.7,-10,29.6,-10,0.0045,0,0,0,0,0,16.7,-10,29.6,-10,4.50E-03
363,YJR044C,VPS55,26.8,-20,24.4,-20,0.76,0,0,0,0,0,26.8,-20,24.4,-20,7.60E-01
364,YHR134W,WSS1,14.2,-5,22.4,-5,0.15,0,0,0,0,0,14.2,-5,22.4,-5,1.50E-01
365,YHR161C,YAP1801,25.7,-15,25,-25,0.73,0,0,0,0,0,25.7,-15,25,-25,7.30E-01
366,YDR259C,YAP6,24.1,-10,27.4,-10,0.57,0,0,0,0,0,24.1,-10,27.4,-10,5.70E-01
367,YHR135C,YCK1,23.4,-5,22.4,-5,0.69,0,0,0,0,0,23.4,-5,22.4,-5,6.90E-01
368,YDR057W,YOS9,26.2,-90,29,-90,0.0095,0,0,0,0,0,26.2,-90,29,-90,9.50E-03
369,YBR264C,YPT10,25,-30,26.5,-30,0.6,0,0,0,0,0,25,-30,26.5,-30,6.00E-01
370,YHR105W,YPT35,28.8,-25,24.6,-65,0.41,0,0,0,0,0,28.8,-25,24.6,-65,4.10E-01
371,YOR172W,YRM1,30.6,-25,28.4,-25,0.54,0,0,0,0,0,30.6,-25,28.4,-25,5.40E-01
372,YOR162C,YRR1,29.7,-20,29,-35,0.71,0,0,0,0,0,29.7,-20,29,-35,7.10E-01
373,YNR065C,YSN1,24.8,-5,28.8,-5,0.89,0,0,0,0,0,24.8,-5,28.8,-5,8.90E-01
374,YDR285W,ZIP1,28.3,-20,27.2,-25,0.88,21.2,-20,29.7,-20,0.027,24.7,-40,28.3,-45,8.90E-02
375,YAL058CA,,23.6,-5,28.8,-5,0.95,0,0,0,0,0,23.6,-5,28.8,-5,9.50E-01
376,YBR224W,,24.3,-10,29.6,-10,0.17,0,0,0,0,0,24.3,-10,29.6,-10,1.70E-01
377,YBR225W,,17.6,-10,29.6,-10,0.025,0,0,0,0,0,17.6,-10,29.6,-10,2.50E-02
378,YBR226C,,31.8,-20,29.6,-20,0.49,0,0,0,0,0,31.8,-20,29.6,-20,4.90E-01
379,YBR230C,,21.4,-10,29.6,-10,0.15,0,0,0,0,0,21.4,-10,29.6,-10,1.50E-01
380,YBR235W,,24.3,-10,29.6,-10,0.068,0,0,0,0,0,24.3,-10,29.6,-10,6.80E-02
381,YBR238C,,34.9,-20,27.9,-20,0.013,33.9,-40,25.3,-60,0.0019,34.2,-60,25.9,-80,4.40E-05
382,YBR239C,,24.1,-10,29.6,-10,0.36,0,0,0,0,0,24.1,-10,29.6,-10,3.60E-01
383,YBR241C,,23.8,-10,29.6,-10,0.24,0,0,0,0,0,23.8,-10,29.6,-10,2.40E-01
384,YBR242W,,27.7,-25,26.6,-30,0.57,0,0,0,0,0,27.7,-25,26.6,-30,5.70E-01
385,YBR246W,,25,-10,29.6,-10,0.31,0,0,0,0,0,25,-10,29.6,-10,3.10E-01
386,YBR250W,,25.5,-10,29.6,-10,0.27,0,0,0,0,0,25.5,-10,29.6,-10,2.70E-01
387,YBR255W,,34.1,-20,25.5,-50,0.0017,31.6,-40,25.3,-60,0.0021,32.4,-60,25.3,-110,1.30E-05
388,YBR259W,,27.1,-30,28.4,-30,0.45,0,0,0,0,0,27.1,-30,28.4,-30,4.50E-01
389,YBR261C,,33.1,-20,27.9,-20,0.18,0,0,0,0,0,33.1,-20,27.9,-20,1.80E-01
390,YBR266C,,37.3,-80,27.3,-80,1.4e-07,36.4,-40,24.8,-40,1.4e-06,37,-120,26.5,-120,1.50E-12
391,YBR267W,,37.5,-50,27.3,-50,4.6e-05,36.5,-40,24.8,-40,1.9e-05,37.1,-90,26.2,-90,3.70E-09
392,YCL006C,,31.5,-25,25.1,-55,0.032,0,0,0,0,0,31.5,-25,25.1,-55,3.20E-02
393,YCL022C,,22,-5,28.8,-5,0.46,0,0,0,0,0,22,-5,28.8,-5,4.60E-01
394,YCL023C,,31.7,-10,28.5,-10,0.43,0,0,0,0,0,31.7,-10,28.5,-10,4.30E-01
395,YCL074W,,17.8,-5,28.8,-5,0.38,0,0,0,0,0,17.8,-5,28.8,-5,3.80E-01
396,YCL075W,,28.4,-30,26.9,-30,0.75,0,0,0,0,0,28.4,-30,26.9,-30,7.50E-01
397,YCL076W,,23,-5,28.8,-5,0.69,0,0,0,0,0,23,-5,28.8,-5,6.90E-01
398,YDL061W,,25.5,-10,22.7,-10,0.43,0,0,0,0,0,25.5,-10,22.7,-10,4.30E-01
399,YDR049W,,22.4,-10,29.6,-10,0.045,0,0,0,0,0,22.4,-10,29.6,-10,4.50E-02
400,YDR051C,,22.1,-10,29.6,-10,0.053,0,0,0,0,0,22.1,-10,29.6,-10,5.30E-02
401,YDR056C,,28.7,-20,26.9,-30,0.78,0,0,0,0,0,28.7,-20,26.9,-30,7.80E-01
402,YDR061W,,25.1,-10,29.6,-10,0.27,0,0,0,0,0,25.1,-10,29.6,-10,2.70E-01
403,YDR063W,,23.8,-10,29.6,-10,0.069,0,0,0,0,0,23.8,-10,29.6,-10,6.90E-02
404,YDR065W,,15.6,-10,29.6,-10,0.0028,0,0,0,0,0,15.6,-10,29.6,-10,2.80E-03
405,YDR066C,,27.5,-15,28.5,-15,0.97,0,0,0,0,0,27.5,-15,28.5,-15,9.70E-01
406,YDR067C,,25.6,-10,29.6,-10,0.52,0,0,0,0,0,25.6,-10,29.6,-10,5.20E-01
407,YDR089W,,20.8,-10,29.6,-10,0.034,0,0,0,0,0,20.8,-10,29.6,-10,3.40E-02
408,YDR090C,,25,-20,27.6,-35,0.1,0,0,0,0,0,25,-20,27.6,-35,1.00E-01
409,YDR094W,,23.6,-10,29.6,-10,0.14,0,0,0,0,0,23.6,-10,29.6,-10,1.40E-01
410,YDR095C,,20.1,-10,29.6,-10,0.0036,0,0,0,0,0,20.1,-10,29.6,-10,3.60E-03
411,YDR102C,,26.7,-20,29.6,-20,0.23,0,0,0,0,0,26.7,-20,29.6,-20,2.30E-01
412,YDR107C,,24.7,-10,29.6,-10,0.45,0,0,0,0,0,24.7,-10,29.6,-10,4.50E-01
413,YDR109C,,25,-10,29.6,-10,0.2,0,0,0,0,0,25,-10,29.6,-10,2.00E-01
414,YDR112W,,20.9,-10,29.6,-10,0.045,0,0,0,0,0,20.9,-10,29.6,-10,4.50E-02
415,YDR117C,,23.2,-10,29.6,-10,0.17,0,0,0,0,0,23.2,-10,29.6,-10,1.70E-01
416,YDR119W,,29.4,-25,29.9,-30,0.77,0,0,0,0,0,29.4,-25,29.9,-30,7.70E-01
417,YDR124W,,35.4,-20,27.9,-20,0.015,22.6,-40,25.3,-60,0.082,26.8,-60,25.9,-80,9.20E-01
418,YDR128W,,19.6,-10,29.6,-10,0.008,0,0,0,0,0,19.6,-10,29.6,-10,8.00E-03
419,YDR131C,,24.7,-10,29.6,-10,0.16,0,0,0,0,0,24.7,-10,29.6,-10,1.60E-01
420,YDR132C,,17.9,-10,29.6,-10,0.01,0,0,0,0,0,17.9,-10,29.6,-10,1.00E-02
421,YDR133C,,22.9,-10,29.6,-10,0.12,0,0,0,0,0,22.9,-10,29.6,-10,1.20E-01
422,YDR134C,,19.8,-10,29.6,-10,0.01,0,0,0,0,0,19.8,-10,29.6,-10,1.00E-02
423,YDR248C,,34.6,-25,29.5,-25,0.025,24,-40,25.3,-60,0.24,28.1,-65,26.5,-85,4.60E-01
424,YDR249C,,25,-15,29.1,-20,0.066,0,0,0,0,0,25,-15,29.1,-20,6.60E-02
425,YDR250C,,33.5,-30,28.4,-35,0.051,0,0,0,0,0,33.5,-30,28.4,-35,5.10E-02
426,YDR262W,,21.4,-5,29,-5,0.46,0,0,0,0,0,21.4,-5,29,-5,4.60E-01
427,YDR266C,,30.4,-20,26.9,-35,0.3,0,0,0,0,0,30.4,-20,26.9,-35,3.00E-01
428,YDR274C,,35.6,-30,28.4,-35,0.0087,19.7,-40,21.1,-20,0.21,26.5,-70,25.7,-55,8.00E-01
429,YDR278C,,34.1,-15,29.4,-15,0.38,0,0,0,0,0,34.1,-15,29.4,-15,3.80E-01
430,YDR282C,,17,-5,29,-5,0.095,0,0,0,0,0,17,-5,29,-5,9.50E-02
431,YDR286C,,28,-20,26.9,-35,0.83,0,0,0,0,0,28,-20,26.9,-35,8.30E-01
432,YDR287W,,10,-5,29,-5,0.032,0,0,0,0,0,10,-5,29,-5,3.20E-02
433,YDR291W,,18.6,-5,29,-5,0.25,0,0,0,0,0,18.6,-5,29,-5,2.50E-01
434,YDR306C,,27.8,-20,26.9,-35,0.65,0,0,0,0,0,27.8,-20,26.9,-35,6.50E-01
435,YDR307W,,35.1,-20,26.9,-35,0.0056,23.2,-40,23.8,-40,0.71,27.2,-60,25.2,-75,4.70E-01
436,YDR314C,,35.9,-15,29.4,-15,0.45,29.7,-20,21.3,-20,0.0047,32.4,-35,24.7,-35,1.10E-02
437,YDR316W,,16.8,-5,29,-5,0.15,0,0,0,0,0,16.8,-5,29,-5,1.50E-01
438,YDR317W,,28.1,-20,26.9,-35,0.67,0,0,0,0,0,28.1,-20,26.9,-35,6.70E-01
439,YDR319C,,30.7,-20,26.9,-35,0.34,0,0,0,0,0,30.7,-20,26.9,-35,3.40E-01
440,YDR326C,,28.4,-25,25.4,-35,0.4,0,0,0,0,0,28.4,-25,25.4,-35,4.00E-01
441,YDR330W,,25.4,-5,29,-5,1,0,0,0,0,0,25.4,-5,29,-5,1.00E+00
442,YDR333C,,19.2,-5,29,-5,0.21,0,0,0,0,0,19.2,-5,29,-5,2.10E-01
443,YDR334W,,24.1,-30,26.9,-30,0.11,0,0,0,0,0,24.1,-30,26.9,-30,1.10E-01
444,YDR336W,,26.8,-25,27.6,-25,0.68,0,0,0,0,0,26.8,-25,27.6,-25,6.80E-01
445,YDR417C,,28.5,-20,22.7,-20,0.062,0,0,0,0,0,28.5,-20,22.7,-20,6.20E-02
446,YDR444W,,27.3,-10,22.7,-10,0.38,0,0,0,0,0,27.3,-10,22.7,-10,3.80E-01
447,YDR506C,,27.3,-30,25.3,-40,0.51,0,0,0,0,0,27.3,-30,25.3,-40,5.10E-01
448,YER181C,,27.6,-25,24,-55,0.31,0,0,0,0,0,27.6,-25,24,-55,3.10E-01
449,YER184C,,21.2,-10,22.7,-10,0.4,0,0,0,0,0,21.2,-10,22.7,-10,4.00E-01
450,YER185W,,25.6,-20,24.4,-20,0.99,0,0,0,0,0,25.6,-20,24.4,-20,9.90E-01
451,YER186C,,31.6,-25,24,-55,0.008,24.4,-40,25.3,-60,0.33,27.2,-65,24.7,-115,2.80E-01
452,YER187W,,32.8,-35,25.4,-35,0.025,24,-40,25.3,-60,0.14,28.1,-75,25.3,-95,5.10E-01
453,YGL199C,,21.2,-10,25.1,-10,0.32,0,0,0,0,0,21.2,-10,25.1,-10,3.20E-01
454,YGL214W,,31.7,-25,27.1,-35,0.2,0,0,0,0,0,31.7,-25,27.1,-35,2.00E-01
455,YGL217C,,30.2,-25,27.1,-35,0.35,0,0,0,0,0,30.2,-25,27.1,-35,3.50E-01
456,YGL235W,,32.6,-25,27.1,-35,0.04,0,0,0,0,0,32.6,-25,27.1,-35,4.00E-02
457,YGR011W,,26.8,-25,27.1,-35,0.81,0,0,0,0,0,26.8,-25,27.1,-35,8.10E-01
458,YGR018C,,25.7,-10,28.5,-10,0.88,0,0,0,0,0,25.7,-10,28.5,-10,8.80E-01
459,YGR022C,,23.7,-10,28.5,-10,0.6,0,0,0,0,0,23.7,-10,28.5,-10,6.00E-01
460,YGR054W,,23.7,-10,29.3,-10,0.29,0,0,0,0,0,23.7,-10,29.3,-10,2.90E-01
461,YGR058W,,19.8,-5,32.8,-5,0.16,0,0,0,0,0,19.8,-5,32.8,-5,1.60E-01
462,YGR064W,,27.4,-25,28.4,-25,0.85,0,0,0,0,0,27.4,-25,28.4,-25,8.50E-01
463,YGR066C,,25.5,-20,25.9,-65,0.35,0,0,0,0,0,25.5,-20,25.9,-65,3.50E-01
464,YGR067C,,27.2,-15,27,-25,0.97,0,0,0,0,0,27.2,-15,27,-25,9.70E-01
465,YGR068C,,26.6,-25,25.3,-25,0.82,0,0,0,0,0,26.6,-25,25.3,-25,8.20E-01
466,YGR069W,,27.8,-25,25.3,-25,0.21,0,0,0,0,0,27.8,-25,25.3,-25,2.10E-01
467,YGR071C,,13.8,-5,32.8,-5,0.032,0,0,0,0,0,13.8,-5,32.8,-5,3.20E-02
468,YGR079W,,22.6,-10,29.3,-10,0.12,0,0,0,0,0,22.6,-10,29.3,-10,1.20E-01
469,YGR107W,,29.8,-25,25.3,-25,0.35,0,0,0,0,0,29.8,-25,25.3,-25,3.50E-01
470,YGR111W,,22.2,-5,32.8,-5,0.29,0,0,0,0,0,22.2,-5,32.8,-5,2.90E-01
471,YGR122W,,23.9,-10,29.3,-10,0.29,0,0,0,0,0,23.9,-10,29.3,-10,2.90E-01
472,YHR022C,,21.8,-5,22.4,-5,0.84,0,0,0,0,0,21.8,-5,22.4,-5,8.40E-01
473,YHR029C,,21,-5,22.4,-5,0.51,0,0,0,0,0,21,-5,22.4,-5,5.10E-01
474,YHR033W,,23.8,-5,22.4,-5,0.87,0,0,0,0,0,23.8,-5,22.4,-5,8.70E-01
475,YHR035W,,22,-5,22.4,-5,0.94,0,0,0,0,0,22,-5,22.4,-5,9.40E-01
476,YHR048W,,23.6,-5,22.4,-5,0.89,0,0,0,0,0,23.6,-5,22.4,-5,8.90E-01
477,YHR049CA,,24.4,-5,22.4,-5,0.48,0,0,0,0,0,24.4,-5,22.4,-5,4.80E-01
478,YHR049W,,23.8,-5,22.4,-5,0.95,0,0,0,0,0,23.8,-5,22.4,-5,9.50E-01
479,YHR078W,,21,-5,22.4,-5,1,0,0,0,0,0,21,-5,22.4,-5,1.00E+00
480,YHR080C,,23.8,-5,22.4,-5,0.73,0,0,0,0,0,23.8,-5,22.4,-5,7.30E-01
481,YHR087W,,23.1,-15,25,-25,0.51,0,0,0,0,0,23.1,-15,25,-25,5.10E-01
482,YHR095W,,16.8,-5,22.4,-5,0.15,0,0,0,0,0,16.8,-5,22.4,-5,1.50E-01
483,YHR096W,,26.5,-15,25,-25,0.92,0,0,0,0,0,26.5,-15,25,-25,9.20E-01
484,YHR097C,,26.8,-15,25,-25,0.44,0,0,0,0,0,26.8,-15,25,-25,4.40E-01
485,YHR100C,,15,-5,22.4,-5,0.22,0,0,0,0,0,15,-5,22.4,-5,2.20E-01
486,YHR112C,,24.6,-5,22.4,-5,0.6,0,0,0,0,0,24.6,-5,22.4,-5,6.00E-01
487,YHR113W,,28.6,-20,24.6,-65,0.24,0,0,0,0,0,28.6,-20,24.6,-65,2.40E-01
488,YHR115C,,20.2,-5,22.4,-5,0.74,0,0,0,0,0,20.2,-5,22.4,-5,7.40E-01
489,YHR116W,,10,-5,22.4,-5,0.016,0,0,0,0,0,10,-5,22.4,-5,1.60E-02
490,YHR121W,,24.4,-5,22.4,-5,0.74,0,0,0,0,0,24.4,-5,22.4,-5,7.40E-01
491,YHR125W,,20.6,-5,22.4,-5,0.65,0,0,0,0,0,20.6,-5,22.4,-5,6.50E-01
492,YHR126C,,19,-25,26.3,-25,0.0029,0,0,0,0,0,19,-25,26.3,-25,2.90E-03
493,YHR130C,,35,-30,24.7,-35,0.00011,23.7,-40,25.3,-60,0.21,28.6,-70,25,-95,1.00E-01
494,YHR138C,,28,-25,26.3,-25,0.3,0,0,0,0,0,28,-25,26.3,-25,3.00E-01
495,YHR139CA,,27.5,-15,25,-25,0.31,0,0,0,0,0,27.5,-15,25,-25,3.10E-01
496,YHR151C,,27.2,-30,24.7,-35,0.46,0,0,0,0,0,27.2,-30,24.7,-35,4.60E-01
497,YHR155W,,19.4,-5,22.4,-5,0.6,0,0,0,0,0,19.4,-5,22.4,-5,6.00E-01
498,YHR159W,,22,-5,22.4,-5,0.89,0,0,0,0,0,22,-5,22.4,-5,8.90E-01
499,YHR182W,,17.2,-5,22.4,-5,0.29,0,0,0,0,0,17.2,-5,22.4,-5,2.90E-01
500,YIL001W,,31.8,-25,27.6,-25,0.15,0,0,0,0,0,31.8,-25,27.6,-25,1.50E-01
501,YIL056W,,21,-10,22.7,-10,0.65,0,0,0,0,0,21,-10,22.7,-10,6.50E-01
502,YIL102C,,26.5,-25,25.2,-25,0.82,0,0,0,0,0,26.5,-25,25.2,-25,8.20E-01
503,YIL158W,,23.8,-25,25.4,-35,0.24,0,0,0,0,0,23.8,-25,25.4,-35,2.40E-01
504,YJR039W,,25,-10,22.7,-10,0.36,0,0,0,0,0,25,-10,22.7,-10,3.60E-01
505,YKR045C,,28.2,-20,28.4,-35,0.73,0,0,0,0,0,28.2,-20,28.4,-35,7.30E-01
506,YKR047W,,23.2,-5,29,-5,0.65,0,0,0,0,0,23.2,-5,29,-5,6.50E-01
507,YKR051W,,25.4,-5,29,-5,0.88,0,0,0,0,0,25.4,-5,29,-5,8.80E-01
508,YKR064W,,25.6,-20,28.4,-35,0.13,0,0,0,0,0,25.6,-20,28.4,-35,1.30E-01
509,YKR087C,,9.2,-5,28.8,-5,0.016,0,0,0,0,0,9.2,-5,28.8,-5,1.60E-02
510,YKR089C,,23.3,-20,26.9,-30,0.11,0,0,0,0,0,23.3,-20,26.9,-30,1.10E-01
511,YKR100C,,20.8,-5,28.8,-5,0.58,0,0,0,0,0,20.8,-5,28.8,-5,5.80E-01
512,YKR105C,,29.3,-20,24.8,-50,0.083,21.2,-40,21.1,-20,0.97,23.9,-60,23.7,-70,9.90E-01
513,YLR262CA,,29.8,-20,26.9,-30,0.33,0,0,0,0,0,29.8,-20,26.9,-30,3.30E-01
514,YLR345W,,19.2,-15,23.7,-15,0.12,0,0,0,0,0,19.2,-15,23.7,-15,1.20E-01
515,YLR349W,,30.1,-25,25.4,-35,0.14,0,0,0,0,0,30.1,-25,25.4,-35,1.40E-01
516,YLR352W,,23.4,-25,24,-55,0.82,0,0,0,0,0,23.4,-25,24,-55,8.20E-01
517,YLR356W,,19,-10,22.7,-10,0.3,0,0,0,0,0,19,-10,22.7,-10,3.00E-01
518,YLR364W,,27.6,-25,25.4,-35,0.45,0,0,0,0,0,27.6,-25,25.4,-35,4.50E-01
519,YLR365W,,23.8,-15,23.7,-15,0.74,0,0,0,0,0,23.8,-15,23.7,-15,7.40E-01
520,YLR366W,,30.9,-30,25.5,-40,0.085,0,0,0,0,0,30.9,-30,25.5,-40,8.50E-02
521,YLR374C,,19,-10,22.7,-10,0.76,0,0,0,0,0,19,-10,22.7,-10,7.60E-01
522,YLR385C,,26.4,-25,25.4,-35,0.77,0,0,0,0,0,26.4,-25,25.4,-35,7.70E-01
523,YLR387C,,25.9,-25,25.4,-35,0.61,0,0,0,0,0,25.9,-25,25.4,-35,6.10E-01
524,YLR422W,,33.9,-30,26.9,-30,0.024,20.8,-40,21.1,-20,0.7,26.4,-70,24.5,-50,6.50E-01
525,YLR426W,,18.6,-25,25.8,-25,0.0076,0,0,0,0,0,18.6,-25,25.8,-25,7.60E-03
526,YLR428C,,28.2,-20,26.9,-30,0.77,0,0,0,0,0,28.2,-20,26.9,-30,7.70E-01
527,YLR434C,,22.8,-5,28.8,-5,0.45,0,0,0,0,0,22.8,-5,28.8,-5,4.50E-01
528,YLR437C,,21.8,-20,26.9,-30,0.05,0,0,0,0,0,21.8,-20,26.9,-30,5.00E-02
529,YLR444C,,23.4,-20,26.9,-30,0.11,0,0,0,0,0,23.4,-20,26.9,-30,1.10E-01
530,YLR445W,,13,-5,28.8,-5,0.032,0,0,0,0,0,13,-5,28.8,-5,3.20E-02
531,YLR446W,,24.2,-5,28.8,-5,0.69,0,0,0,0,0,24.2,-5,28.8,-5,6.90E-01
532,YLR456W,,21.6,-5,28.8,-5,0.52,0,0,0,0,0,21.6,-5,28.8,-5,5.20E-01
533,YLR460C,,19.5,-20,26.9,-30,0.0072,0,0,0,0,0,19.5,-20,26.9,-30,7.20E-03
534,YML010CB,,23.9,-30,26.9,-30,0.24,0,0,0,0,0,23.9,-30,26.9,-30,2.40E-01
535,YMR052CA,,26.2,-25,25.4,-35,0.89,0,0,0,0,0,26.2,-25,25.4,-35,8.90E-01
536,YMR057C,,28.2,-25,24,-55,0.44,0,0,0,0,0,28.2,-25,24,-55,4.40E-01
537,YMR158CB,,19.6,-5,28.8,-5,0.29,0,0,0,0,0,19.6,-5,28.8,-5,2.90E-01
538,YMR194CA,,21.4,-5,28.8,-5,0.69,0,0,0,0,0,21.4,-5,28.8,-5,6.90E-01
539,YMR326C,,15.6,-5,28.8,-5,0.13,0,0,0,0,0,15.6,-5,28.8,-5,1.30E-01
540,YNR061C,,26.9,-20,26.9,-30,0.46,0,0,0,0,0,26.9,-20,26.9,-30,4.60E-01
541,YNR062C,,23.4,-20,26.9,-30,0.12,0,0,0,0,0,23.4,-20,26.9,-30,1.20E-01
542,YNR063W,,22.4,-5,28.8,-5,0.68,0,0,0,0,0,22.4,-5,28.8,-5,6.80E-01
543,YNR064C,,18.2,-5,28.8,-5,0.33,0,0,0,0,0,18.2,-5,28.8,-5,3.30E-01
544,YNR066C,,14,-5,28.8,-5,0.04,0,0,0,0,0,14,-5,28.8,-5,4.00E-02
545,YNR068C,,12.4,-5,28.8,-5,0.056,0,0,0,0,0,12.4,-5,28.8,-5,5.60E-02
546,YOR008CA,,29.2,-20,26.9,-30,0.19,0,0,0,0,0,29.2,-20,26.9,-30,1.90E-01
547,YOR097C,,30.6,-25,25.3,-25,0.22,0,0,0,0,0,30.6,-25,25.3,-25,2.20E-01
548,YOR105W,,25.3,-25,25.3,-25,0.82,0,0,0,0,0,25.3,-25,25.3,-25,8.20E-01
549,YOR111W,,28.3,-40,25.4,-85,0.23,32.1,-20,31,-40,0.72,29.5,-60,27.2,-125,2.10E-01
550,YOR112W,,25.8,-25,25.3,-25,0.94,0,0,0,0,0,25.8,-25,25.3,-25,9.40E-01
551,YOR114W,,25.8,-5,32.8,-5,0.55,0,0,0,0,0,25.8,-5,32.8,-5,5.50E-01
552,YOR118W,,28.6,-20,25.9,-65,0.6,0,0,0,0,0,28.6,-20,25.9,-65,6.00E-01
553,YOR121C,,21.2,-5,32.8,-5,0.22,0,0,0,0,0,21.2,-5,32.8,-5,2.20E-01
554,YOR129C,,18,-5,32.8,-5,0.13,0,0,0,0,0,18,-5,32.8,-5,1.30E-01
555,YOR131C,,23.7,-10,29.3,-10,0.36,0,0,0,0,0,23.7,-10,29.3,-10,3.60E-01
556,YOR135C,,31,-20,25.4,-65,0.073,29.5,-40,24.8,-40,0.0024,30,-60,25.2,-105,3.20E-04
557,YOR139C,,25.6,-10,29.3,-10,0.5,0,0,0,0,0,25.6,-10,29.3,-10,5.00E-01
558,YOR152C,,21.8,-5,32.8,-5,0.13,0,0,0,0,0,21.8,-5,32.8,-5,1.30E-01
559,YOR154W,,25.6,-5,32.8,-5,0.38,0,0,0,0,0,25.6,-5,32.8,-5,3.80E-01
560,YOR161C,,22.9,-10,29.3,-10,0.16,0,0,0,0,0,22.9,-10,29.3,-10,1.60E-01
561,YOR164C,,22.6,-5,32.8,-5,0.31,0,0,0,0,0,22.6,-5,32.8,-5,3.10E-01
562,YOR166C,,33.7,-25,28.4,-25,0.063,0,0,0,0,0,33.7,-25,28.4,-25,6.30E-02
563,YOR170W,,23.3,-10,29.3,-10,0.21,0,0,0,0,0,23.3,-10,29.3,-10,2.10E-01
564,YOR175C,,22.9,-10,29.3,-10,0.096,0,0,0,0,0,22.9,-10,29.3,-10,9.60E-02
