,ORF,Gene,RLS_Del_alpha,N,BY4742,N.1,p.value,RLS_Del_a,N.2,BY4741,N.3,p.value.1,RLS_Del.pooled,N.4,Pooled,N.5,p.value.2
174,YDR296W,MHR1,23,-5,29,-5,0.46,0,0,0,0,0,23,-5,29,-5,4.60E-01
175,YHR015W,MIP6,20.8,-5,22.4,-5,0.84,0,0,0,0,0,20.8,-5,22.4,-5,8.40E-01
176,YDR245W,MNN10,32.5,-20,25.9,-55,0.11,31.3,-20,27.7,-40,0.13,31.9,-40,26.7,-95,2.20E-02
177,YNR059W,MNT4,23.8,-5,28.8,-5,0.8,0,0,0,0,0,23.8,-5,28.8,-5,8.00E-01
178,YOR177C,MPC54,32.7,-25,28.4,-25,0.16,0,0,0,0,0,32.7,-25,28.4,-25,1.60E-01
179,YGR084C,MRP13,24.6,-5,32.8,-5,0.4,0,0,0,0,0,24.6,-5,32.8,-5,4.00E-01
180,YDR116C,MRPL1,23.5,-10,29.6,-10,0.069,0,0,0,0,0,23.5,-10,29.6,-10,6.90E-02
181,YDR322W,MRPL35,22.4,-5,29,-5,0.41,0,0,0,0,0,22.4,-5,29,-5,4.10E-01
182,YML009C,MRPL39,21.4,-20,26.9,-30,0.032,0,0,0,0,0,21.4,-20,26.9,-30,3.20E-02
183,YDR337W,MRPS28,34.3,-15,29.4,-15,0.33,0,0,0,0,0,34.3,-15,29.4,-15,3.30E-01
184,YKR052C,MRS4,19.1,-20,27.2,-25,0.0033,0,0,0,0,0,19.1,-20,27.2,-25,3.30E-03
185,YHR039C,MSC7,18.6,-5,22.4,-5,0.45,0,0,0,0,0,18.6,-5,22.4,-5,4.50E-01
186,YDR097C,MSH6,30.7,-20,26.2,-30,0.12,0,0,0,0,0,30.7,-20,26.2,-30,1.20E-01
187,YDR335W,MSN5,29.1,-15,29.4,-15,0.82,0,0,0,0,0,29.1,-15,29.4,-15,8.20E-01
188,YDR268W,MSW1,35,-35,26.9,-35,0.0028,30.2,-20,21.3,-20,0.012,33.2,-55,24.8,-55,1.10E-04
189,YDR277C,MTH1,28.9,-30,28.4,-35,0.89,0,0,0,0,0,28.9,-30,28.4,-35,8.90E-01
190,YGR055W,MUP1,24.3,-15,27,-25,0.36,0,0,0,0,0,24.3,-15,27,-25,3.60E-01
191,YHR086W,NAM8,24.9,-25,22.5,-45,0.34,0,0,0,0,0,24.9,-25,22.5,-45,3.40E-01
192,YKR048C,NAP1,24.6,-45,27.2,-45,0.063,0,0,0,0,0,24.6,-45,27.2,-45,6.30E-02
