YAL056W,GPB2,YER151C,UBP3,-0.1829,0.109,3.27E-05
YAL056W,GPB2,YFL033C,RIM15,-0.1279,0.0273,1.66E-04
YAL056W,GPB2,YGR101W,PCP1,-0.2014,0.0349,2.87E-06
YAL056W,GPB2,YGR259C,YGR259C,-0.1677,0.0621,7.22E-03
YAL056W,GPB2,YGR281W,YOR1,-0.4126,0.4697,1.39E-04
YAL056W,GPB2,YHR008C,SOD2,-0.1468,0.0167,1.38E-10
YAL056W,GPB2,YHR021C,RPS27B,-0.1477,0.0132,6.05E-16
YAL056W,GPB2,YHR081W,LRP1,-0.756,0.0513,1.77E-96
YAL056W,GPB2,YHR178W,STB5,-0.1429,0.0568,1.05E-02
YAL056W,GPB2,YKL040C,NFU1,-0.1255,0.0563,2.41E-02
YAL056W,GPB2,YKL009W,MRT4,-0.1601,0.008,1.43E-45
YAL056W,GPB2,YLR367W,RPS22B,-0.2781,0.2912,1.79E-04
YAL056W,GPB2,YML128C,MSC1,-0.1342,0.0606,4.87E-03
YAL056W,GPB2,YNL051W,COG5,-0.233,0.193,5.73E-03
YAL056W,GPB2,YNR067C,DSE4,-0.2393,0.2458,6.15E-03
YAL056W,GPB2,YOL081W,IRA2,-0.5732,0.0253,1.44E-75
YAL056W,GPB2,YOR053W,YOR053W,-0.1298,0.0338,1.40E-03
YAL056W,GPB2,YOR135C,IRC14,-0.1253,0.0451,1.21E-02
YAL056W,GPB2,YOR136W,IDH2,-0.1876,0.0353,1.37E-05
YAL056W,GPB2,YOR371C,GPB1,-0.194,0.0547,8.46E-04
YAL056W,GPB2,YPR191W,QCR2,-0.1648,0.0262,1.28E-06
YAL043C_damp,PTA1_damp,YBL051C,PIN4,-0.2203,0.3732,8.35E-03
YAL043C_damp,PTA1_damp,YBR098W,MMS4,-0.1789,0.2684,2.07E-02
YAL043C_damp,PTA1_damp,YBR131W,CCZ1,-0.2539,0.1015,3.26E-04
YAL043C_damp,PTA1_damp,YBR288C,APM3,-0.1469,0.2435,4.10E-02
YAL043C_damp,PTA1_damp,YCL010C,SGF29,-0.1437,0.0451,3.04E-03
YAL043C_damp,PTA1_damp,YDL104C,QRI7,-0.1751,0.2683,3.02E-02
YAL043C_damp,PTA1_damp,YDL077C,VAM6,-0.2393,0.0429,1.57E-05
YAL043C_damp,PTA1_damp,YDL048C,STP4,-0.1625,0.2352,2.62E-02
YAL043C_damp,PTA1_damp,YDR101C,ARX1,-0.2445,0.3012,1.77E-03
YAL043C_damp,PTA1_damp,YDR259C,YAP6,-0.2744,0.3568,3.53E-04
YAL043C_damp,PTA1_damp,YDR293C,SSD1,-0.1818,0.0155,1.31E-17
YAL043C_damp,PTA1_damp,YFL056C,AAD6,-0.1403,0.2197,3.43E-02
YAL043C_damp,PTA1_damp,YGL255W,ZRT1,-0.1934,0.1162,1.41E-02
YAL043C_damp,PTA1_damp,YGL212W,VAM7,-0.1556,0.0132,1.21E-17
YAL043C_damp,PTA1_damp,YGL156W,AMS1,-0.2653,0.379,1.80E-03
YAL043C_damp,PTA1_damp,YGL016W,KAP122,-0.1686,0.2551,2.71E-02
YAL043C_damp,PTA1_damp,YGR001C,AML1,-0.3346,0.4259,3.61E-05
YAL043C_damp,PTA1_damp,YHR003C,YHR003C,-0.2626,0.3875,7.24E-04
YAL043C_damp,PTA1_damp,YHR129C,ARP1,-0.2536,0.388,2.09E-02
YAL043C_damp,PTA1_damp,YHR138C,YHR138C,-0.2901,0.3843,2.96E-04
YAL043C_damp,PTA1_damp,YIL160C,POT1,-0.1203,0.0118,3.02E-13
YAL043C_damp,PTA1_damp,YIL040W,APQ12,-0.1913,0.3602,2.86E-02
YAL043C_damp,PTA1_damp,YJL178C,ATG27,-0.2236,0.345,9.88E-03
YAL043C_damp,PTA1_damp,YJL043W,YJL043W,-0.2001,0.305,1.58E-02
YAL043C_damp,PTA1_damp,YJR079W,YJR079W,-0.2416,0.3498,6.04E-03
YAL043C_damp,PTA1_damp,YJR120W,YJR120W,-0.1843,0.0224,1.26E-09
YAL043C_damp,PTA1_damp,YKR019C,IRS4,-0.2479,0.3769,1.05E-02
YAL043C_damp,PTA1_damp,YKR031C,SPO14,-0.2064,0.2794,4.45E-02
YAL043C_damp,PTA1_damp,YLR050C,YLR050C,-0.1454,0.0525,1.59E-02
YAL043C_damp,PTA1_damp,YLR057W,YLR057W,-0.1615,0.0357,3.92E-04
YAL043C_damp,PTA1_damp,YLR371W,ROM2,-0.2465,0.2426,2.75E-02
YAL043C_damp,PTA1_damp,YML107C,PML39,-0.1418,0.0743,2.12E-02
YAL043C_damp,PTA1_damp,YMR111C,YMR111C,-0.2829,0.3931,1.13E-03
YAL043C_damp,PTA1_damp,YMR216C,SKY1,-0.1651,0.3157,4.83E-02
YAL043C_damp,PTA1_damp,YNL127W,FAR11,-0.1203,0.0447,1.25E-02
