gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPDGE	YPE	YPL	YPG
DOS2	YDR068W	4	40	4.20140	2.10633	0.07902	1.04554	1.04563	1.10084	1.12456	1.04866
DOA4	YDR069C	4	39	5.32230	2.63466	0.07755	1.01481	1.03122	1.09236	1.09129	1.03340
YDR070C	YDR070C	2	22	3.49054	1.47882	0.08227	1.05237	1.06424	1.12516	1.13464	1.05650
YDR071C	YDR071C	4	44	0.45330	0.11390	0.02398	0.99885	0.99030	0.98486	0.97487	0.97957
IPT1	YDR072C	4	44	1.39994	0.59475	0.03040	1.01030	1.01290	1.01058	1.02001	0.98961
SNF11	YDR073W	3	33	1.30656	0.53069	0.04513	1.02873	1.03768	1.06629	1.07386	1.03844
TPS2	YDR074W	2	22	3.56028	1.50657	0.05187	1.02491	1.01583	1.06740	1.06770	1.01778
pph3	YDR075W	2	22	1.90305	0.78975	0.07256	1.04827	1.06977	1.10662	1.12084	1.06316
rad55	YDR076W	4	44	5.93431	3.02781	0.05965	1.02072	1.04113	1.07444	1.06789	1.01479
SED1	YDR077W	2	18	12.95598	3.41875	0.08519	0.88696	0.85293	0.86246	0.87709	0.93812
YDR078C	YDR078C	2	20	0.77647	0.25192	0.03982	1.02833	1.03022	1.06815	1.03573	1.02842
PET100	YDR079W	4	44	1.41815	0.60495	0.05489	0.99905	1.02600	1.04339	1.05393	1.00974
vps41	YDR080W	4	41	2.72268	1.33104	0.06381	1.04992	1.05489	1.09229	1.09306	1.02925
pdc2	YDR081C	4	44	3.43104	1.74134	0.05460	1.02700	1.03961	1.08117	1.07787	1.02657
STN1	YDR082W	2	22	4.18675	1.74692	0.08292	1.02668	1.03483	1.10960	1.10761	1.06484
YDR083W	YDR083W	4	44	2.45829	1.19711	0.04343	1.01235	1.01937	1.03289	1.03880	0.99536
YDR084C	YDR084C	2	22	2.75477	1.17322	0.05797	1.00172	1.00954	1.05970	1.03263	1.01225
afr1	YDR085C	4	44	8.18925	4.04460	0.11117	0.97690	0.99265	1.08807	1.04368	1.01999
SSS1	YDR086C	1	6	0.00000	0.00000	0.08375	0.90978	0.90057	0.94790	0.90714	0.98432
RRP1	YDR087C	4	44	5.80917	2.96761	0.08219	1.04232	1.04468	1.09750	1.10763	1.02545
SLU7	YDR088C	4	44	2.10750	0.99699	0.03483	0.99488	1.01678	1.02781	1.02970	0.99665
YDR089W	YDR089W	2	22	2.09498	0.87883	0.06801	1.03210	1.03689	1.06207	1.07416	1.00615
YDR090C	YDR090C	0	0								
RLI1	YDR091C	2	22	1.47894	0.58854	0.06467	1.01719	1.03040	1.08186	1.08106	1.04228
UBC13	YDR092W	0	0								
YDR093W	YDR093W	3	33	3.54251	1.69558	0.07317	1.04623	1.06173	1.09613	1.11213	1.03897
YDR094W	YDR094W	4	44	4.92391	2.52956	0.06137	1.02658	1.03658	1.08000	1.07933	1.01863
YDR095C	YDR095C	3	33	2.49452	1.16368	0.05883	1.04949	1.06182	1.09013	1.10477	1.04594
GIS1	YDR096W	3	33	3.65051	1.74833	0.06417	1.02515	1.03651	1.08931	1.08600	1.03797
MSH6	YDR097C	4	44	3.40007	1.72434	0.06423	1.02371	1.03169	1.07264	1.06639	1.00841
GRX3	YDR098C	4	44	3.20619	1.61741	0.04917	1.01312	1.01974	1.03745	1.03351	0.98828
bmh2	YDR099W	4	44	0.88281	0.31493	0.03887	1.02487	1.02419	1.03296	1.03386	0.99498
YDR100W	YDR100W	3	33	0.27034	0.04853	0.03243	0.96656	0.98827	0.99059	0.99119	0.95876
YDR101C	YDR101C	3	33	5.63494	2.64845	0.08250	1.01317	1.04549	1.07532	1.09567	1.03181
YDR102C	YDR102C	3	33	0.80094	0.27079	0.02883	1.02089	1.03192	1.03803	1.04972	1.02263
ste5	YDR103W	4	44	8.84379	4.31757	0.05402	1.01261	1.02246	1.05668	1.06663	1.02096
SPO71	YDR104C	4	44	0.73398	0.24033	0.02949	0.98284	0.99358	0.99559	1.01233	0.98452
YDR105C	YDR105C	2	22	1.57797	0.63596	0.04228	0.99762	1.01119	1.03133	1.03990	1.00922
YDR107C	YDR107C	4	44	3.14591	1.58397	0.05226	1.01147	1.03280	1.05535	1.05820	1.00593
GSG1	YDR108W	3	33	3.68617	1.76567	0.06726	1.02157	1.03802	1.08779	1.08883	1.03157
YDR109C	YDR109C	4	44	2.97969	1.49133	0.05067	1.01654	1.02794	1.05687	1.05115	1.00620
FOB1	YDR110W	3	33	0.76688	0.25426	0.04402	1.01526	1.01436	1.03065	1.00869	0.98663
YDR111C	YDR111C	2	22	2.80852	1.19635	0.09180	1.06272	1.06920	1.12361	1.12130	1.03181
YDR112W	YDR112W	3	33	2.95020	1.39927	0.07720	1.03935	1.04754	1.11055	1.10284	1.03335
PDS1	YDR113C	2	22	1.20054	0.45460	0.03147	0.97950	0.98851	1.00093	1.01097	1.00554
YDR114C	YDR114C	4	44	1.05936	0.40769	0.04125	1.02732	1.01903	1.05770	1.05174	1.01645
YDR115W	YDR115W	4	44	3.25273	1.64316	0.05590	1.03697	1.02689	1.04127	1.04784	0.99194
YDR116C	YDR116C	4	40	3.68927	1.84293	0.08123	1.00789	1.00319	0.97426	0.92666	0.96456
YDR117C	YDR117C	2	22	0.18748	0.02629	0.01822	1.00027	1.00753	0.98930	1.00453	1.00387
APC4	YDR118W	4	44	5.33895	2.73762	0.08118	1.05901	1.06307	1.12551	1.12109	1.04433
YDR119W	YDR119W	4	44	1.23057	0.50071	0.04711	1.02684	1.02757	1.05027	1.05572	1.00861
TRM1	YDR120C	4	44	1.50579	0.65422	0.02504	1.00167	1.02077	1.02671	1.01888	1.00841
DPB4	YDR121W	4	44	3.82988	1.95794	0.06527	1.03391	1.04175	1.09917	1.09763	1.04140
KIN1	YDR122W	3	33	0.41310	0.09826	0.04363	1.00053	0.99372	1.00584	1.00254	0.96221
INO2	YDR123C	3	33	2.42384	1.12660	0.05752	1.01014	1.00700	1.05053	1.03120	0.99301
YDR124W	YDR124W	4	40	0.20030	0.02860	0.01625	0.99846	0.99946	1.01046	1.01441	1.01471
ECM18	YDR125C	3	33	1.59794	0.68631	0.04334	1.00986	1.01324	1.03458	1.03307	0.99125
YDR126W	YDR126W	2	22	1.36866	0.53554	0.07564	1.04755	1.05279	1.08516	1.08889	1.01325
aro1	YDR127W	2	22	1.40990	0.55537	0.08210	1.05826	1.06509	1.11436	1.10978	1.03226
YDR128W	YDR128W	4	44	0.77553	0.26075	0.03394	1.03710	1.04007	1.06802	1.07104	1.03835
sac6	YDR129C	2	22	3.51145	1.48716	0.10022	1.04035	1.03273	1.09719	1.13294	1.06543
FIN1	YDR130C	2	22	2.32892	0.98538	0.07237	1.03569	1.03955	1.06729	1.09120	1.01883
YDR131C	YDR131C	4	44	2.14072	1.01598	0.04334	1.03252	1.04309	1.06876	1.06941	1.02607
YDR132C	YDR132C	4	44	2.14891	1.02066	0.04779	1.02192	1.02503	1.06376	1.06969	1.02190
YDR133C	YDR133C	2	22	0.65536	0.19917	0.02742	0.99179	1.00051	1.01448	1.01692	0.98950
YDR134C	YDR134C	4	44	0.33840	0.07049	0.01887	1.00379	1.00650	0.99609	0.99488	0.98763
YCF1	YDR135C	4	44	2.48395	1.21170	0.04394	1.00805	1.02161	1.03813	1.04292	0.99898
YDR136C	YDR136C	4	44	0.96858	0.35951	0.03106	1.02023	1.02596	1.04455	1.03825	1.01349
rgp1	YDR137W	4	44	1.96365	0.91474	0.05027	1.05520	1.05172	1.08775	1.09310	1.04283
hpr1	YDR138W	3	30	2.32124	1.05216	0.06675	1.04859	1.06095	1.11535	1.10588	1.05691
RUB1	YDR139C	4	43	6.03002	3.05233	0.09756	1.03140	1.03867	1.09710	1.12895	1.05952
YDR140W	YDR140W	2	22	0.51268	0.13817	0.06089	1.06013	1.06990	1.04005	1.08588	1.02500
DOP1	YDR141C	2	22	7.04100	2.67234	0.04432	1.01062	1.00220	1.04082	1.04653	1.02782
PEX7	YDR142C	4	44	0.86483	0.30572	0.04537	1.04845	1.04583	1.06294	1.07378	1.02842
san1	YDR143C	4	37	1.32525	0.54518	0.06618	1.04861	1.03119	1.08210	1.09737	1.05424
MKC7	YDR144C	4	44	0.99703	0.37451	0.04650	1.05098	1.04722	1.04248	1.06718	1.02068
TAF61	YDR145W	3	33	5.54067	2.60852	0.08183	1.02027	1.01956	1.09637	1.10139	1.04269
swi5	YDR146C	4	44	0.28268	0.05197	0.01903	1.01757	1.00358	0.99957	1.01860	1.00682
EKI1	YDR147W	0	0								
KGD2	YDR148C	3	33	9.61498	4.12373	0.09832	1.01082	1.00029	1.09861	1.07909	1.04387
YDR149C	YDR149C	4	44	1.90708	0.88241	0.04687	1.03071	1.03114	1.05588	1.06986	1.02299
NUM1	YDR150W	4	44	1.50228	0.65224	0.03455	1.02715	1.01947	1.00735	1.03948	1.00493
CTH1	YDR151C	4	44	2.88939	1.44075	0.04055	1.00611	1.00653	1.01628	1.04666	1.01953
YDR152W	YDR152W	4	36	1.34958	0.55684	0.03151	0.98584	0.99555	0.97444	0.96891	1.00042
YDR153C	YDR153C	2	22	1.22363	0.46571	0.04946	1.05295	1.04770	1.08774	1.09716	1.04989
YDR154C	YDR154C	2	22	0.95297	0.33620	0.02447	1.01353	1.01482	1.01337	1.02715	1.00268
CPH1	YDR155C	0	0								
RPA14	YDR156W	3	33	1.25952	0.50578	0.03667	1.03285	1.00839	0.99683	1.03350	0.99876
YDR157W	YDR157W	2	22	11.25371	3.69504	0.15076	0.98841	0.97498	1.12574	1.02570	1.02832
hom2	YDR158W	2	21	2.07718	0.85927	0.06649	1.01689	1.03060	1.04854	1.08338	1.02025
sac3	YDR159W	4	44	0.64842	0.19945	0.02399	0.99960	0.99760	0.98927	1.01307	1.01327
SSY1	YDR160W	2	22	1.36873	0.53557	0.02188	0.98881	0.98346	0.96693	0.97569	0.98229
TCI1	YDR161W	4	44	6.99137	3.51998	0.06040	1.00742	1.02492	1.05858	1.06782	1.01000
NBP2	YDR162C	4	43	0.20291	0.02918	0.02029	1.00678	1.01326	1.00400	1.00419	0.99297
YDR163W	YDR163W	3	33	3.36571	1.60837	0.05404	0.98370	0.99878	1.01586	1.03775	1.01933
sec1	YDR164C	4	42	0.23393	0.03751	0.02043	0.97587	0.98693	0.98141	0.99321	0.97278
YDR165W	YDR165W	2	21	2.00673	0.82744	0.05432	1.05314	1.05469	1.04845	1.08375	1.02943
sec5	YDR166C	2	22	1.05088	0.38279	0.05051	1.03529	1.03018	1.07164	1.08069	1.03253
TAF25	YDR167W	2	22	2.54517	1.08177	0.05493	1.01261	1.03756	1.03499	1.05656	1.00163
cdc37	YDR168W	4	44	0.71740	0.23227	0.02858	0.97585	0.98961	0.98637	0.99305	0.96447
STB3	YDR169C	4	44	4.56515	2.34582	0.05589	1.01835	1.01722	1.05506	1.05029	0.99917
sec7	YDR170C	4	36	3.89312	1.89618	0.04608	1.01439	1.01597	1.02498	1.02919	0.98310
HSP42	YDR171W	2	22	1.90261	0.78955	0.06447	1.03896	1.03438	1.09415	1.09107	1.02968
sup35	YDR172W	4	44	0.46537	0.11881	0.02433	1.01137	0.99441	1.00124	1.01874	0.99520
arg82	YDR173C	2	22	2.36871	1.00327	0.03892	1.01439	1.03256	1.00796	1.03129	0.99365
HMO1	YDR174W	4	44	5.90131	3.01197	0.08044	1.04736	1.04438	1.09637	1.10535	1.02491
RSM24	YDR175C	4	42	27.72433	9.41516	0.10430	0.98851	0.96638	0.88421	0.89134	0.89673
NGG1	YDR176W	3	33	0.54030	0.15025	0.03264	0.97265	0.99196	0.99249	1.00528	0.99868
ubc1	YDR177W	3	33	0.03834	0.00130	0.00753	0.99456	0.98811	0.98810	0.99362	0.99563
SDH4	YDR178W	4	44	8.57433	4.20631	0.09288	1.03251	1.03641	1.10151	1.12538	1.04107
YDR179C	YDR179C	1	11	1.32367	0.42507	0.12638	1.07013	1.10130	1.16162	1.19651	1.08147
YDR179W-A	YDR179W-A	2	22	1.42016	0.56031	0.04691	0.99154	0.97680	0.94463	0.95263	0.95400
SCC2	YDR180W	4	44	0.95372	0.35171	0.03628	1.01824	1.02199	1.02923	1.02109	0.99294
SAS4	YDR181C	3	33	10.24978	4.32722	0.07568	1.02276	1.02168	1.08871	1.09736	1.03424
CDC1	YDR182W	2	22	0.50284	0.13414	0.03619	1.01586	1.01888	1.03367	1.02049	0.99748
PLP1	YDR183W	2	22	0.84810	0.28692	0.03510	1.02875	1.03522	1.04069	1.03781	1.00560
ATC1	YDR184C	2	22	4.48775	1.85697	0.06697	0.96307	0.99741	1.01543	1.03004	1.02147
YDR185C	YDR185C	2	22	1.12310	0.41738	0.04035	1.01757	1.01509	0.98394	0.99651	0.97722
YDR186C	YDR186C	2	22	1.51319	0.60496	0.04952	1.04464	1.03363	1.06913	1.06799	1.01960
YDR187C	YDR187C	2	22	6.11025	2.39706	0.08486	0.94762	0.98146	1.03248	1.03221	0.98733
CCT6	YDR188W	1	11	10.18618	1.89466	0.14518	0.97360	1.00880	1.10818	1.11878	1.06536
SLY1	YDR189W	4	44	4.64371	2.38636	0.05564	1.02577	1.03606	1.08140	1.08135	1.03587
RVB1	YDR190C	2	22	2.13238	0.89601	0.05622	1.00471	1.00385	1.04844	1.05211	0.99589
HST4	YDR191W	2	22	5.49545	2.20220	0.08863	1.05355	1.06560	1.14218	1.13811	1.05872
NUP42	YDR192C	4	44	1.52071	0.66264	0.03407	1.02104	1.03326	1.03513	1.03493	1.00106
YDR193W	YDR193W	2	22	2.53957	1.07930	0.04694	0.99500	0.97300	0.95199	0.94807	0.96234
MSS116	YDR194C	4	44	24.53593	9.01142	0.11016	0.99444	0.96589	0.88429	0.90690	0.89784
REF2	YDR195W	3	33	1.58543	0.67960	0.04044	0.96451	0.97296	0.93357	0.94877	0.97401
YDR196C	YDR196C	4	44	1.76537	0.80151	0.04588	1.04083	1.03391	1.05627	1.05538	1.01039
CBS2	YDR197W	2	22	0.70449	0.22107	0.02617	0.99053	0.98650	0.97552	0.97865	0.96436
YDR198C	YDR198C	2	22	2.21648	0.93445	0.05004	1.04402	1.05830	1.09156	1.09406	1.04767
YDR199W	YDR199W	2	22	5.63006	2.24582	0.10407	1.04791	1.05235	1.15197	1.14717	1.07233
YDR200C	YDR200C	2	22	2.95536	1.25890	0.06077	1.02986	1.03074	1.07099	1.06877	1.01022
SPC19	YDR201W	4	44	0.67899	0.21385	0.02410	1.02303	1.02345	1.00091	1.01497	0.99935
RAV2	YDR202C	4	44	2.75315	1.36412	0.07032	1.05545	1.05164	1.08489	1.08100	1.01456
YDR203W	YDR203W	2	22	0.41914	0.10108	0.02353	0.99440	0.99521	1.00796	0.99753	0.98443
COQ4	YDR204W	2	22	1.25305	0.47987	0.03084	1.00391	0.99810	1.02408	1.02894	1.00029
MSC2	YDR205W	4	44	2.84894	1.41804	0.05982	1.02286	1.02751	1.04034	1.05291	0.99309
EBS1	YDR206W	2	22	4.50143	1.86189	0.09141	1.03125	1.02107	1.09817	1.11248	1.03263
UME6	YDR207C	4	44	2.40131	1.16469	0.04130	1.01001	1.01515	1.04443	1.05002	1.00872
MSS4	YDR208W	4	44	2.96927	1.48551	0.03192	0.98571	0.97973	0.95380	0.96442	0.96133
YDR209C	YDR209C	4	44	0.22595	0.03525	0.01774	1.00135	0.98691	0.98361	0.99594	0.98980
YDR210W	YDR210W	2	22	1.80108	0.74187	0.04304	0.97531	0.95550	0.93227	0.94591	0.96595
GCD6	YDR211W	2	21	1.02365	0.36765	0.09044	1.02899	1.03025	0.96893	1.05937	1.03723
tcp1	YDR212W	4	43	2.20658	1.05038	0.07131	0.92521	0.95743	0.95007	0.99652	0.98059
UPC2	YDR213W	4	44	0.92527	0.33687	0.02937	1.01084	1.00587	0.98488	1.01425	0.99613
YDR214W	YDR214W	2	22	1.29974	0.50235	0.03339	1.01208	1.01112	0.99948	1.00453	0.97869
YDR215C	YDR215C	4	43	1.41684	0.60308	0.04475	1.01420	1.01309	1.00945	1.05420	1.01472
adr1	YDR216W	3	33	8.27976	3.67001	0.08713	1.01896	1.02672	1.10152	1.10609	1.05980
rad9	YDR217C	2	22	0.83416	0.28043	0.05146	0.86271	0.85946	0.87824	0.89567	0.91092
SPR28	YDR218C	4	44	1.07386	0.41547	0.01938	1.00915	1.00182	0.98977	0.99715	0.99328
YDR219C	YDR219C	2	22	5.17599	2.09641	0.06882	0.97330	0.96321	0.90448	0.91747	0.95948
YDR220C	YDR220C	4	44	5.17264	2.65483	0.06201	1.01740	0.99539	0.95539	0.98807	0.99582
YDR221W	YDR221W	3	33	0.82773	0.28391	0.04030	1.02479	1.01539	1.01171	1.05201	1.01913
YDR222W	YDR222W	4	44	1.07435	0.41573	0.04226	1.00912	1.00031	1.02120	1.03824	0.99598
YDR223W	YDR223W	2	22	2.01998	0.84419	0.05342	0.97769	0.95416	0.92427	0.95761	0.97599
HTB1	YDR224C	4	44	1.88843	0.87175	0.02341	1.00743	0.99935	0.98402	1.00228	0.98686
HTA1	YDR225W	2	22	3.54045	1.49870	0.03417	0.98898	0.97594	0.96180	0.95481	0.97875
adk1	YDR226W	2	22	1.55515	0.62504	0.04827	1.03877	1.03561	1.06653	1.08388	1.03854
sir4	YDR227W	2	22	2.82329	1.20269	0.03396	1.01261	0.99791	0.98353	1.01003	0.97864
PCF11	YDR228C	4	44	1.04084	0.39778	0.02908	0.99701	0.98905	0.96815	0.98985	0.96793
YDR229W	YDR229W	4	44	2.81648	1.39979	0.04021	0.99668	0.97555	0.95647	0.96558	0.96834
YDR230W	YDR230W	4	44	2.22625	1.06485	0.03007	1.00166	0.99945	1.00249	1.01364	0.98358
COX20	YDR231C	4	44	7.34255	3.67729	0.06681	1.02690	1.02745	1.07725	1.08174	1.01493
hem1	YDR232W	4	44	10.51023	4.97320	0.07059	0.98477	0.95897	0.91418	0.93465	0.96477
YDR233C	YDR233C	4	44	2.29586	1.10458	0.02793	0.99029	0.99382	0.97684	0.97737	0.96588
lys4	YDR234W	2	22	6.23428	2.43506	0.09162	1.04323	1.04379	1.13485	1.13300	1.06011
PRP42	YDR235W	4	44	2.32926	1.12363	0.03463	1.00648	0.99520	1.01524	1.01651	0.98189
FMN1	YDR236C	2	22	1.97867	0.82502	0.04430	1.00094	0.99223	1.02257	1.02416	0.97986
MRPL7	YDR237W	2	22	9.88660	3.39634	0.09761	0.97491	0.94207	0.88473	0.90354	0.87731
sec26	YDR238C	4	44	2.50164	1.22175	0.05259	1.01653	1.01868	0.96609	1.00034	1.01462
YDR239C	YDR239C	4	44	0.07423	0.00456	0.01123	1.00428	1.00632	0.99826	1.00553	0.99509
SNU56	YDR240C	2	22	2.51797	1.06976	0.07455	1.03407	1.01996	1.05077	1.07298	0.99843
BUD26	YDR241W	3	33	2.48955	1.16108	0.02930	0.98993	0.97081	0.99107	0.97086	0.96176
AMD2	YDR242W	3	33	0.44251	0.10974	0.02598	0.99683	0.97086	0.98358	0.98582	0.97395
prp28	YDR243C	4	44	1.43736	0.61572	0.01950	0.98256	0.96355	0.96945	0.98109	0.98305
PEX5	YDR244W	4	44	4.49747	2.31075	0.05433	1.02273	1.01744	1.05666	1.07177	1.02522
MNN10	YDR245W	2	22	0.59478	0.17273	0.03536	0.98327	0.95648	0.98904	0.97793	0.99184
TRS23	YDR246W	2	22	2.21914	0.93566	0.02102	0.96463	0.97291	0.96469	0.97755	0.98564
YDR247W	YDR247W	4	44	2.19842	1.04895	0.03744	0.99068	0.98111	0.95324	0.96976	0.97699
YDR248C	YDR248C	2	22	1.77883	0.73138	0.04188	0.97519	1.00310	0.96122	0.97273	0.98722
YDR249C	YDR249C	3	33	0.80185	0.27123	0.01774	0.97950	0.96854	0.97376	0.98625	0.98628
YDR250C	YDR250C	4	44	0.76686	0.25646	0.02301	0.99755	0.97454	0.97707	0.98652	0.98467
pam1	YDR251W	4	44	0.85672	0.30158	0.02699	1.01208	1.00611	1.03310	1.03052	1.00787
BTT1	YDR252W	4	44	0.31700	0.06315	0.01835	0.99311	0.98508	0.98567	1.00343	0.99335
MET32	YDR253C	4	44	2.78480	1.38195	0.03641	0.99081	0.98950	1.01657	1.02591	1.01432
CHL4	YDR254W	4	44	0.79975	0.27281	0.01753	0.96645	0.96305	0.97264	0.96839	0.98058
YDR255C	YDR255C	3	32	7.63855	3.39174	0.07082	0.98274	0.97101	1.04183	1.01481	1.02355
CTA1	YDR256C	4	44	1.48114	0.64033	0.03742	0.98399	0.97054	0.94656	0.96800	0.97412
RMS1	YDR257C	4	44	1.12707	0.44418	0.02833	0.94617	0.96449	0.97448	0.97295	0.97450
HSP78	YDR258C	4	44	1.06355	0.40993	0.02771	0.97976	0.98461	0.95998	0.97488	0.98769
YAP6	YDR259C	4	44	2.06776	0.97427	0.02069	0.99604	0.98953	0.97534	0.97808	0.99277
SWM1	YDR260C	2	22	0.68576	0.21268	0.02367	0.98815	1.00574	0.98207	0.99434	0.99331
exg2	YDR261C	3	33	0.37049	0.08230	0.01571	0.99189	0.98985	0.99756	1.00556	0.99739
YDR262W	YDR262W	4	44	1.49766	0.64964	0.02233	1.00364	0.99663	1.01896	1.01565	1.00128
DIN7	YDR263C	4	41	2.82067	1.38507	0.05818	1.02245	1.01717	1.07535	1.06625	1.04373
AKR1	YDR264C	4	44	1.27470	0.52505	0.02886	1.00533	1.00230	1.01824	1.02528	0.99643
PEX10	YDR265W	2	22	4.70761	1.93525	0.09476	0.98762	0.96574	0.89286	0.92988	0.97023
YDR266C	YDR266C	3	33	1.37306	0.56603	0.06483	1.00794	0.98868	1.05351	1.03162	1.00644
YDR267C	YDR267C	4	44	0.39879	0.09252	0.02102	0.99804	0.99377	0.97702	0.98256	0.99364
MSW1	YDR268W	2	22	2.47585	1.05109	0.03084	1.01081	0.99836	0.98147	0.99447	0.97997
YDR269C	YDR269C	2	22	2.57236	1.09374	0.03656	0.98138	0.97329	0.95544	0.97427	0.94482
CCC2	YDR270W	2	22	0.93024	0.32546	0.03970	1.00673	1.00557	0.96703	0.99035	0.98125
YDR271C	YDR271C	3	33	0.65781	0.20274	0.02704	0.97042	0.96924	0.94338	0.95772	0.94956
GLO2	YDR272W	2	22	1.46074	0.57980	0.02787	1.01328	1.00557	1.00461	1.02287	0.99500
YDR273W	YDR273W	2	22	2.93027	1.24828	0.04579	0.99903	0.99732	1.03119	1.01257	0.98540
YDR274C	YDR274C	2	22	1.01802	0.36710	0.02819	0.99964	0.98920	0.97780	0.99481	0.97145
YDR275W	YDR275W	4	43	1.08687	0.42192	0.02651	0.99696	0.98803	0.97596	0.97045	0.99308
PMP3	YDR276C	4	44	4.45136	2.28678	0.03781	1.01697	1.01038	1.04651	1.04819	1.02091
MTH1	YDR277C	4	44	1.70413	0.76664	0.03437	1.00756	1.00131	1.03568	1.03120	1.00986
YDR278C	YDR278C	4	44	0.97628	0.36356	0.03316	1.00070	0.97170	0.96918	0.96754	0.98071
YDR279W	YDR279W	2	22	0.98465	0.35123	0.02628	0.98330	0.98512	0.97596	1.00224	0.97870
RRP45	YDR280W	4	44	4.80998	2.47161	0.07655	0.90224	0.91680	0.97721	0.97879	0.97808
PHM6	YDR281C	2	22	0.71166	0.22430	0.02120	1.02681	1.01264	1.03384	1.03145	1.01808
YDR282C	YDR282C	2	22	1.47949	0.58880	0.04718	0.97867	0.96895	0.93149	0.96503	0.97483
gcn2	YDR283C	2	22	2.45291	1.04090	0.06417	0.90548	0.91959	0.94125	0.90729	0.96965
DPP1	YDR284C	2	22	0.51454	0.13893	0.02870	0.95626	0.95292	0.97496	0.96976	0.98161
ZIP1	YDR285W	4	44	0.82563	0.28581	0.02541	0.98192	0.97302	0.96077	0.98379	0.98617
YDR286C	YDR286C	4	40	0.48669	0.12763	0.02308	0.97773	0.97461	0.95465	0.96464	0.96915
YDR287W	YDR287W	2	22	0.75180	0.24250	0.01940	0.99267	0.98501	0.97969	0.98554	0.97327
YDR288W	YDR288W	4	44	0.21346	0.03189	0.01354	0.96429	0.95580	0.96752	0.96641	0.96934
rtt103	YDR289C	2	22	1.95254	0.81286	0.02481	0.99286	1.00210	0.98650	0.99968	0.97729
YDR290W	YDR290W	2	22	0.48563	0.12716	0.02415	1.00310	0.99070	0.97895	0.98191	0.98872
YDR291W	YDR291W	4	44	0.11183	0.00986	0.01966	1.00590	0.99902	1.00805	1.01679	0.99713
SRP101	YDR292C	4	44	0.96573	0.35801	0.02333	0.98038	0.96297	0.95705	0.96449	0.97457
ssd1	YDR293C	2	22	1.02077	0.36842	0.05763	0.96711	0.96366	0.95220	0.97052	1.00983
DPL1	YDR294C	4	44	0.69974	0.22376	0.02774	1.02473	1.01836	1.03228	1.04303	1.01529
PLO2	YDR295C	3	33	4.30262	2.05841	0.05902	0.97190	0.96265	0.91287	0.93843	0.96141
MHR1	YDR296W	4	44	1.62669	0.72262	0.03931	0.98944	0.97727	0.95014	0.96543	0.98294
SUR2	YDR297W	2	22	2.02832	0.84805	0.06553	0.97212	0.97772	0.91219	0.94650	0.96527
ATP5	YDR298C	4	44	2.31452	1.11522	0.04155	0.98882	0.98851	0.94726	0.97732	0.98172
BFR2	YDR299W	4	44	4.88004	2.50729	0.05009	1.00785	1.01591	1.05076	1.05794	1.02492
pro1	YDR300C	2	22	15.40557	4.46491	0.13309	0.98091	1.00441	1.06025	1.11400	1.04397
CFT1	YDR301W	2	22	3.40083	1.44282	0.05631	1.03698	1.03934	1.06136	1.08041	1.02410
GPI11	YDR302W	3	33	1.76773	0.77742	0.02861	0.99652	0.99429	1.01634	1.02290	1.01566
RSC3	YDR303C	2	22	3.21886	1.36874	0.04717	1.01517	1.00414	1.03297	1.05131	1.00453
CYP5	YDR304C	4	44	0.79778	0.27182	0.03348	1.00530	1.00416	1.01873	1.03742	1.00394
HNT2	YDR305C	2	22	1.13924	0.42513	0.04454	0.96346	0.96705	0.92251	0.94714	0.96201
YDR306C	YDR306C	4	44	0.55460	0.15678	0.01890	1.00121	0.99702	1.00111	1.00614	0.98724
YDR307W	YDR307W	4	44	3.21606	1.62287	0.03398	1.02124	1.01202	1.02548	1.03473	1.00075
SRB7	YDR308C	2	22	3.60994	1.52620	0.04016	0.99579	1.02597	0.98581	1.02208	0.99462
GIC2	YDR309C	4	44	0.30668	0.05971	0.02552	0.98847	0.99360	0.98143	1.00696	0.99174
SUM1	YDR310C	4	44	1.47835	0.63876	0.01952	1.00747	1.00579	1.02329	1.02320	1.00377
TFB1	YDR311W	4	44	0.68352	0.21601	0.03642	0.96273	0.95210	0.93694	0.95718	0.97337
SSF2	YDR312W	4	43	2.37844	1.14786	0.03752	0.95314	0.98080	0.96883	0.98348	0.99066
PIB1	YDR313C	2	22	3.12910	1.33167	0.06496	1.00175	0.97338	0.93679	0.93882	0.96666
YDR314C	YDR314C	4	43	5.57304	2.83417	0.08176	0.94696	0.99623	0.96667	0.99806	1.02872
IPK1	YDR315C	0	0								
YDR316W	YDR316W	2	22	2.60734	1.10910	0.04861	1.00865	0.98852	0.96004	0.97095	0.98515
YDR317W	YDR317W	2	22	0.78514	0.25777	0.03010	0.95676	0.96633	0.93623	0.95176	0.96480
MCM21	YDR318W	2	22	1.94150	0.80771	0.04390	0.94747	0.97377	0.92988	0.95663	0.96872
YDR319C	YDR319C	4	44	1.20444	0.48636	0.04015	0.95144	0.96363	0.92986	0.95360	0.97001
SWA2	YDR320C	4	44	0.16763	0.02071	0.00913	0.98240	0.97875	0.97396	0.98020	0.97327
asp1	YDR321W	4	44	2.63081	1.29500	0.03776	0.96918	0.97126	0.93597	0.96029	0.97373
MRPL35	YDR322W	3	33	13.68842	5.31619	0.10569	0.95710	0.93424	0.86239	0.85140	0.91243
pep7	YDR323C	3	33	0.81415	0.27725	0.03111	0.95829	0.96887	0.94771	0.94618	0.97729
