gene	orf	no. of probes	measurments	F-statistic	-log(p-value)	difference	YPD	YPDGE	YPE	YPL	YPG
YAL048C	YAL048C	2	22	5.27646	2.13003	0.05815	0.99278	1.00016	0.98668	0.96382	1.02196
YAL049C	YAL049C	0	0								
OAF1	YAL051W	2	22	0.87159	0.29789	0.04559	1.04410	1.05238	1.08423	1.05470	1.03865
YAL053W	YAL053W	2	22	1.25822	0.48236	0.02809	0.99378	1.00584	1.00252	0.97776	0.98811
acs1	YAL054C	4	44	2.26314	1.08591	0.05095	1.01478	1.00420	1.02329	1.03520	0.98425
PEX22	YAL055W	2	22	0.36522	0.08114	0.03475	1.04589	1.05260	1.07688	1.05686	1.04214
GPE2	YAL056W	2	18	0.55714	0.15588	0.06163	1.03818	1.03780	1.09942	1.04800	1.05265
YAL058C-A	YAL058C-A	4	44	3.22276	1.62658	0.05510	1.00416	0.98276	1.02355	1.03786	0.99164
CNE1	YAL058W	2	21	1.52920	0.60669	0.06217	1.02370	1.03796	1.08302	1.02085	1.04444
ECM1	YAL059W	2	22	2.40402	1.01909	0.07218	0.97204	0.97599	0.94778	0.93238	1.00456
YAL060W	YAL060W	2	22	0.59528	0.17295	0.02971	1.02299	1.03169	1.04634	1.01663	1.02946
YAL061W	YAL061W	2	22	0.77874	0.25482	0.05242	1.05727	1.06349	1.10969	1.08610	1.05857
GDH3	YAL062W	2	22	0.95823	0.33870	0.05637	1.05499	1.05674	1.10047	1.07160	1.04411
YAL064C-A	YAL064C-A	3	33	2.45069	1.14070	0.04867	0.98495	1.01372	0.99802	0.96505	1.00823
YAL065C	YAL065C	2	22	1.04715	0.38101	0.04052	0.98584	0.98354	0.97199	0.95869	0.99921
YAL066W	YAL066W	2	22	2.94061	1.25266	0.08035	1.04567	1.05788	1.11668	1.12602	1.08073
SEO1	YAL067C	2	20	4.72571	1.84840	0.05630	0.99426	1.00080	1.05056	1.00224	1.03682
YAL068C	YAL068C	2	22	1.91903	0.79722	0.02952	1.00349	1.00216	1.01431	0.98479	1.01399
ERP1	YAR002C-A	4	44	4.65497	2.39216	0.06846	1.04892	1.05516	1.11412	1.09914	1.04566
NUP60	YAR002W	2	22	1.95866	0.81571	0.06605	0.88477	0.87463	0.89911	0.92499	0.94068
YAR003W	YAR003W	2	22	1.45309	0.57612	0.07252	1.04329	1.04693	1.08968	1.06033	1.01716
RFA1	YAR007C	2	22	1.18194	0.44565	0.02509	1.00444	1.00364	1.00655	0.98146	0.99652
