M2-8.011705	M2-8.020105	M2-8.merged
5	14	5
5	14	5
10	14	10
10	15	10
12	15	12
12	16	12
15	16	15
15	17	15
16	17	16
16	17	16
17	18	17
17	20	17
17	22	17
18	22	18
18	22	18
18	23	18
19	23	19
19	23	19
21	24	21
21	24	21
22	24	22
22	24	22
22	24	22
22	24	22
22	25	22
22	25	22
23	25	23
23	26	23
24	26	24
25	27	25
26	27	26
26	27	26
27	28	27
27	28	27
28	28	28
28	29	28
29	29	29
29	29	29
31	29	31
31	29	31
32	30	32
32	30	32
32	30	32
32	31	32
33	32	33
34	33	34
35	35	35
37	37	37
37	40	37
38	NA	38
39	NA	39
40	NA	40
40	NA	40
42	NA	42
42	NA	42
43	NA	43
	14
	14
	14
	15
	15
	16
	16
	17
	17
	17
	18
	20
	22
	22
	22
	23
	23
	23
	24
	24
	24
	24
	24
	24
	25
	25
	25
	26
	26
	27
	27
	27
	28
	28
	28
	29
	29
	29
	29
	29
	30
	30
	30
	31
	32
	33
	35
	37
	40
