"I.mle"	"I.0"	"G.mle"	"G.0"	"lh.max"
0.00366803297623522	0.00280002517269864	0.125874186363756	0.147221270600884	-366.982854168958
0.00491022885674096	0.00386632193444171	0.112876991338536	0.134377370641114	-372.827717285941
0.00259460288616653	0.00218033855980381	0.132180218948437	0.146866909942707	-366.264855077185
0.00508439472416765	0.00513575224663399	0.110487126606782	0.116917594292891	-377.427196934337
0.00514799274720356	0.00485659693132411	0.109872713724215	0.120079468551055	-376.871697505907
0.00526262613246993	0.00598025696871583	0.100780579990003	0.100279184069655	-386.282455840092
0.00335101414884738	0.00232709315892179	0.134592158929994	0.160228760630945	-360.790125309282
0.00498914135665015	0.00509096056801036	0.107887660858433	0.112382980060867	-379.836222526880
0.00518219811464108	0.00370157008188648	0.116900873282506	0.141698028221219	-370.277004204382
0.00306219201516369	0.00185587394858406	0.128273377313324	0.158362194213980	-368.067583710557
0.00398747761275478	0.00274998456052054	0.128428610021121	0.155671042449843	-363.355047357082
0.00503716370487302	0.00423291067636388	0.115717186360946	0.133008260184996	-370.803472564948
0.00430052781140500	0.00325797561470075	0.112886630741003	0.134388846120242	-376.43622012038
0.00509600509762879	0.00389008022719755	0.107141742745976	0.129868779086032	-378.542224078554
0.00424573424304274	0.00362883268636132	0.117129822993086	0.132350082478063	-371.943511171634
0.00370273440266222	0.00385701500277314	0.123427429035414	0.126592234908117	-370.321901604026
0.00329770667778027	0.00221322595824179	0.132036115780315	0.160043776703413	-361.97292843063
0.00402323003238315	0.00307116796365126	0.118362443534899	0.140907670874880	-372.673095173244
0.00417896363810726	0.00464329293123029	0.125643097938464	0.126912220139863	-366.68269036842
0.00337327015857268	0.00278782657733279	0.124719836415093	0.140926368830614	-368.202508119737
0.00531271488388583	0.00603717600441572	0.112199501183349	0.111641294709800	-374.799493702706
0.00445435333478221	0.00383995977136397	0.121907241195086	0.135452490216762	-369.266223399222
0.00461066884067245	0.00390734647514614	0.107965611042217	0.124098403496801	-378.840909852325
0.00343424354164582	0.00336690543298609	0.121028953802385	0.128072966986651	-372.717183839524
0.00418030072123613	0.00248827423883103	0.116355533293083	0.149173760632158	-372.581811395101
0.00347608742766925	0.00324867983894322	0.128200204136156	0.137849681866834	-366.5302394371
0.00311253207401768	0.00293635101322422	0.126796477010550	0.138575384710984	-367.962646093588
0.00497201795539941	0.00436141925912229	0.109744799790642	0.124005423492251	-376.938239169401
0.00415751838614307	0.00335283740817990	0.115715395234499	0.133006201418964	-374.927793105142
0.00596344288519946	0.00523109025017496	0.108468868586154	0.122563693317688	-375.956829374475
0.00359294099298911	0.00278522557596055	0.120385650986708	0.140801930978605	-370.938179775324
0.00417991860390443	0.00469653775719599	0.114152277801857	0.113584356021748	-377.668404684807
0.00508938516089207	0.00438740100076903	0.106826239344622	0.122788780855888	-379.934370158778
0.00378145611168497	0.00450173346629163	0.120678537585274	0.118312291750269	-372.556699326205
0.00463881992317999	0.00365261411274015	0.118915589548420	0.139082560875346	-369.742863932262
0.00246421743252943	0.00226074993810040	0.134850148015673	0.145000159156637	-363.612616476645
0.00306418581638804	0.00281117964806242	0.133143820687731	0.145512372336318	-363.119240452225
0.00443131013195411	0.00340870010150316	0.120250699381583	0.140644092843956	-369.649935322855
0.00349124064239883	0.00234311452509988	0.124397313223502	0.153576929905559	-367.057381566723
0.00356488223813466	0.00387487199797246	0.119542215930595	0.120749713061207	-373.732264117899
0.00412810413889707	0.00362114398148866	0.117847595088367	0.130941772320408	-372.098693565687
0.00285407845792378	0.00375536639200497	0.141296652085009	0.132672912755877	-360.393472805709
0.00283500605082114	0.00257727822801922	0.126641966582463	0.138406520855151	-369.000641548015
0.00384458932521771	0.00343266904037296	0.112995225826277	0.125550250918086	-378.440908200568
0.00506178163853752	0.00351512613787328	0.112256437808811	0.141203066426178	-372.573590384173
0.00514077489874595	0.00435658889724233	0.108702517794231	0.127137447712551	-376.226320750879
0.00332234055632038	0.00302030959665490	0.116157081273685	0.126947629807306	-377.720444876257
0.00379315344661077	0.00235599592957191	0.124529400996897	0.156640755970939	-365.866456001562
