42	39	29	31	28	36	20	24	29	25	24	30	23	37	20	26	28	24	37	20	23	23	26	20	42	41	23	24	23	24	29	25	39	36	23	34	24	26	24	34	27	26	29	23	20	34	35	42	26	42	26	32	24	24	21	23	34	38	24	27
30	26	23	20	23	23	36	21	26	27	35	27	26	23	41	41	23	21	23	36	30	31	21	29	26	40	30	42	27	19	33	34	36	42	19	23	35	42	26	9	42	24	29	34	36	36	26	29	29	33	26	33	30	23	25	39	18	23	31	27
26	36	24	21	23	30	24	19	19	24	25	35	23	30	26	36	36	21	42	24	42	29	42	26	20	25	24	41	27	42	32	25	29	39	21	27	26	26	29	20	20	23	24	34	24	32	29	36	30	27	24	19	41	27	29	34	19	29	23	35
40	20	21	20	20	24	23	27	27	27	27	20	23	36	20	36	30	40	25	36	23	34	38	29	20	24	27	34	23	24	23	34	29	26	32	26	29	36	29	29	19	29	35	20	26	39	38	23	25	42	25	32	23	26	23	9	24	32	23	23
25	24	31	36	28	41	40	23	30	26	35	35	38	26	33	20	26	31	23	34	42	29	20	23	23	25	34	27	29	30	27	26	23	26	36	29	23	42	34	42	26	40	21	38	41	26	29	37	27	27	26	23	24	35	9	26	19	21	31	23
42	34	41	42	26	42	23	37	42	26	24	27	27	21	31	31	27	23	30	24	18	31	26	26	41	29	26	36	26	42	26	31	27	34	38	20	20	24	30	23	35	42	23	41	26	25	26	24	36	26	19	24	31	26	26	23	25	23	26	24
20	27	26	31	29	9	42	34	23	35	21	26	24	29	23	34	23	36	40	31	27	29	26	21	29	41	23	20	33	25	29	30	29	23	42	18	31	23	31	23	23	34	30	36	29	26	37	20	25	20	25	26	20	38	21	23	23	26	28	20
38	25	20	26	20	20	31	39	23	26	39	29	24	20	23	42	21	26	42	26	41	23	41	29	24	42	27	36	36	29	21	25	29	36	29	24	19	29	25	36	26	29	24	24	42	25	36	41	26	25	29	20	34	40	21	20	36	25	19	33
29	21	23	21	36	29	18	26	42	19	25	36	27	28	29	23	38	27	39	24	29	26	24	38	41	31	23	29	42	25	23	23	23	23	26	24	21	40	23	31	26	33	19	42	26	23	42	19	32	25	34	20	20	29	29	27	23	34	36	20
29	19	30	24	19	21	23	25	29	25	23	41	21	30	30	20	36	29	20	19	23	24	37	32	24	27	20	42	23	29	23	31	29	20	35	23	20	33	30	29	29	24	36	38	21	25	19	18	42	26	36	36	41	35	27	32	41	18	30	36
26	20	39	21	23	39	24	21	31	29	23	36	21	27	23	27	29	20	23	26	24	20	24	23	42	27	23	42	26	36	29	21	31	20	29	26	24	26	42	34	26	26	34	20	24	19	24	28	37	21	38	19	29	20	23	34	29	23	23	21
23	28	30	25	30	29	23	20	35	39	30	32	30	36	36	26	40	29	23	23	24	42	41	26	29	25	26	31	29	26	23	21	38	26	23	36	29	29	33	27	9	28	23	24	41	20	25	23	31	21	21	29	33	23	18	29	33	36	27	23
24	30	28	26	27	26	23	38	29	39	41	29	26	23	35	30	27	34	20	29	29	25	27	27	31	26	34	34	20	40	27	29	33	27	19	24	23	20	28	24	25	27	9	18	31	27	20	23	34	21	21	41	34	21	26	36	26	29	30	20
