Confirmed Load of Data File: M32.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line1          0.00010        0.10000        0.00112        0.15364        0.00043        0.12475        0.00292        0.18923        -198.63641     0              
Line2          0.00010        0.10000        0.00147        0.14875        0.00061        0.12113        0.00359        0.18267        -199.23881     0              
Line3          0.00010        0.10000        0.00327        0.12166        0.00154        0.09747        0.00696        0.15185        -208.12777     0              
Line4          0.00010        0.10000        0.00157        0.14862        0.00064        0.12081        0.00382        0.18283        -198.82232     0              
Line5          0.00010        0.10000        0.00198        0.14579        0.00086        0.11877        0.00454        0.17896        -199.21869     0              
Line6          0.00010        0.10000        0.00103        0.16341        0.00039        0.13334        0.00272        0.20026        -194.93369     0              
Line7          0.00010        0.10000        0.00193        0.13491        0.00083        0.10913        0.00448        0.16677        -204.62730     0              
Line8          0.00010        0.10000        0.00113        0.15636        0.00044        0.12794        0.00286        0.19109        -196.62910     0              
Line9          0.00010        0.10000        0.00245        0.12870        0.00108        0.10316        0.00556        0.16056        -206.89607     0              
Line10         0.00010        0.10000        0.00170        0.14362        0.00072        0.11724        0.00397        0.17593        -200.01292     0              
Line11         0.00010        0.10000        0.00207        0.13156        0.00090        0.10634        0.00477        0.16277        -205.18442     0              
Line12         0.00010        0.10000        0.00228        0.14107        0.00105        0.11589        0.00495        0.17172        -198.49766     0              
Line13         0.00010        0.10000        0.00264        0.13244        0.00123        0.10799        0.00566        0.16242        -202.40829     0              
Line14         0.00010        0.10000        0.00190        0.13199        0.00082        0.10692        0.00440        0.16293        -205.04753     0              
Line15         0.00010        0.10000        0.00161        0.13433        0.00066        0.10821        0.00394        0.16676        -205.74913     0              
Line16         0.00010        0.10000        0.00170        0.14748        0.00074        0.12115        0.00391        0.17952        -197.40331     0              
Line17         0.00010        0.10000        0.00207        0.13343        0.00090        0.10769        0.00477        0.16532        -204.97248     0              
Line18         0.00010        0.10000        0.00138        0.14710        0.00055        0.11907        0.00346        0.18172        -201.16097     0              
Line19         0.00010        0.10000        0.00140        0.14665        0.00056        0.11907        0.00346        0.18062        -200.47486     0              
Line20         0.00010        0.10000        0.00169        0.13987        0.00070        0.11298        0.00408        0.17315        -202.90009     0              
Line21         0.00010        0.10000        0.00214        0.13250        0.00092        0.10650        0.00496        0.16486        -205.80494     0              
Line22         0.00010        0.10000        0.00102        0.15300        0.00039        0.12474        0.00266        0.18765        -198.71479     0              
Line23         0.00010        0.10000        0.00193        0.13945        0.00083        0.11274        0.00452        0.17248        -202.76972     0              
Line24         0.00010        0.10000        0.00111        0.15414        0.00043        0.12569        0.00285        0.18903        -197.43452     0              
Line25         0.00010        0.10000        0.00122        0.15475        0.00050        0.12710        0.00302        0.18842        -195.79360     0              
Line26         0.00010        0.10000        0.00249        0.13108        0.00111        0.10540        0.00558        0.16300        -205.73226     0              
Line27         0.00010        0.10000        0.00190        0.13477        0.00081        0.10897        0.00446        0.16667        -204.39519     0              
Line28         0.00010        0.10000        0.00179        0.14018        0.00076        0.11377        0.00420        0.17271        -202.25918     0              
Line29         0.00010        0.10000        0.00168        0.13620        0.00070        0.10997        0.00404        0.16868        -204.88792     0              
Line30         0.00010        0.10000        0.00185        0.14564        0.00081        0.11929        0.00423        0.17780        -198.22010     0              
Line31         0.00010        0.10000        0.00168        0.14082        0.00071        0.11452        0.00397        0.17316        -201.66815     0              
Line32         0.00010        0.10000        0.00145        0.15161        0.00060        0.12373        0.00354        0.18576        -197.39796     0              
Line33         0.00010        0.10000        0.00146        0.14632        0.00060        0.11930        0.00354        0.17946        -199.78055     0              
Line34         0.00010        0.10000        0.00159        0.14001        0.00066        0.11349        0.00383        0.17274        -202.75471     0              
Line35         0.00010        0.10000        0.00123        0.14344        0.00048        0.11605        0.00316        0.17728        -202.97503     0              
Line36         0.00010        0.10000        0.00120        0.16202        0.00049        0.13343        0.00296        0.19673        -193.30183     0              
Line37         0.00010        0.10000        0.00152        0.15059        0.00063        0.12248        0.00371        0.18516        -198.87242     0              
Line38         0.00010        0.10000        0.00144        0.14746        0.00058        0.11937        0.00358        0.18216        -200.61022     0              
Line39         0.00010        0.10000        0.00125        0.15037        0.00049        0.12208        0.00318        0.18522        -199.45792     0              
Line40         0.00010        0.10000        0.00196        0.14124        0.00085        0.11462        0.00453        0.17403        -201.74559     0              
Line41         0.00010        0.10000        0.00213        0.12598        0.00094        0.10177        0.00482        0.15594        -208.03491     0              
Line42         0.00010        0.10000        0.00108        0.14956        0.00042        0.12167        0.00280        0.18383        -200.29154     0              
Line43         0.00010        0.10000        0.00258        0.13080        0.00117        0.10546        0.00569        0.16223        -205.08334     0              
Line44         0.00010        0.10000        0.00232        0.13263        0.00105        0.10806        0.00509        0.16278        -203.75267     0              
Line45         0.00010        0.10000        0.00143        0.14649        0.00058        0.11903        0.00351        0.18028        -200.71679     0              
Line46         0.00010        0.10000        0.00134        0.14917        0.00053        0.12100        0.00336        0.18390        -200.21482     0              
Line47         0.00010        0.10000        0.00231        0.13214        0.00104        0.10723        0.00512        0.16284        -204.00100     0              
Line48         0.00010        0.10000        0.00099        0.15526        0.00038        0.12651        0.00261        0.19053        -198.04400     0              
Line49         0.00010        0.10000        0.00193        0.14231        0.00085        0.11649        0.00436        0.17386        -199.33393     0              
Line50         0.00010        0.10000        0.00180        0.13291        0.00076        0.10719        0.00427        0.16479        -205.55550     0              
Line51         0.00010        0.10000        0.00158        0.14642        0.00066        0.11944        0.00378        0.17948        -199.43132     0              
