45	35	29	33	39	36	15	35	32	43	50	37	27	37	36	36	51	39	26	27	31	40	26	33	31	14	46	40	34	39	16	22	36	39	27	25	39	15	36	35	36	40	51	13	34	31	47	45	40	32	40	49	50	40	22	36	27	31	24	13	40	40	40	24	47	34	33	27	39
36	47	27	49	40	32	41	36	42	26	34	33	34	39	46	22	41	43	27	34	34	47	50	24	50	44	24	45	32	15	34	40	34	38	40	27	45	22	41	32	49	32	32	40	51	39	24	16	35	39	32	29	38	47	27	50	26	27	42	26	27	27	50	37	36	25	50	26	42
27	50	35	40	46	39	22	50	36	44	26	22	31	43	44	39	39	39	33	38	26	45	14	39	29	39	16	26	39	33	27	45	50	34	32	33	36	15	32	15	25	47	42	27	49	27	31	37	35	13	13	46	40	47	46	50	50	33	24	32	40	27	27	24	33	39	33	42	27
46	40	27	50	24	34	47	50	38	31	35	16	33	40	34	13	40	41	40	40	47	47	33	40	36	35	32	26	34	47	40	40	50	33	50	29	27	27	40	36	27	15	33	24	26	27	39	34	45	39	35	36	31	33	34	40	32	27	40	50	41	26	34	40	39	15	39	35	43
36	49	39	24	50	14	36	39	45	33	33	14	27	43	31	41	41	47	26	29	40	13	34	34	40	36	36	39	50	32	39	43	26	27	37	46	44	40	15	31	24	24	50	39	26	44	40	31	40	36	26	46	39	49	39	50	27	27	33	26	27	16	45	24	39	40	34	43	27
39	32	51	42	36	34	32	39	39	24	42	32	41	24	39	22	35	34	35	41	40	49	50	16	37	40	49	15	40	39	34	27	43	33	41	37	42	40	15	39	16	50	34	44	50	44	36	32	32	40	16	32	35	44	34	26	36	27	42	43	40	33	22	35	45	50	39	44	40
35	24	50	27	49	44	27	40	44	34	36	47	27	32	26	41	42	39	27	40	16	47	36	22	39	24	14	24	26	43	27	40	39	50	38	39	40	27	27	34	15	24	16	34	39	40	33	50	15	16	35	40	36	27	32	41	34	22	46	34	41	35	47	26	34	42	24	45	45
32	50	16	39	39	39	32	47	35	15	46	39	15	32	47	16	26	27	15	41	39	44	43	45	35	16	42	47	47	44	14	46	42	43	40	39	50	26	40	27	16	39	39	41	34	37	27	14	45	43	46	34	24	43	39	39	51	34	50	31	33	36	16	35	44	24	33	15	33
32	39	35	50	15	29	44	50	27	26	39	34	43	42	40	39	46	24	14	26	47	27	39	43	39	40	35	50	27	33	46	40	15	50	32	39	36	32	46	33	31	26	40	40	40	24	46	26	31	27	43	50	15	27	39	16	43	50	13	39	36	40	39	43	39	39	36	39	16
50	50	22	25	26	36	47	35	15	27	40	50	38	33	39	15	16	50	22	33	44	50	33	37	35	29	36	37	14	13	35	27	47	33	24	34	40	40	39	50	34	46	24	34	39	15	38	46	41	24	32	50	32	24	44	25	26	47	24	43	14	27	27	32	39	40	50	39	33
51	26	45	41	40	26	26	27	43	50	33	40	24	43	27	39	29	35	45	40	24	39	40	15	34	45	31	24	50	16	15	44	47	40	40	35	39	27	31	26	44	46	34	35	27	36	39	39	40	27	34	46	45	27	16	50	32	42	34	39	37	32	39	34	43	24	50	39	34
15	35	14	34	14	33	14	39	44	39	40	16	40	39	34	13	15	40	47	40	33	40	32	42	26	40	39	35	16	33	47	38	26	50	34	41	39	25	39	24	34	31	39	45	50	27	26	43	25	38	46	34	35	43	24	22	42	32	33	29	46	34	34	40	33	32	35	35	24
43	35	24	33	39	45	39	51	34	24	50	40	45	26	39	46	45	40	44	43	31	39	26	26	29	26	16	33	47	27	46	34	24	37	40	34	36	26	26	15	39	33	27	40	27	40	44	22	24	31	46	27	33	39	34	27	40	15	47	27	39	39	40	33	39	24	27	14	39
