Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line60         0.00010        0.10000        0.00129        0.15060        0.00054        0.12360        0.00310        0.18350        -234.73455     0              
Line61         0.00010        0.10000        0.00424        0.10918        0.00213        0.08680        0.00844        0.13732        -251.84135     0              
Line62         0.00010        0.10000        0.00242        0.12706        0.00110        0.10216        0.00534        0.15803        -246.04496     0              
Line63         0.00010        0.10000        0.00367        0.12093        0.00181        0.09717        0.00743        0.15049        -245.95658     0              
Line64         0.00010        0.10000        0.00357        0.11774        0.00175        0.09453        0.00727        0.14664        -247.54114     0              
Line65         0.00010        0.10000        0.00265        0.12354        0.00124        0.09995        0.00563        0.15271        -245.63702     0              
Line66         0.00010        0.10000        0.00261        0.12771        0.00122        0.10328        0.00558        0.15792        -244.44004     0              
Line67         0.00010        0.10000        0.00217        0.12408        0.00097        0.09969        0.00488        0.15445        -248.86513     0              
Line68         0.00010        0.10000        0.00354        0.11896        0.00173        0.09554        0.00724        0.14811        -246.82374     0              
Line69         0.00010        0.10000        0.00248        0.12391        0.00113        0.09929        0.00544        0.15464        -248.50255     0              
Line70         0.00010        0.10000        0.00261        0.12685        0.00121        0.10226        0.00563        0.15735        -245.49879     0              
