expt	avg	avg.se	median	n
041505.M5.1a.rls.tab	44.13	1.68	46.50	30.00
041505.M5.1b.rls.tab	41.57	1.99	43.00	30.00
041505.M5.1c.rls.tab	23.80	1.07	23.00	30.00
041505.M5.1d.rls.tab	25.57	1.23	24.00	30.00
101S.091904	29.12	1.50	31.00	26.00
101S.122004	32.43	1.24	33.00	30.00
101S.merged	30.893	0.985	33.000	56.000
BY4743.010305	32.57	1.91	29.50	30.00
BY4743.011705	34.80	2.02	33.00	30.00
BY4743.122004	32.83	1.92	35.00	30.00
BY4743.merged	33.40	1.13	33.00	90.00
M1.2.030905	27.33	1.87	30.00	27.00
M1.2.091904	28.33	1.63	29.00	27.00
M1.2.merged	27.83	1.24	29.50	54.00
M13.030205	27.79	1.44	29.00	29.00
M13.051704	25.66	1.53	25.00	41.00
M13.merged	26.54	1.08	28.00	70.00
M14.030905	36.83	1.92	39.50	30.00
M14.032105	36.27	2.66	38.50	30.00
M14.merged	36.55	1.64	39.00	60.00
M2.8.011705	24.96	1.27	23.50	56.00
M2.8.020105	24.633	0.876	25.000	49.000
M2.8.merged	24.81	0.79	24.00	105.00
M22.030905	32.9	2.2	37.5	30.0
M22.090104	30.80	1.42	31.00	30.00
M22.merged	31.83	1.31	32.50	60.00
M32.020905	28.03	1.05	27.00	30.00
M32.122004	27.90	1.42	26.00	30.00
M32.merged	27.967	0.882	26.500	60.000
M34.010305	27.00	1.59	30.50	30.00
M34.030105	27.04	1.41	28.00	28.00
M34.merged	27.02	1.07	28.50	58.00
M5.041505	36.80	1.83	37.50	30.00
M5.122004	40.43	2.55	47.00	30.00
M5.merged	38.62	1.59	39.50	60.00
M8.030205	35.70	1.11	36.50	30.00
M8.030905	34.17	1.36	33.50	30.00
M8.merged	34.933	0.884	36.000	60.000
RM112N.032105	37.71	2.35	39.00	31.00
RM112N.032405	44.28	2.35	45.00	29.00
RM112N.merged	40.88	1.72	41.00	60.00
YPS128.010305	34.3	1.8	35.5	30.0
YPS128.020105	35.54	1.51	38.00	39.00
YPS128.merged	35.00	1.16	36.00	69.00
YPS163.010305	32.40	1.53	34.00	30.00
YPS163.030105	36.07	1.15	36.00	30.00
YPS163.040805	32.00	1.71	34.00	40.00
YPS163.merged	33.34	0.91	35.00	100.00
