"files","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"4741.csv",60,0.00400413478731221,65.0600140943511,8.11868277381719,0.1094171723279,30.25,10.8606348723502,0.359029251978518,0.0766966579535278,0.00556196031311853,-232.3,469,2.98636534975825,33.7811593637282,-228.2,460,"Weib"
"4742.csv",90,0.0127261620257308,65.363782361814,7.94525391182053,0.106255385794167,19.4333333333333,8.17924201867141,0.420887239382749,0.0763435619312832,0.0164612815173166,-326.1,656,2.49908442138665,21.8825679583013,-313.9,632,"Weib"
"4743.csv",89,0.0028123596325525,62.3694070515973,7.88071859241307,0.110322013911736,35.1910112359551,11.132340687971,0.316340460162649,0.0799511623733734,0.00329176684451398,-347.3,699,3.4453573985928,39.1164779264654,-340.3,685,"Weib"
"sir2.csv",117,0.00706148004480551,23.8471283880321,8.26314011834323,0.304570848118899,12.6495726495726,4.33771797487923,0.342914191257344,0.204565922843493,0.0107482566356955,-344.6,693,3.18881052659505,14.1374232016911,-336.2,676,"Weib"
"sir2SIR2OE.csv",69,0.00627764925184959,33.1691064022101,8.02978492825302,0.211937724309167,16.7391304347826,6.33304167677708,0.378337554716553,0.149646561574965,0.0084144189473718,-225.8,456,2.94610728101913,18.8097193563238,-223.4,451,"Weib"
