"files","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"4741.csv",60,0.00458107754965515,15.6706029347969,3.69834367854585,0.17219143958744,26.4166666666667,11.2495448746607,0.425850279166968,0.0668726920921936,0.00960830933376633,-232.7,469,2.43375283033278,29.5385236897831,-231.3,467,"Weib"
"4742.csv",90,0.0137569236405317,75.2787787588903,7.72289883013586,0.0893066936124,20.5777777777778,9.17125183248075,0.445687184083838,0.0663305507876154,0.0168224891062901,-334.8,674,2.36593088133207,23.2273307877512,-322.8,650,"Weib"
"4743.csv",89,0.00278944300862423,61.2745897958797,7.94630502931205,0.1133635500858,34.5842696629214,10.5774298613562,0.305845112950196,0.0813622861506732,0.00338109169162453,-344.9,694,3.51912726655942,38.3952323504712,-336,676,"Weib"
"sir2.csv",117,0.00454811635156535,19.3103666637758,8.43483227569961,0.385017664612582,12.4358974358974,3.68450767633562,0.296279998715648,0.246124538538911,0.0077638766575276,-327.3,659,3.70409773944046,13.7631044123949,-318.4,641,"Weib"
"sir2SIR2OE.csv",69,0.0121184548369554,43.4620725724499,7.73509829515735,0.154964959020998,15.8550724637681,6.92666493538014,0.436873748209533,0.114602636669816,0.0150727874438791,-233.1,470,2.49046408397841,17.9349965913173,-228.1,460,"Weib"
