"files","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"4741.csv",60,0.011405821437518,100.96635610428,7.47489345380864,0.0641292179260312,26.5666666666667,13.2016520109875,0.496925420739804,0.049490034241181,0.0132259168610067,-240.7,485,2.07591490419125,29.835115645977,-238.1,480,"Weib"
"4742.csv",90,0.0104808698962704,60.4593610585918,7.90008863989273,0.114127713543082,20.2444444444444,8.42456428521709,0.416142033847167,0.0825169304742322,0.0135659466212518,-326.7,657,2.55605046840693,22.8148154957177,-316.4,637,"Weib"
"4743.csv",89,0.00297605172735692,61.8552335156245,7.89141571916455,0.111412007157386,34.2134831460674,11.1380509863836,0.325545661014168,0.0806183229967698,0.00351887386173235,-346.3,697,3.37241303616648,38.0912482697887,-340.1,684,"Weib"
"sir2.csv",117,0.00643748269349513,23.166126078729,8.38627857354594,0.31883960867881,12.6666666666667,4.11054153660292,0.324516437100231,0.209707102749385,0.0103491900450816,-341,686,3.32627148476767,14.0952570742944,-331.3,667,"Weib"
"sir2SIR2OE.csv",69,0.00860910443804561,40.6501770408236,7.81301114229011,0.167601020173861,17.304347826087,7.24224605196743,0.418521756771987,0.122453134990609,0.0108692451635871,-234.8,474,2.63359535117363,19.5465485756721,-231.7,467,"Weib"
