"files","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"4741.csv",60,0.00629495597830352,70.2546759632458,7.85829300744291,0.0976204489368206,27.3166666666667,11.4455108018002,0.41899368401953,0.0710589876839039,0.00804817101591129,-232.9,470,2.53220929804654,30.6428296888568,-231.2,466,"Weib"
"4742.csv",90,0.0137498383797456,73.0011474962316,7.80567742163782,0.0932269923837723,20.1666666666667,8.71683119415627,0.432239563346592,0.068389581637048,0.0171127752590765,-332,668,2.4115235358716,22.7013032056995,-319.5,643,"Weib"
"4743.csv",89,0.00272819836488463,50.0494138366341,7.90236699016097,0.137911045525746,30.6067415730337,9.22153849509655,0.301291088863287,0.0994264981470073,0.00316431152944769,-330.4,665,3.63632024840163,33.9452504999075,-323.5,651,"Weib"
"sir2.csv",117,0.00401395873985351,19.7874054099205,8.42506951326007,0.375242198734022,13.0940170940171,3.79196724938322,0.289595410037752,0.240321994892816,0.00691298008445723,-330.8,666,3.80273968882164,14.4798346285752,-321.5,647,"Weib"
"sir2SIR2OE.csv",69,0.0105702073729424,38.6033965132765,7.91761885260128,0.179197155623915,15.3478260869565,6.27981380146531,0.409166338339099,0.128837272616265,0.0139220079684899,-227.5,459,2.65899363121144,17.3113534084835,-222.1,448,"Weib"
