"files","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"4741.csv",60,0.00740243563130229,84.9059702221254,7.72726994825568,0.0792320013616975,28.9333333333333,12.74105424511,0.440359017688134,0.0588290306091208,0.0091051722235025,-239.8,484,2.43929923563271,32.6496908932179,-235.6,475,"Weib"
"4742.csv",90,0.0147971367162254,93.6513981303238,7.3919988462538,0.0682531064550558,22.5888888888889,11.489022063041,0.508613864079534,0.0533516494498918,0.0168834542481422,-348.9,702,2.10256526978909,25.5892181951471,-340.3,685,"Weib"
"4743.csv",89,0.00352963288411203,64.8994790010086,8.22766747633116,0.111367110916543,31.4494382022472,10.6365698887836,0.338211761379687,0.076860908445684,0.00505641320939435,-344.4,693,3.19311282053291,35.0278382426046,-336.6,677,"Weib"
"sir2.csv",117,0.00591123366174652,22.3382740847374,8.34586372460171,0.328846521299546,12.7521367521368,4.10404758766602,0.321832149971129,0.216761659909465,0.00939550823727123,-339.7,683,3.3677867275615,14.1861565137751,-331.1,666,"Weib"
"sir2SIR2OE.csv",69,0.009206524615276,38.4223602937273,8.00805899101181,0.182395327549826,16.0434782608696,6.22951887153767,0.388289794160885,0.12940836592748,0.0124461402924103,-228.4,461,2.78890782655372,18.0619222119522,-221.8,448,"Weib"
