expt	Line	Start.a.	Start.b.	a	b	LCI.a.	LCI.b.	UCI.a.	UCI.b.	Like	Inform	max	n	avg	G
101S.merged	Line3	1e-04	0.1	0.00156	0.12892	0.00069	0.10617	0.00353	0.15655	-195.07373	0	53	56	30.89286	0.0795727
BY4743.merged	Line4	1e-04	0.1	0.00403	0.07864	0.00238	0.06541	0.00683	0.09455	-349.8623	0	66	90	33.40000	0.05737877
M1-2.merged	Line3	1e-04	0.1	0.00245	0.12310	0.00103	0.09686	0.00583	0.15645	-193.61834	0	45	54	27.83333	0.10194463
M13.merged	Line3	1e-04	0.1	0.00293	0.12285	0.00139	0.09897	0.00617	0.15249	-250.13223	0	42	70	26.54286	0.1172971
M14.merged	Line3	1e-04	0.1	0.00195	0.09149	0.00084	0.07197	0.00452	0.11630	-233.7350	0	57	60	36.55000	0.08685181
M22.merged	Line3	1e-04	0.1	0.00211	0.10821	0.00091	0.08582	0.00490	0.13644	-222.8671	0	50	60	31.83333	0.09776805
M2-8.merged	Line3	1e-04	0.1	0.00436	0.11608	0.00256	0.09766	0.00744	0.13798	-373.2751	0	43	105	24.80952	0.10468288
M32.merged	Line3	1e-04	0.1	0.00174	0.14043	0.00074	0.11410	0.00409	0.17285	-205.63913	0	42	60	27.96667	0.1265643
M34.merged	Line3	1e-04	0.1	0.00129	0.15693	0.00047	0.12489	0.00353	0.19719	-197.99030	0	39	58	27.01724	0.1475291
M5.merged	Line3	1e-04	0.1	0.00200	0.08523	0.00090	0.06789	0.00441	0.10700	-235.5205	0	64	60	38.61667	0.06997188
M8.merged	Line3	1e-04	0.1	0.00037	0.15889	0.00012	0.13029	0.00113	0.19376	-201.85531	0	49	60	34.93333	0.1262644
RM112N.merged	Line3	1e-04	0.1	0.00178	0.08186	0.00078	0.06479	0.00406	0.10343	-238.9000	0	65	60	40.88333	0.07364698
YPS128.merged	Line3	1e-04	0.1	0.00110	0.11866	0.00046	0.09682	0.00266	0.14543	-252.2344	0	51	69	35.00000	0.11310533
YPS163.merged	Line4	1e-04	0.1	0.00135	0.11951	0.00068	0.10150	0.00267	0.14071	-362.18511	0	55	100	33.34000	0.0874281
