"my.strains","samplesize","R","t0","n","G","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BinomialAIC","BestModel"
"BY4742",250,0.00557425019455155,64.6833821206503,8.09831220642487,0.109739348403038,26.772,9.89056667926301,0.369436974423391,0.0769278611124844,0.00771085212535067,-951.4,1907,2.88054606122614,30.0141553193647,-924.5,1853,1891.77272576194,"Weib"
"sir2",90,0.00277979143472054,17.2350244041821,8.11803727079851,0.412998386533837,14.0111111111111,3.53313192839875,0.252166434223543,0.273725858256857,0.00373844624585676,-247.8,500,4.35081447729,15.3640503824475,-241.7,487,498.143512749254,"bin<2"
"SIR2.ox",60,0.00330825889411081,72.4918000910673,7.95917798922079,0.0959995196764099,36.2166666666667,11.5260819436507,0.318253528126573,0.0688697646309377,0.00413384187513524,-239.7,483,3.29619264209893,40.3486877513903,-231.5,467,480.756051183088,"Weib"
"fob1",140,0.0031797071288424,73.0396969778932,7.8477157183769,0.0937533423837929,36.8214285714286,13.2829028730872,0.360738390345724,0.0682845014772757,0.00387921069369387,-565.3,1135,3.07715157283415,41.2549504821329,-558.2,1120,1131.9350642696,"Weib"
"hxk2",120,0.00485622629576552,95.2571620513975,7.641710911387,0.0697240057162669,37.3583333333333,16.0387114852298,0.429320851712598,0.0524503016580985,0.00572432890677175,-504.4,1013,2.46304127761411,41.9609118229821,-502.9,1010,1012.47854364388,"bin<2"
"fob1.hxk2",160,0.00617432899956834,125.673773482791,6.0231698474192,0.0399699134370866,47.8125,22.8140383516805,0.477156357682207,0.039785269626434,0.00455008134600375,-718.5,1441,2.22079414546441,53.8646996378449,-725.8,1456,1451.85697222186,"Gomp"
