"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_0.005% D_n299.csv",299,0.00744558605451451,65.9609647441673,8.13684511526344,0.108198009882724,NA,24.2040133779264,9.24073183131855,0.381785106752003,0.0754438777047739,0.0102834056250488,-1121.6,2247,2.77524010631052,27.1640798703154,-1084.7,2173,"Weib"
"BY4742_MATalpha_temp30_media_0.05% D_n4690.csv",4690,0.00514572717252707,60.4065064224623,7.88561957824697,0.113988045097184,NA,27.0571428571429,10.051272753513,0.371483153508927,0.0761988574351664,0.00763931041255942,-17881.7,35767,2.87587369802197,30.3233033409491,-17444.8,34894,"Weib"
"fob1 gcn2_MATalpha_temp30_media_0.05% D_n260.csv",260,0.00321047195888424,72.4309930321764,7.70837524118861,0.0926174688535406,NA,37.3961538461538,13.3910873595545,0.358087289260946,0.0687209788390025,0.00364085167318627,-1051.9,2108,3.05337235086556,41.8114128813219,-1042.7,2089,"Weib"
"fob1 gcn20_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00826239851095687,103.706880983048,6.00828369406942,0.0482926845990871,NA,37.975,17.0887389821484,0.44999970986566,0.0482126533173606,0.00617433008571751,-170.3,345,2.45082415930962,43.0305888739335,-167.9,340,"Weib"
"fob1 gcn3_MATalpha_temp30_media_0.05% D_n39.csv",39,0.00302488592353422,74.6746195352693,7.5299402415039,0.0874452428702335,NA,39.8461538461538,14.4523508587402,0.36270378603016,0.0668844334406592,0.00312783366882212,-160,324,3.10223796231521,44.7316388138046,-158.1,320,"Weib"
"fob1 gcn4 hap4_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00231127288704622,53.0440439395926,7.44425612854807,0.121488778945415,NA,35.425,10.7342908475595,0.303014561681285,0.0940766438765796,0.0021361537735027,-152.6,309,3.74479624171328,39.2839348901459,-150.9,306,"Weib"
"fob1 gcn4_MATalpha_temp30_media_0.05% D_n200.csv",200,0.00398551073069719,73.3517923258578,7.73987392177508,0.0918842431529673,NA,34.265,13.3726930570469,0.390272670569003,0.067967031185113,0.00473403219268204,-804.8,1614,2.81134499936355,38.4864024519374,-799.9,1604,"Weib"
"fob1 gcn4_MATalpha_temp30_media_SD 0.05% D_n74.csv",74,0.0325191551028118,80.4873426426888,7.47842291309493,0.0804899590467895,NA,13.7432432432432,7.24722112225208,0.527329757174684,0.0620537595027052,0.0369985598680585,-254.9,514,2.02704330530615,15.563858112253,-244.1,492,"Weib"
"fob1 gln3 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.0225578075467084,138.807774135919,7.00490634840426,0.0432605910280235,NA,21.62,13.7413186552033,0.635583656577396,0.0360124811360368,0.0240810290213194,-394.8,794,1.60163330538045,24.1059058790481,-393.3,791,"Weib"
"fob1 gln3_MATalpha_temp30_media_0.05% D_n79.csv",79,0.0167184855249696,104.711810475095,7.15267755545024,0.0587582005079895,NA,22.5569620253165,13.1361185730491,0.582353180286689,0.0477283073212298,0.0182703463343824,-310.1,624,1.79126549125313,25.3981711928075,-309,622,"Weib"
"fob1 gpa2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00287336178116838,45.9343644991412,8.06084726308374,0.153716010661599,NA,27.65,8.44757589261786,0.305518115465384,0.108439131196245,0.00362968340881424,-144.8,294,3.61197637356556,30.6900793214404,-141.5,287,"Weib"
"fob1 hac1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00471183676950094,63.8063842846523,6.02042554204592,0.0786821820156563,NA,37.75,14.7904161623806,0.391799103639222,0.0783605476325261,0.00253550498422822,-160.8,326,2.88473226975425,42.187402052712,-164.7,333,"Gomp"
"fob1 hap4 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00432394956134501,111.0561928156,7.25970007327225,0.0563651599660543,NA,44.375,21.1765321245126,0.477217625341128,0.0450037191063198,0.00452190227105405,-176.1,356,2.26154575700885,50.0543438074318,-177.8,360,"Gomp"
