"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"fob1 phb2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00233073926401321,36.6627519514071,7.81450570753714,0.185870000063528,NA,26.425,7.4175381222392,0.280701537265438,0.135688880580555,0.00238958351413826,-138,280,4.06611350482193,29.1297683679772,-136.2,276,"Weib"
"fob1 pmr1_MATalpha_temp30_media_0.05% D_n46.csv",46,0.0617304340942056,63.2953450339882,6.86140635445511,0.0926040667178236,NA,8.65217391304348,5.7279718780515,0.662026900478314,0.0789149989475812,0.0647626546790241,-140.5,285,1.6172671212832,9.71534927278249,-138.1,280,"Weib"
"fob1 pnc1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00349228499102587,73.8128951484558,7.6256938907861,0.0897633655672252,NA,36.6125,14.2744294261816,0.389878577703832,0.0676583425905559,0.0039083668343493,-325.4,655,2.82999530298791,41.0862696682109,-325.3,655,"<2"
"fob1 rad53_MATalpha_temp30_media_0.05% D_n34.csv",34,0.105977848592884,30.6893365760218,6.88220922144228,0.191669481250311,NA,4.70588235294118,3.03044562944338,0.643969696256718,0.162219668026732,0.111737778227769,-82.6,169,1.66512364599802,5.29169616990027,-80.8,166,"Weib"
"fob1 rei1 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00382099809795456,76.9163311994777,6.01672670835364,0.065223166915529,NA,45.575,19.4829149348596,0.427491276683699,0.0650049965736185,0.00201122359563204,-169.9,344,2.59314111920999,51.0727908597529,-176.1,356,"Gomp"
"fob1 rpl31a sir2_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00186282677055855,42.5616598898872,6.02024396134431,0.117952259717604,NA,43.05,11.523119303427,0.26766827650237,0.117462186633963,0.000418270229971159,-297.8,600,4.6937183500791,46.9445047806601,-307.3,619,"Gomp"
"fob1 rpn4_MATalpha_temp30_media_0.05% D_n39.csv",39,0.0127653880379372,62.1585192585794,7.46596435193496,0.104023783530566,NA,19.3846153846154,9.64260115762444,0.497435774004436,0.0803111544295826,0.0147969762012697,-142.6,289,2.17555481754203,21.941895450574,-141.4,287,"Weib"
"fob1 sch9 sir2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.0028684528858843,66.9312462643804,6.0222516008168,0.0750359791744914,NA,48.375,16.6251084438337,0.343671492378991,0.0747021340945144,0.0011890280359284,-164.8,334,3.38866304426151,53.5760074081339,-169.6,343,"Gomp"
"fob1 sch9_MATalpha_temp30_media_0.05% D_n60.csv",60,0.00126838500412953,40.1414872352979,6.01564046525633,0.124949044260769,NA,50.2166666666667,8.89122909401506,0.177057333435414,0.124546900764812,0.00014014881055292,-217.1,438,6.53272468026789,53.8715551291184,-215.4,435,"Weib"
"fob1 sir2 snf1_MATalpha_temp30_media_0.05% D_n40.csv",40,0.0165828381850063,143.845437122502,6.00224919424255,0.0347751676682141,NA,29.35,16.7110434850423,0.569371157923076,0.0347595144535327,0.0147935392380699,-167.7,339,1.88926327316159,33.2107122276032,-165,334,"Weib"
"fob1 sir2 tor1_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00391651352138848,82.530011813809,7.8811301782628,0.0833773075640278,NA,36.1625,14.4611603347673,0.399893821908533,0.0605160354367466,0.00500985781374949,-328.6,661,2.72400353079707,40.6266564918096,-326.1,656,"Weib"
"fob1 sir2_MATalpha_temp30_media_0.005% D_n80.csv",80,0.00271711729066852,73.8709006902412,7.09141647807919,0.0824602979138159,NA,43.4125,17.2990771320395,0.398481477271282,0.0676173288296464,0.00222288582347145,-333.9,672,2.8144895857257,48.6026823277341,-342.3,689,"Gomp"
"fob1 sir2_MATalpha_temp30_media_0.05% D_n868.csv",868,0.0036275263305966,83.5511307092019,7.53979649282652,0.0782729861022247,NA,39.4447004608295,15.846013096424,0.401727302053158,0.0593394229023887,0.00402681310857842,-3623.2,7250,2.73058389423148,44.3567885705531,-3620.5,7245,"Weib"
"fob1 sir3_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00365709018927777,64.1112660000938,7.54377913878135,0.102069098725515,NA,33.1,13.3528062929646,0.403408045104672,0.077874171487449,0.00393286771098222,-158.4,321,2.76251842663662,37.1486969536841,-160,324,"Gomp"
"fob1 slm2_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00329752264360211,58.6929177313041,7.80512003456738,0.115944483552874,NA,31.875,11.0805616353074,0.347625463068467,0.0850131147525647,0.00382934456652127,-154.2,312,3.19290381490115,35.6340252464311,-152.1,308,"Weib"
"fob1 spo7_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00274792852513208,63.7290238638548,7.67058579208586,0.104671080579177,NA,36.8625,12.2977241385283,0.333610692126912,0.0782908508446232,0.00289679275363269,-316.7,637,3.35327126402863,41.1380247978176,-312.8,630,"Weib"
"fob1 tor1_MATalpha_temp30_media_0.05% D_n60.csv",60,0.00320775976068731,59.5183312266536,6.02528346390529,0.0844325329748974,NA,42.4333333333333,14.3613967814459,0.338446114252456,0.0840046028695567,0.00141100465812256,-239.9,484,3.53810540033977,47.258522962773,-243.5,491,"Gomp"
"fob1 whi5_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00241812472086993,52.6337937956248,7.45232746281452,0.1225890629862,NA,35.025,12.0394383973289,0.34373842676171,0.094807610128337,0.00212739106697002,-153.3,311,3.40750880627948,38.8778162376807,-156.1,316,"Gomp"
"fob1 ybr238c_MATalpha_temp30_media_0.05% D_n80.csv",80,0.00512615185604792,71.9910302974708,7.56977840905843,0.0912582912331126,NA,30.8625,13.6768711260094,0.443154998007593,0.0693681167723307,0.00588161976551613,-319.6,643,2.44590133848125,34.7839680075279,-321.3,647,"Gomp"
"fob1_MATalpha_temp30_media_0.05% D_n1490.csv",1490,0.00248409965627607,66.5828097389852,7.57473279859827,0.0987451990141634,NA,39.5778523489933,13.2990470915903,0.336022454536459,0.0727105075805026,0.00272789156730469,-5999.5,12003,3.31954374970491,44.0873102657522,-5967.2,11938,"Weib"
"fob1_MATalpha_temp30_media_SD 0.05% D_n80.csv",80,0.0037629297445882,67.8620763488005,6.02680178506733,0.0740737987330413,NA,43.05,16.6497044486636,0.386752716577551,0.0736764013807318,0.00186363807394636,-329.1,662,2.87857265187231,47.9277597909141,-341.3,687,"Gomp"
"tor1_MATalpha_temp30_n180_media_0.05% D.csv",180,0.00535853236609595,74.247375170941,7.8186530663409,0.0918369578808974,NA,30.4,12.2572974501773,0.40320057401899,0.067196278927082,0.00668990860047219,-713.6,1431,2.68309681990728,34.2268723826516,-702.4,1409,"Weib"
