"files","samplesize","R","t0","n","G","longfilename","avgLS","stdLS","CV","GompGFlex","GompRFlex","GompLogLikFlex","GompAICFlex","WeibShapeFlex","WeibRateFlex","WeibLogLikFlex","WeibAICFlex","BestModel"
"BY4742_MATalpha_temp30_media_0.005% D_n299.csv",299,0.00693300212915859,66.4910051235147,8.0885376253499,0.106608970825183,NA,25.123745819398,9.49362580304256,0.377874615962424,0.0748418975810754,0.00946914344441665,-1130,2264,2.79804792458206,28.2040695112801,-1092.1,2188,"Weib"
"BY4742_MATalpha_temp30_media_0.05% D_n4690.csv",4690,0.00476438109263584,57.6216531004262,7.82639220183151,0.118469218332457,NA,27.0443496801706,10.0113475312494,0.370182594502906,0.0791718774013379,0.00714408155269267,-17823.5,35651,2.89332727212667,30.3089652254003,-17424.4,34853,"Weib"
"fob1 gcn2_MATalpha_temp30_media_0.05% D_n260.csv",260,0.00323991145767118,71.8467105436309,7.57840959773776,0.0915617367581893,NA,37.4923076923077,14.0680893340616,0.37522601834797,0.069298344152442,0.00348776624206636,-1055.7,2115,2.94599666944045,42.012807338673,-1054.7,2113,"Weib"
"fob1 gcn20_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00627598735192094,76.1486381861105,6.01577025129334,0.065868154319905,NA,37.125,14.2813981575101,0.384684125454818,0.0656603378780586,0.00399103879844607,-163.4,331,2.91097877715313,41.7924891149896,-161.5,327,"Weib"
"fob1 gcn3_MATalpha_temp30_media_0.05% D_n39.csv",39,0.00286514046904977,60.5421703865963,6.02338556770474,0.0829733314089593,NA,45.2820512820513,13.9396230371683,0.307839919846865,0.082585084997935,0.00117119631905598,-156.4,317,3.8635959611706,50.2367353167385,-156.8,318,"<2"
"fob1 gcn4 hap4_MATalpha_temp30_media_0.05% D_n40.csv",40,0.00409416366677613,51.0219819571099,6.02923503154009,0.0985699660935903,NA,35.75,10.8787018456319,0.304299352325366,0.0979927942106538,0.0018229978584353,-152.2,308,3.80402949166721,39.6786918148789,-151.1,306,"Weib"
"fob1 gcn4_MATalpha_temp30_media_0.05% D_n200.csv",200,0.00486495120272933,78.8045622408599,7.84355411155976,0.0868421055451458,NA,32.57,13.2647983162903,0.407270442624819,0.0633091818017381,0.00613575506770947,-806.3,1617,2.656060481784,36.6470918156869,-797.4,1599,"Weib"
"fob1 gcn4_MATalpha_temp30_media_SD 0.05% D_n74.csv",74,0.0341013612250675,87.3919636662553,7.28040829756058,0.0718648263991994,NA,13.9054054054054,8.0020013231604,0.575459764736511,0.0571676431200975,0.0377099120344598,-257.7,519,1.85576587467325,15.7146214315773,-250.5,505,"Weib"
"fob1 gln3 sir2_MATalpha_temp30_media_0.05% D_n100.csv",100,0.0254359734994446,199.988372518954,6.56141437518954,0.0278086886009458,NA,23.25,16.8351334171048,0.724091759875473,0.024670351292155,0.0260562090696233,-407.4,819,1.31405076310232,25.1359931961476,-409.7,823,"Gomp"
"fob1 gln3_MATalpha_temp30_media_0.05% D_n79.csv",79,0.0138465513646247,93.7980772436715,7.32714818248085,0.0674549880808749,NA,23.3544303797468,12.6724392797748,0.542613931220708,0.053271316622808,0.0156130277123699,-309.3,623,1.94982261226654,26.3898939707597,-307.4,619,"Weib"
