17	17	17	17	17	17	17	17	17	18	17	17	25	17	18	17	17	25	18	17	17	18	18	17	17	17	18	17	17	18
17	18	18	18	25	18	18	17	26	25	25	18	26	17	25	18	17	26	26	17	17	18	18	18	17	17	18	25	17	25
18	25	29	18	25	26	18	17	26	25	26	18	26	17	26	18	18	26	26	25	25	18	25	25	18	18	25	25	25	26
18	25	31	25	25	26	25	17	26	26	27	18	27	18	27	25	18	29	26	26	25	26	26	26	26	26	25	26	26	31
25	27	31	25	25	29	25	18	31	26	31	25	27	25	29	26	27	29	27	26	26	26	26	26	26	27	26	27	27	31
27	31	31	25	29	31	25	27	31	26	31	26	27	25	29	27	27	29	27	27	29	27	26	26	27	29	26	27	27	31
27	31	31	26	31	31	26	29	31	26	31	27	29	25	29	27	29	29	29	29	29	29	29	26	29	31	27	29	31	32
27	31	31	26	31	31	26	31	31	27	31	29	31	29	31	27	31	31	32	31	31	31	31	31	31	32	29	29	31	32
31	31	32	26	32	31	26	31	31	31	31	31	31	31	31	29	31	31	32	31	31	31	31	31	31	32	29	31	31	32
32	32	32	27	32	31	29	31	31	31	31	31	31	31	32	31	31	32	33	32	31	31	31	31	31	32	29	31	31	32
32	32	32	27	33	32	31	32	31	31	31	31	31	31	32	31	31	32	34	33	31	31	32	32	32	32	29	31	31	32
32	33	32	31	33	32	31	32	32	31	32	31	32	31	32	32	32	32	36	34	31	32	33	33	36	32	29	31	31	32
34	33	33	31	34	32	31	33	32	32	32	31	33	32	32	33	32	33	36	36	32	32	34	33	36	32	31	31	31	33
36	33	34	31	36	32	31	33	32	32	34	31	33	32	33	36	34	34	36	36	32	33	36	33	36	32	31	31	32	33
36	33	34	31	36	33	32	36	33	32	34	32	34	32	34	36	36	34	38	36	33	33	36	34	36	33	31	32	34	34
38	33	36	32	36	36	32	36	33	32	36	32	34	32	34	36	36	34	38	39	36	33	36	34	39	33	31	36	38	36
39	34	36	32	36	36	33	36	36	32	36	32	36	33	36	36	36	36	39	39	36	34	39	36	39	34	31	36	38	36
39	34	36	32	38	36	33	36	38	33	39	33	36	36	36	39	36	36	39	39	38	36	39	36	42	36	32	39	38	38
39	36	38	38	39	39	33	39	39	34	39	34	39	36	36	39	38	36	42	39	39	36	39	39	42	36	32	39	39	38
42	36	39	38	39	39	34	39	42	36	39	34	39	36	39	39	39	39	42	39	39	36	39	39	42	38	32	39	39	38
42	36	39	38	39	39	36	39	42	36	42	36	39	36	39	39	39	39	42	42	39	36	39	39	43	39	36	39	39	39
42	36	39	38	39	42	39	42	42	38	42	36	39	39	39	39	39	39	42	43	39	36	39	39	43	39	39	39	39	39
43	36	42	39	39	42	39	42	43	39	42	36	42	39	42	42	39	39	42	44	42	38	42	39	44	39	39	39	43	42
43	39	42	42	44	43	42	42	43	39	43	38	42	39	43	42	39	39	43	44	42	38	42	39	45	39	39	42	44	42
44	39	43	43	44	43	43	43	44	39	43	38	43	42	43	42	39	39	44	45	43	38	42	42	45	42	42	43	44	42
45	42	45	44	45	44	43	44	44	39	44	39	43	43	43	42	42	42	45	45	43	38	42	42	45	42	42	45	44	42
45	42	45	45	45	44	43	44	44	42	44	42	43	43	44	44	42	42	45	45	45	39	42	45	45	43	45	45	45	43
45	45	45	45	46	45	45	45	44	42	45	43	44	44	45	44	42	42	46	45	45	42	43	45	45	43	45	45	45	45
45	45	45	46	46	45	46	46	45	45	46	45	45	44	45	45	45	43	46	46	46	45	44	46	46	44	45	45	46	45
46	46	46	46	46	46	46	46	45	46	46	46	45	45	46	45	46	44	46	46	46	46	45	46	46	45	46	46	46	46
