strain	n	rls	rls.sd	a	a.sd	b	b.sd
BY4743	90	33.2119753	1.0158151	0.0040304	0.0012531	0.0802222	0.0113155
SK1	71	22.0214243	1.3323226	0.0111428	0.0031506	0.0821051	0.0129829
W303	70	18.7185714	0.5795813	0.0034067	0.0011355	0.1985827	0.0240566
PSY316	40	20.98375	1.1760777	0.0057433	0.0021355	0.1327725	0.0177311
