Confirmed Load of Data File: W303.boot.dat
-------------------
MLE of Gompertz Parameters
Line           Start(a)       Start(b)       a              b              LCI(a)         LCI(b)         UCI(a)         UCI(b)         Like           Inform         
Line59         0.00010        0.10000        0.00296        0.21058        0.00140        0.17496        0.00624        0.25344        -207.60633     0              
Line60         0.00010        0.10000        0.00386        0.19851        0.00194        0.16523        0.00770        0.23850        -208.59050     0              
Line61         0.00010        0.10000        0.00275        0.20261        0.00132        0.16951        0.00572        0.24218        -207.78095     0              
Line62         0.00010        0.10000        0.00502        0.16837        0.00260        0.13827        0.00971        0.20502        -219.24941     0              
Line63         0.00010        0.10000        0.00395        0.17177        0.00197        0.14159        0.00791        0.20838        -219.55375     0              
Line64         0.00010        0.10000        0.00276        0.22123        0.00134        0.18634        0.00569        0.26265        -201.66945     0              
Line65         0.00010        0.10000        0.00525        0.17521        0.00270        0.14346        0.01019        0.21399        -217.32783     0              
Line66         0.00010        0.10000        0.00351        0.18621        0.00174        0.15481        0.00709        0.22397        -213.71531     0              
Line67         0.00010        0.10000        0.00128        0.26774        0.00053        0.22506        0.00308        0.31851        -192.99436     0              
Line68         0.00010        0.10000        0.00665        0.16120        0.00356        0.13129        0.01242        0.19792        -220.84829     0              
Line69         0.00010        0.10000        0.00300        0.20002        0.00145        0.16683        0.00618        0.23982        -209.48333     0              
Line70         0.00010        0.10000        0.00260        0.20594        0.00124        0.17245        0.00545        0.24593        -207.06953     0              
